gen,nevals,avg,std,min,max
0,60,[13.91666667],[0.2763854],[13.],[14.]
1,18,[13.73333333],[0.44221664],[13.],[14.]
2,23,[13.26666667],[0.44221664],[13.],[14.]
3,27,[13.],[0.],[13.],[13.]
4,21,[13.],[0.],[13.],[13.]
5,18,[13.],[0.],[13.],[13.]
6,23,[13.],[0.],[13.],[13.]
7,22,[13.],[0.],[13.],[13.]
8,20,[13.],[0.],[13.],[13.]
9,15,[13.],[0.],[13.],[13.]
10,19,[13.],[0.],[13.],[13.]
11,16,[13.],[0.],[13.],[13.]
12,21,[13.],[0.],[13.],[13.]
13,20,[13.],[0.],[13.],[13.]
14,21,[13.],[0.],[13.],[13.]
15,19,[13.],[0.],[13.],[13.]
16,19,[13.],[0.],[13.],[13.]
17,20,[13.],[0.],[13.],[13.]
18,13,[13.],[0.],[13.],[13.]
19,21,[13.],[0.],[13.],[13.]
20,22,[13.],[0.],[13.],[13.]
21,21,[13.],[0.],[13.],[13.]
22,26,[13.],[0.],[13.],[13.]
23,22,[13.],[0.],[13.],[13.]
24,18,[13.],[0.],[13.],[13.]
25,18,[13.],[0.],[13.],[13.]
26,19,[13.],[0.],[13.],[13.]
27,18,[13.],[0.],[13.],[13.]
28,17,[13.],[0.],[13.],[13.]
29,26,[13.],[0.],[13.],[13.]
30,12,[13.],[0.],[13.],[13.]
31,19,[13.],[0.],[13.],[13.]
32,24,[13.],[0.],[13.],[13.]
33,22,[13.],[0.],[13.],[13.]
34,15,[13.],[0.],[13.],[13.]
35,26,[13.],[0.],[13.],[13.]
36,23,[13.],[0.],[13.],[13.]
37,31,[13.],[0.],[13.],[13.]
38,17,[13.],[0.],[13.],[13.]
39,22,[13.],[0.],[13.],[13.]
40,18,[13.],[0.],[13.],[13.]
41,19,[13.],[0.],[13.],[13.]
42,17,[13.],[0.],[13.],[13.]
43,23,[13.],[0.],[13.],[13.]
44,14,[13.],[0.],[13.],[13.]
45,18,[13.],[0.],[13.],[13.]
46,21,[13.],[0.],[13.],[13.]
47,25,[13.],[0.],[13.],[13.]
48,19,[13.],[0.],[13.],[13.]
49,21,[13.],[0.],[13.],[13.]
50,22,[13.],[0.],[13.],[13.]
51,22,[13.],[0.],[13.],[13.]
52,23,[13.],[0.],[13.],[13.]
53,26,[13.],[0.],[13.],[13.]
54,26,[13.],[0.],[13.],[13.]
55,19,[13.],[0.],[13.],[13.]
56,21,[13.],[0.],[13.],[13.]
57,24,[13.],[0.],[13.],[13.]
58,25,[13.],[0.],[13.],[13.]
59,17,[13.],[0.],[13.],[13.]
60,25,[13.],[0.],[13.],[13.]
61,27,[13.],[0.],[13.],[13.]
62,20,[13.],[0.],[13.],[13.]
63,20,[13.],[0.],[13.],[13.]
64,17,[13.],[0.],[13.],[13.]
65,14,[13.],[0.],[13.],[13.]
66,23,[13.],[0.],[13.],[13.]
67,13,[13.],[0.],[13.],[13.]
68,24,[13.],[0.],[13.],[13.]
69,25,[13.],[0.],[13.],[13.]
70,16,[13.],[0.],[13.],[13.]
,,,,,
gen,nevals,avg,std,min,max
0,60,[13.88333333],[0.32102267],[13.],[14.]
1,28,[13.61666667],[0.4861984],[13.],[14.]
2,25,[13.],[0.],[13.],[13.]
3,28,[13.],[0.],[13.],[13.]
4,40,[12.96666667],[0.17950549],[12.],[13.]
5,30,[12.93333333],[0.24944383],[12.],[13.]
6,27,[12.8],[0.4],[12.],[13.]
7,40,[12.43333333],[0.49553562],[12.],[13.]
8,28,[11.98333333],[0.1280191],[11.],[12.]
9,29,[11.96666667],[0.17950549],[11.],[12.]
10,24,[11.96666667],[0.17950549],[11.],[12.]
11,25,[11.91666667],[0.2763854],[11.],[12.]
12,33,[11.76666667],[0.42295258],[11.],[12.]
13,25,[11.33333333],[0.47140452],[11.],[12.]
14,40,[11.],[0.],[11.],[11.]
15,31,[11.],[0.],[11.],[11.]
16,30,[11.],[0.],[11.],[11.]
17,29,[11.],[0.],[11.],[11.]
18,35,[11.],[0.],[11.],[11.]
19,26,[11.],[0.],[11.],[11.]
20,26,[11.],[0.],[11.],[11.]
21,32,[11.],[0.],[11.],[11.]
22,37,[11.],[0.],[11.],[11.]
23,33,[11.],[0.],[11.],[11.]
24,26,[11.],[0.],[11.],[11.]
25,30,[11.],[0.],[11.],[11.]
26,36,[11.],[0.],[11.],[11.]
27,30,[11.],[0.],[11.],[11.]
28,28,[11.],[0.],[11.],[11.]
29,23,[11.],[0.],[11.],[11.]
30,29,[11.],[0.],[11.],[11.]
31,21,[11.],[0.],[11.],[11.]
32,24,[11.],[0.],[11.],[11.]
33,26,[11.],[0.],[11.],[11.]
34,29,[11.],[0.],[11.],[11.]
35,29,[11.],[0.],[11.],[11.]
36,30,[11.],[0.],[11.],[11.]
37,28,[11.],[0.],[11.],[11.]
38,31,[11.],[0.],[11.],[11.]
39,25,[11.],[0.],[11.],[11.]
40,39,[11.],[0.],[11.],[11.]
41,31,[11.],[0.],[11.],[11.]
42,37,[11.],[0.],[11.],[11.]
43,36,[11.],[0.],[11.],[11.]
44,29,[11.],[0.],[11.],[11.]
45,29,[11.],[0.],[11.],[11.]
46,30,[11.],[0.],[11.],[11.]
47,30,[11.],[0.],[11.],[11.]
48,25,[11.],[0.],[11.],[11.]
49,24,[11.],[0.],[11.],[11.]
50,34,[11.],[0.],[11.],[11.]
51,24,[11.],[0.],[11.],[11.]
52,29,[11.],[0.],[11.],[11.]
53,23,[11.],[0.],[11.],[11.]
54,35,[11.],[0.],[11.],[11.]
55,24,[11.],[0.],[11.],[11.]
56,31,[11.],[0.],[11.],[11.]
57,36,[11.],[0.],[11.],[11.]
58,37,[11.],[0.],[11.],[11.]
59,27,[11.],[0.],[11.],[11.]
60,33,[11.],[0.],[11.],[11.]
61,36,[11.],[0.],[11.],[11.]
62,26,[11.],[0.],[11.],[11.]
63,26,[11.],[0.],[11.],[11.]
64,25,[11.],[0.],[11.],[11.]
65,34,[11.],[0.],[11.],[11.]
66,40,[11.],[0.],[11.],[11.]
67,30,[11.],[0.],[11.],[11.]
68,21,[11.],[0.],[11.],[11.]
69,32,[11.],[0.],[11.],[11.]
70,27,[11.],[0.],[11.],[11.]
,,,,,
gen,nevals,avg,std,min,max
0,60,[13.93333333],[0.24944383],[13.],[14.]
1,43,[13.8],[0.4],[13.],[14.]
2,38,[13.56666667],[0.49553562],[13.],[14.]
3,38,[13.],[0.],[13.],[13.]
4,36,[12.95],[0.21794495],[12.],[13.]
5,33,[12.78333333],[0.41197357],[12.],[13.]
6,41,[12.51666667],[0.49972215],[12.],[13.]
7,44,[12.],[0.],[12.],[12.]
8,35,[12.],[0.],[12.],[12.]
9,35,[12.],[0.],[12.],[12.]
10,36,[12.],[0.],[12.],[12.]
11,38,[12.],[0.],[12.],[12.]
12,51,[12.],[0.],[12.],[12.]
13,38,[12.],[0.],[12.],[12.]
14,39,[12.],[0.],[12.],[12.]
15,43,[12.],[0.],[12.],[12.]
16,44,[12.],[0.],[12.],[12.]
17,44,[12.],[0.],[12.],[12.]
18,43,[12.],[0.],[12.],[12.]
19,37,[12.],[0.],[12.],[12.]
20,44,[12.],[0.],[12.],[12.]
21,48,[12.],[0.],[12.],[12.]
22,40,[12.],[0.],[12.],[12.]
23,39,[12.],[0.],[12.],[12.]
24,51,[12.],[0.],[12.],[12.]
25,36,[12.],[0.],[12.],[12.]
26,41,[12.],[0.],[12.],[12.]
27,42,[12.],[0.],[12.],[12.]
28,37,[12.],[0.],[12.],[12.]
29,28,[12.],[0.],[12.],[12.]
30,41,[12.],[0.],[12.],[12.]
31,42,[12.],[0.],[12.],[12.]
32,40,[12.],[0.],[12.],[12.]
33,38,[12.],[0.],[12.],[12.]
34,41,[12.],[0.],[12.],[12.]
35,35,[12.],[0.],[12.],[12.]
36,39,[12.],[0.],[12.],[12.]
37,42,[12.],[0.],[12.],[12.]
38,36,[12.],[0.],[12.],[12.]
39,48,[12.],[0.],[12.],[12.]
40,32,[12.],[0.],[12.],[12.]
41,26,[12.],[0.],[12.],[12.]
42,39,[12.],[0.],[12.],[12.]
43,37,[12.],[0.],[12.],[12.]
44,37,[12.],[0.],[12.],[12.]
45,41,[12.],[0.],[12.],[12.]
46,37,[12.],[0.],[12.],[12.]
47,39,[12.],[0.],[12.],[12.]
48,40,[12.],[0.],[12.],[12.]
49,39,[12.],[0.],[12.],[12.]
50,43,[12.],[0.],[12.],[12.]
51,46,[12.],[0.],[12.],[12.]
52,39,[12.],[0.],[12.],[12.]
53,35,[12.],[0.],[12.],[12.]
54,39,[12.],[0.],[12.],[12.]
55,45,[12.],[0.],[12.],[12.]
56,43,[12.],[0.],[12.],[12.]
57,37,[12.],[0.],[12.],[12.]
58,42,[12.],[0.],[12.],[12.]
59,46,[12.],[0.],[12.],[12.]
60,34,[12.],[0.],[12.],[12.]
61,37,[12.],[0.],[12.],[12.]
62,43,[12.],[0.],[12.],[12.]
63,35,[12.],[0.],[12.],[12.]
64,38,[12.],[0.],[12.],[12.]
65,42,[12.],[0.],[12.],[12.]
66,40,[12.],[0.],[12.],[12.]
67,43,[12.],[0.],[12.],[12.]
68,37,[12.],[0.],[12.],[12.]
69,39,[12.],[0.],[12.],[12.]
70,40,[12.],[0.],[12.],[12.]
,,,,,
gen,nevals,avg,std,min,max
0,60,[13.96666667],[0.17950549],[13.],[14.]
1,47,[13.91666667],[0.2763854],[13.],[14.]
2,52,[13.73333333],[0.44221664],[13.],[14.]
3,47,[13.46666667],[0.49888765],[13.],[14.]
4,48,[13.],[0.],[13.],[13.]
5,51,[13.],[0.],[13.],[13.]
6,53,[13.],[0.],[13.],[13.]
7,51,[13.],[0.],[13.],[13.]
8,56,[13.],[0.],[13.],[13.]
9,54,[13.],[0.],[13.],[13.]
10,52,[13.],[0.],[13.],[13.]
11,51,[13.],[0.],[13.],[13.]
12,52,[13.],[0.],[13.],[13.]
13,49,[13.],[0.],[13.],[13.]
14,50,[13.],[0.],[13.],[13.]
15,44,[13.],[0.],[13.],[13.]
16,43,[13.],[0.],[13.],[13.]
17,45,[13.],[0.],[13.],[13.]
18,45,[13.],[0.],[13.],[13.]
19,44,[13.],[0.],[13.],[13.]
20,46,[13.],[0.],[13.],[13.]
21,48,[13.],[0.],[13.],[13.]
22,58,[13.],[0.],[13.],[13.]
23,48,[13.],[0.],[13.],[13.]
24,58,[13.],[0.],[13.],[13.]
25,55,[13.],[0.],[13.],[13.]
26,49,[13.],[0.],[13.],[13.]
27,54,[13.],[0.],[13.],[13.]
28,55,[13.],[0.],[13.],[13.]
29,45,[13.],[0.],[13.],[13.]
30,49,[13.],[0.],[13.],[13.]
31,46,[13.],[0.],[13.],[13.]
32,50,[13.],[0.],[13.],[13.]
33,52,[13.],[0.],[13.],[13.]
34,50,[13.],[0.],[13.],[13.]
35,52,[13.],[0.],[13.],[13.]
36,56,[13.],[0.],[13.],[13.]
37,46,[13.],[0.],[13.],[13.]
38,46,[13.],[0.],[13.],[13.]
39,50,[13.],[0.],[13.],[13.]
40,51,[13.],[0.],[13.],[13.]
41,45,[13.],[0.],[13.],[13.]
42,51,[13.],[0.],[13.],[13.]
43,45,[13.],[0.],[13.],[13.]
44,51,[13.],[0.],[13.],[13.]
45,48,[13.],[0.],[13.],[13.]
46,45,[13.],[0.],[13.],[13.]
47,47,[13.],[0.],[13.],[13.]
48,58,[13.],[0.],[13.],[13.]
49,54,[13.],[0.],[13.],[13.]
50,53,[13.],[0.],[13.],[13.]
51,51,[13.],[0.],[13.],[13.]
52,54,[13.],[0.],[13.],[13.]
53,55,[13.],[0.],[13.],[13.]
54,46,[13.],[0.],[13.],[13.]
55,46,[13.],[0.],[13.],[13.]
56,40,[13.],[0.],[13.],[13.]
57,46,[13.],[0.],[13.],[13.]
58,43,[13.],[0.],[13.],[13.]
59,56,[13.],[0.],[13.],[13.]
60,42,[13.],[0.],[13.],[13.]
61,51,[13.],[0.],[13.],[13.]
62,58,[13.],[0.],[13.],[13.]
63,48,[13.],[0.],[13.],[13.]
64,55,[13.],[0.],[13.],[13.]
65,55,[13.],[0.],[13.],[13.]
66,55,[13.],[0.],[13.],[13.]
67,55,[13.],[0.],[13.],[13.]
68,50,[13.],[0.],[13.],[13.]
