lamb,Max_fit,Gen,Dataset,Dist,Hof
100,10.0,30,"[6, 7, 7, 7, 7]",0.20650795238412778,"[6, 7, 7, 4, 4, 7, 4, 3, 7]"
101,10.0,30,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.12776101727071154,"[4, 7, 4, 3, 4, 4, 6, 9, 9, 3]"
102,9.0,32,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 7, 7, 4, 6, 4, 7, 7, 3, 7, 3]"
103,9.0,28,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[7, 3, 4, 4, 3, 7, 3, 7, 7, 7]"
104,9.0,30,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[4, 3, 3, 7, 7, 7, 7, 7, 4, 4]"
105,9.0,70,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.26548296191217813,"[7, 3, 7, 4, 6, 4, 4, 9, 4, 9]"
106,10.0,16,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14076541833431244,"[3, 6, 7, 3, 9, 9, 4, 3, 4]"
107,10.0,48,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1946427144704228,"[3, 7, 4, 3, 4, 4, 9, 9, 9]"
108,9.0,39,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14406598736065113,"[7, 4, 3, 4, 3, 6, 3, 9, 9, 4, 7]"
109,9.0,55,"[7, 7, 7, 7, 6, 7]",0.22240681407904705,"[6, 7, 7, 3, 7, 4, 4, 7, 4, 7, 4]"
