rand,Max_fit,Gen,Dataset,Dist,Hof
96307,10.0,32,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.16761649901136522,"[3, 6, 7, 4, 9, 4, 4, 3, 7]"
96391,9.0,55,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[4, 3, 3, 4, 7, 6, 7, 3, 7, 7, 7]"
96466,10.0,31,"[7, 7, 7, 7, 7, 7]",0.12481005101263254,"[1, 7, 7, 3, 3, 7, 7, 7, 3, 7, 4]"
96555,10.0,41,"[7, 7, 7, 7, 7, 7]",0.15484574527148343,"[7, 7, 7, 7, 7, 3, 3, 3, 4]"
96633,11.0,17,"[7, 7, 7, 7, 7, 7]",0.19999999999999996,"[4, 7, 7, 7, 4, 7, 4]"
96707,9.0,56,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 7, 7, 4, 6, 4, 3, 9, 4, 9]"
96791,10.0,63,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2392325432251513,"[6, 3, 7, 9, 9, 4, 4, 4]"
96867,11.0,15,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1560042848904457,"[6, 4, 3, 3, 9, 9, 4]"
96946,10.0,28,"[7, 7, 7, 7, 7, 7]",0.16666666666666663,"[2, 4, 7, 7, 3, 7, 3, 7, 7, 3]"
97045,10.0,32,"[7, 7, 7, 7, 6, 7]",0.12552536780479384,"[3, 3, 7, 7, 7, 4, 7, 6, 4, 7]"
