mutate,Max_fit,Gen,Dataset,Dist,Hof
0.0,13.0,0,"[7, 7, 7, 7, 7, 7, 7]",0.2928932188134524,"[4, 7]"
0.1,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 4, 7]"
0.2,12.0,5,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.15948948511276317,"[3, 6, 4, 9, 3]"
0.30000000000000004,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[4, 7, 7]"
0.4,9.0,27,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1741081744498082,"[3, 3, 3, 7, 6, 4, 3, 9, 4, 9, 7]"
0.5,11.0,13,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.11776915844926794,"[4, 6, 3, 9, 3, 7, 4]"
0.6000000000000001,9.0,22,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 7, 6, 7, 4, 9, 9, 3, 4, 4]"
0.7000000000000001,9.0,29,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.28806649533225837,"[7, 7, 4, 4, 4, 6, 4, 9, 4, 7, 3]"
0.8,9.0,21,"[7, 7, 9, 7, 7, 7, 7, 7, 7, 9, 7]",0.24748786733772754,"[7, 4, 7, 4, 4, 3, 3, 7, 9, 7]"
0.9,9.0,23,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 3, 4, 7, 7, 7, 6, 3, 7, 3, 4]"
