cross,Max_fit,Gen,Dataset,Dist,Hof
0.0,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 3, 7]"
0.05,13.0,0,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.12154140808066816,"[3, 9, 4]"
0.1,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 7, 3]"
0.15000000000000002,12.0,10,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",0.095465966266709,"[4, 7, 3, 7, 7]"
0.2,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 4, 7]"
0.25,13.0,0,"[7, 7, 7, 7, 7, 7]",0.10557280900008414,"[7, 4, 7]"
0.30000000000000004,13.0,0,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.09214488312175628,"[4, 3, 3, 9]"
0.35000000000000003,13.0,0,"[7, 9, 9, 7, 9]",0.09417837268432327,"[9, 7, 3, 9]"
0.4,11.0,14,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.21798594113768188,"[4, 3, 3, 3, 7, 10, 6, 9]"
0.45,11.0,10,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.1560042848904457,"[3, 3, 7, 4, 4, 9, 9]"
0.5,10.0,20,"[7, 9, 9, 7, 9]",0.24819058844388753,"[7, 3, 3, 4, 9, 9, 3, 9, 7]"
0.55,11.0,23,"[7, 9, 9, 7, 9]",0.23129388521419258,"[3, 3, 7, 9, 9, 7, 3, 9]"
0.6000000000000001,11.0,16,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.11722038549080738,"[6, 4, 3, 9, 4, 9, 3, 4]"
0.65,10.0,34,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.14076541833431244,"[3, 4, 6, 3, 9, 9, 3, 7, 4]"
0.7000000000000001,9.0,35,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 3, 7, 7, 6, 7, 3, 4, 7, 4, 7]"
0.75,9.0,42,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.24252930447193366,"[7, 3, 3, 7, 4, 3, 4, 9, 9, 9]"
