gen,nevals,avg,std,min,max
0,60,[13.95],[0.21794495],[13.],[14.]
1,91,[13.88333333],[0.32102267],[13.],[14.]
2,88,[13.73333333],[0.44221664],[13.],[14.]
3,93,[13.33333333],[0.47140452],[13.],[14.]
4,87,[13.],[0.],[13.],[13.]
5,89,[12.98333333],[0.1280191],[12.],[13.]
6,89,[12.95],[0.21794495],[12.],[13.]
7,91,[12.88333333],[0.32102267],[12.],[13.]
8,91,[12.8],[0.4],[12.],[13.]
9,91,[12.65],[0.4769696],[12.],[13.]
10,93,[12.33333333],[0.47140452],[12.],[13.]
11,93,[12.],[0.],[12.],[12.]
12,93,[12.],[0.],[12.],[12.]
13,93,[11.98333333],[0.1280191],[11.],[12.]
14,85,[11.95],[0.21794495],[11.],[12.]
15,91,[11.91666667],[0.2763854],[11.],[12.]
16,89,[11.81666667],[0.38693956],[11.],[12.]
17,88,[11.71666667],[0.45061686],[11.],[12.]
18,94,[11.46666667],[0.49888765],[11.],[12.]
19,87,[11.],[0.],[11.],[11.]
20,86,[11.],[0.],[11.],[11.]
21,91,[11.],[0.],[11.],[11.]
22,91,[11.],[0.],[11.],[11.]
23,90,[10.98333333],[0.1280191],[10.],[11.]
24,91,[10.96666667],[0.17950549],[10.],[11.]
25,90,[10.95],[0.21794495],[10.],[11.]
26,90,[10.93333333],[0.24944383],[10.],[11.]
27,85,[10.9],[0.3],[10.],[11.]
28,89,[10.86666667],[0.33993463],[10.],[11.]
29,93,[10.83333333],[0.372678],[10.],[11.]
30,85,[10.71666667],[0.45061686],[10.],[11.]
31,91,[10.53333333],[0.49888765],[10.],[11.]
32,94,[10.36666667],[0.48189441],[10.],[11.]
33,91,[10.],[0.],[10.],[10.]
34,86,[10.],[0.],[10.],[10.]
35,91,[9.98333333],[0.1280191],[9.],[10.]
36,91,[9.96666667],[0.17950549],[9.],[10.]
37,86,[9.96666667],[0.17950549],[9.],[10.]
38,90,[9.95],[0.21794495],[9.],[10.]
39,84,[9.91666667],[0.2763854],[9.],[10.]
40,90,[9.85],[0.35707142],[9.],[10.]
41,91,[9.66666667],[0.47140452],[9.],[10.]
42,87,[9.31666667],[0.46517619],[9.],[10.]
43,96,[9.],[0.],[9.],[9.]
44,93,[9.],[0.],[9.],[9.]
45,83,[9.],[0.],[9.],[9.]
46,92,[9.],[0.],[9.],[9.]
47,89,[9.],[0.],[9.],[9.]
48,92,[9.],[0.],[9.],[9.]
49,90,[9.],[0.],[9.],[9.]
50,94,[9.],[0.],[9.],[9.]
51,87,[9.],[0.],[9.],[9.]
52,96,[9.],[0.],[9.],[9.]
53,90,[9.],[0.],[9.],[9.]
54,90,[9.],[0.],[9.],[9.]
55,93,[9.],[0.],[9.],[9.]
56,91,[9.],[0.],[9.],[9.]
57,93,[9.],[0.],[9.],[9.]
58,85,[9.],[0.],[9.],[9.]
59,90,[9.],[0.],[9.],[9.]
60,86,[9.],[0.],[9.],[9.]
61,81,[9.],[0.],[9.],[9.]
62,90,[9.],[0.],[9.],[9.]
63,92,[9.],[0.],[9.],[9.]
64,91,[9.],[0.],[9.],[9.]
65,88,[9.],[0.],[9.],[9.]
66,92,[9.],[0.],[9.],[9.]
67,91,[9.],[0.],[9.],[9.]
68,86,[9.],[0.],[9.],[9.]
69,91,[9.],[0.],[9.],[9.]
70,93,[9.],[0.],[9.],[9.]
,,,,,
gen,nevals,avg,std,min,max
0,60,[13.95],[0.21794495],[13.],[14.]
1,92,[13.88333333],[0.32102267],[13.],[14.]
2,89,[13.71666667],[0.45061686],[13.],[14.]
3,94,[13.38333333],[0.4861984],[13.],[14.]
4,89,[12.98333333],[0.1280191],[12.],[13.]
5,87,[12.98333333],[0.1280191],[12.],[13.]
6,92,[12.96666667],[0.17950549],[12.],[13.]
7,92,[12.93333333],[0.24944383],[12.],[13.]
8,94,[12.86666667],[0.33993463],[12.],[13.]
9,89,[12.71666667],[0.45061686],[12.],[13.]
10,92,[12.38333333],[0.4861984],[12.],[13.]
11,91,[11.98333333],[0.1280191],[11.],[12.]
12,92,[11.9],[0.3],[11.],[12.]
13,90,[11.83333333],[0.372678],[11.],[12.]
14,89,[11.63333333],[0.48189441],[11.],[12.]
15,91,[11.3],[0.45825757],[11.],[12.]
16,88,[11.],[0.],[11.],[11.]
17,91,[10.98333333],[0.1280191],[10.],[11.]
18,93,[10.98333333],[0.1280191],[10.],[11.]
19,92,[10.98333333],[0.1280191],[10.],[11.]
20,88,[10.98333333],[0.1280191],[10.],[11.]
21,94,[10.96666667],[0.17950549],[10.],[11.]
22,95,[10.96666667],[0.17950549],[10.],[11.]
23,89,[10.96666667],[0.17950549],[10.],[11.]
24,96,[10.93333333],[0.24944383],[10.],[11.]
25,89,[10.93333333],[0.24944383],[10.],[11.]
26,88,[10.9],[0.3],[10.],[11.]
27,85,[10.76666667],[0.42295258],[10.],[11.]
28,92,[10.65],[0.4769696],[10.],[11.]
29,92,[10.38333333],[0.4861984],[10.],[11.]
30,91,[10.],[0.],[10.],[10.]
31,93,[10.],[0.],[10.],[10.]
32,95,[10.],[0.],[10.],[10.]
33,90,[10.],[0.],[10.],[10.]
34,93,[10.],[0.],[10.],[10.]
35,96,[10.],[0.],[10.],[10.]
36,90,[10.],[0.],[10.],[10.]
37,91,[10.],[0.],[10.],[10.]
38,87,[10.],[0.],[10.],[10.]
39,85,[10.],[0.],[10.],[10.]
40,93,[10.],[0.],[10.],[10.]
41,92,[10.],[0.],[10.],[10.]
42,85,[10.],[0.],[10.],[10.]
43,91,[10.],[0.],[10.],[10.]
44,94,[10.],[0.],[10.],[10.]
45,87,[10.],[0.],[10.],[10.]
46,90,[10.],[0.],[10.],[10.]
47,91,[10.],[0.],[10.],[10.]
48,89,[10.],[0.],[10.],[10.]
49,87,[10.],[0.],[10.],[10.]
50,90,[10.],[0.],[10.],[10.]
51,91,[10.],[0.],[10.],[10.]
52,87,[9.98333333],[0.1280191],[9.],[10.]
53,92,[9.96666667],[0.17950549],[9.],[10.]
54,92,[9.91666667],[0.2763854],[9.],[10.]
55,92,[9.86666667],[0.33993463],[9.],[10.]
56,91,[9.8],[0.4],[9.],[10.]
57,93,[9.75],[0.4330127],[9.],[10.]
58,91,[9.65],[0.4769696],[9.],[10.]
59,93,[9.5],[0.5],[9.],[10.]
60,84,[9.],[0.],[9.],[9.]
61,87,[9.],[0.],[9.],[9.]
62,88,[9.],[0.],[9.],[9.]
63,90,[9.],[0.],[9.],[9.]
64,94,[9.],[0.],[9.],[9.]
65,88,[9.],[0.],[9.],[9.]
