mu,Max_fit,Gen,Dataset,Dist,Hof
60,9.0,35,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[3, 3, 7, 7, 6, 7, 3, 4, 7, 4, 7]"
61,9.0,28,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 7, 4, 7, 3, 4, 3, 7, 6, 3, 7]"
62,10.0,36,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.18869291998516868,"[4, 3, 7, 4, 4, 7, 6, 9, 3, 5]"
63,9.0,40,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 7, 3, 7, 6, 4, 4, 3, 9, 9]"
64,9.0,33,"[7, 7, 7, 7, 6, 7]",0.28599445270458335,"[3, 7, 3, 6, 7, 3, 7, 3, 3, 7, 7]"
65,9.0,26,"[3, 4, 3, 4, 3, 4, 9, 3, 4, 3, 4, 3, 4]",0.2014957943904805,"[3, 7, 3, 7, 6, 9, 4, 9, 4, 3]"
66,9.0,35,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[3, 7, 7, 3, 7, 7, 4, 7, 4, 4]"
67,9.0,34,"[7, 7, 7, 7, 6, 7]",0.18350341907227397,"[7, 7, 7, 4, 6, 4, 4, 7, 3, 7, 3]"
68,9.0,36,"[7, 7, 7, 7, 7, 7]",0.18889289434618728,"[7, 3, 3, 3, 4, 7, 4, 7, 7, 7]"
69,9.0,59,"[6, 7, 7, 7, 7]",0.25946836882264535,"[1, 4, 4, 3, 7, 7, 6, 7, 3, 7, 3]"
