gen,nevals,avg,std,min,max
0,60,[13.95],[0.21794495],[13.],[14.]
1,0,[13.86666667],[0.33993463],[13.],[14.]
2,0,[13.63333333],[0.48189441],[13.],[14.]
3,0,[13.03333333],[0.17950549],[13.],[14.]
4,0,[13.],[0.],[13.],[13.]
5,0,[13.],[0.],[13.],[13.]
6,0,[13.],[0.],[13.],[13.]
7,0,[13.],[0.],[13.],[13.]
8,0,[13.],[0.],[13.],[13.]
9,0,[13.],[0.],[13.],[13.]
10,0,[13.],[0.],[13.],[13.]
11,0,[13.],[0.],[13.],[13.]
12,0,[13.],[0.],[13.],[13.]
13,0,[13.],[0.],[13.],[13.]
14,0,[13.],[0.],[13.],[13.]
15,0,[13.],[0.],[13.],[13.]
16,0,[13.],[0.],[13.],[13.]
17,0,[13.],[0.],[13.],[13.]
18,0,[13.],[0.],[13.],[13.]
19,0,[13.],[0.],[13.],[13.]
20,0,[13.],[0.],[13.],[13.]
21,0,[13.],[0.],[13.],[13.]
22,0,[13.],[0.],[13.],[13.]
23,0,[13.],[0.],[13.],[13.]
24,0,[13.],[0.],[13.],[13.]
25,0,[13.],[0.],[13.],[13.]
26,0,[13.],[0.],[13.],[13.]
27,0,[13.],[0.],[13.],[13.]
28,0,[13.],[0.],[13.],[13.]
29,0,[13.],[0.],[13.],[13.]
30,0,[13.],[0.],[13.],[13.]
31,0,[13.],[0.],[13.],[13.]
32,0,[13.],[0.],[13.],[13.]
33,0,[13.],[0.],[13.],[13.]
34,0,[13.],[0.],[13.],[13.]
35,0,[13.],[0.],[13.],[13.]
36,0,[13.],[0.],[13.],[13.]
37,0,[13.],[0.],[13.],[13.]
38,0,[13.],[0.],[13.],[13.]
39,0,[13.],[0.],[13.],[13.]
40,0,[13.],[0.],[13.],[13.]
41,0,[13.],[0.],[13.],[13.]
42,0,[13.],[0.],[13.],[13.]
43,0,[13.],[0.],[13.],[13.]
44,0,[13.],[0.],[13.],[13.]
45,0,[13.],[0.],[13.],[13.]
46,0,[13.],[0.],[13.],[13.]
47,0,[13.],[0.],[13.],[13.]
48,0,[13.],[0.],[13.],[13.]
49,0,[13.],[0.],[13.],[13.]
50,0,[13.],[0.],[13.],[13.]
51,0,[13.],[0.],[13.],[13.]
52,0,[13.],[0.],[13.],[13.]
53,0,[13.],[0.],[13.],[13.]
54,0,[13.],[0.],[13.],[13.]
55,0,[13.],[0.],[13.],[13.]
56,0,[13.],[0.],[13.],[13.]
57,0,[13.],[0.],[13.],[13.]
58,0,[13.],[0.],[13.],[13.]
59,0,[13.],[0.],[13.],[13.]
60,0,[13.],[0.],[13.],[13.]
61,0,[13.],[0.],[13.],[13.]
62,0,[13.],[0.],[13.],[13.]
63,0,[13.],[0.],[13.],[13.]
64,0,[13.],[0.],[13.],[13.]
65,0,[13.],[0.],[13.],[13.]
66,0,[13.],[0.],[13.],[13.]
67,0,[13.],[0.],[13.],[13.]
68,0,[13.],[0.],[13.],[13.]
69,0,[13.],[0.],[13.],[13.]
70,0,[13.],[0.],[13.],[13.]
,,,,,
gen,nevals,avg,std,min,max
0,60,[13.95],[0.21794495],[13.],[14.]
1,4,[13.88333333],[0.32102267],[13.],[14.]
2,3,[13.71666667],[0.45061686],[13.],[14.]
3,3,[13.21666667],[0.41197357],[13.],[14.]
4,1,[13.],[0.],[13.],[13.]
5,1,[13.],[0.],[13.],[13.]
6,7,[13.],[0.],[13.],[13.]
7,7,[13.],[0.],[13.],[13.]
8,7,[13.],[0.],[13.],[13.]
9,6,[13.],[0.],[13.],[13.]
10,3,[13.],[0.],[13.],[13.]
11,5,[13.],[0.],[13.],[13.]
12,4,[13.],[0.],[13.],[13.]
13,6,[13.],[0.],[13.],[13.]
14,5,[13.],[0.],[13.],[13.]
15,6,[13.],[0.],[13.],[13.]
16,4,[13.],[0.],[13.],[13.]
17,4,[13.],[0.],[13.],[13.]
18,8,[13.],[0.],[13.],[13.]
19,6,[13.],[0.],[13.],[13.]
20,7,[13.],[0.],[13.],[13.]
21,4,[13.],[0.],[13.],[13.]
22,3,[13.],[0.],[13.],[13.]
23,5,[13.],[0.],[13.],[13.]
24,1,[13.],[0.],[13.],[13.]
25,4,[13.],[0.],[13.],[13.]
26,9,[13.],[0.],[13.],[13.]
27,2,[13.],[0.],[13.],[13.]
28,5,[13.],[0.],[13.],[13.]
29,3,[13.],[0.],[13.],[13.]
