gen,nevals,avg,std,min,max
0,70,[13.95714286],[0.20253496],[13.],[14.]
1,93,[13.9],[0.3],[13.],[14.]
2,91,[13.78571429],[0.4103259],[13.],[14.]
3,91,[13.57142857],[0.49487166],[13.],[14.]
4,92,[13.27142857],[0.44469664],[13.],[14.]
5,90,[13.],[0.],[13.],[13.]
6,89,[13.],[0.],[13.],[13.]
7,90,[13.],[0.],[13.],[13.]
8,92,[13.],[0.],[13.],[13.]
9,84,[12.98571429],[0.11866606],[12.],[13.]
10,90,[12.97142857],[0.16659863],[12.],[13.]
11,88,[12.97142857],[0.16659863],[12.],[13.]
12,88,[12.92857143],[0.25753938],[12.],[13.]
13,90,[12.85714286],[0.34992711],[12.],[13.]
14,88,[12.75714286],[0.42880946],[12.],[13.]
15,92,[12.47142857],[0.49918301],[12.],[13.]
16,89,[12.],[0.],[12.],[12.]
17,83,[12.],[0.],[12.],[12.]
18,91,[11.98571429],[0.11866606],[11.],[12.]
19,95,[11.94285714],[0.23211538],[11.],[12.]
20,93,[11.87142857],[0.33472499],[11.],[12.]
21,87,[11.68571429],[0.46423077],[11.],[12.]
22,90,[11.35714286],[0.47915742],[11.],[12.]
23,91,[11.],[0.],[11.],[11.]
24,92,[11.],[0.],[11.],[11.]
25,89,[10.98571429],[0.11866606],[10.],[11.]
26,91,[10.97142857],[0.16659863],[10.],[11.]
27,94,[10.94285714],[0.23211538],[10.],[11.]
28,94,[10.91428571],[0.27994168],[10.],[11.]
29,91,[10.91428571],[0.27994168],[10.],[11.]
30,88,[10.84285714],[0.36393541],[10.],[11.]
31,93,[10.68571429],[0.46423077],[10.],[11.]
32,92,[10.48571429],[0.52760529],[9.],[11.]
33,90,[10.02857143],[0.23733211],[9.],[11.]
34,94,[9.98571429],[0.11866606],[9.],[10.]
35,88,[9.98571429],[0.11866606],[9.],[10.]
36,91,[9.98571429],[0.11866606],[9.],[10.]
37,89,[9.97142857],[0.16659863],[9.],[10.]
38,89,[9.97142857],[0.16659863],[9.],[10.]
39,89,[9.94285714],[0.23211538],[9.],[10.]
40,88,[9.9],[0.3],[9.],[10.]
41,94,[9.82857143],[0.37688303],[9.],[10.]
42,92,[9.74285714],[0.43705882],[9.],[10.]
43,90,[9.45714286],[0.49815988],[9.],[10.]
44,90,[9.],[0.],[9.],[9.]
45,92,[9.],[0.],[9.],[9.]
46,91,[9.],[0.],[9.],[9.]
47,87,[9.],[0.],[9.],[9.]
48,90,[9.],[0.],[9.],[9.]
49,89,[9.],[0.],[9.],[9.]
50,92,[9.],[0.],[9.],[9.]
51,92,[9.],[0.],[9.],[9.]
52,90,[9.],[0.],[9.],[9.]
53,89,[9.],[0.],[9.],[9.]
54,93,[9.],[0.],[9.],[9.]
55,90,[9.],[0.],[9.],[9.]
56,93,[9.],[0.],[9.],[9.]
57,88,[9.],[0.],[9.],[9.]
58,90,[9.],[0.],[9.],[9.]
59,88,[9.],[0.],[9.],[9.]
60,89,[9.],[0.],[9.],[9.]
61,92,[9.],[0.],[9.],[9.]
62,92,[9.],[0.],[9.],[9.]
63,90,[9.],[0.],[9.],[9.]
64,95,[9.],[0.],[9.],[9.]
65,92,[9.],[0.],[9.],[9.]
66,90,[9.],[0.],[9.],[9.]
67,89,[9.],[0.],[9.],[9.]
68,92,[9.],[0.],[9.],[9.]
69,91,[9.],[0.],[9.],[9.]
70,92,[9.],[0.],[9.],[9.]
,,,,,
gen,nevals,avg,std,min,max
