optimal,Max_fit,Gen,Dataset,Dist,Hof
138144,14.0,25,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138203,14.0,35,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138257,14.0,28,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138315,14.0,37,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138368,14.0,32,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138423,14.0,30,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138479,14.0,27,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138537,14.0,34,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138591,14.0,36,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
138645,14.0,34,"[9, 9, 9, 9]",0.0,"[9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9]"
