gen,nevals,avg,std,min,max
0,67,[27.65671642],[0.50526301],[26.],[28.]
1,104,[27.1641791],[0.40874818],[26.],[28.]
2,104,[26.79104478],[0.40656234],[26.],[27.]
3,104,[26.34328358],[0.47480519],[26.],[27.]
4,104,[25.86567164],[0.38227607],[24.],[26.]
5,104,[25.43283582],[0.60406288],[24.],[26.]
6,104,[24.85074627],[0.3563384],[24.],[25.]
7,104,[24.41791045],[0.49321527],[24.],[25.]
8,104,[23.89552239],[0.30587913],[23.],[24.]
9,104,[23.65671642],[0.50526301],[22.],[24.]
10,104,[23.07462687],[0.60627152],[21.],[24.]
11,104,[22.56716418],[0.57882745],[21.],[23.]
12,104,[21.92537313],[0.46723808],[20.],[23.]
13,104,[21.65671642],[0.56124166],[20.],[22.]
14,104,[21.13432836],[0.71017178],[19.],[22.]
15,104,[20.52238806],[0.60737283],[19.],[21.]
16,104,[19.88059701],[0.3242621],[19.],[20.]
17,104,[19.56716418],[0.52472823],[18.],[20.]
18,104,[19.05970149],[0.34035087],[18.],[20.]
19,104,[18.80597015],[0.39545198],[18.],[19.]
20,104,[18.47761194],[0.49949852],[18.],[19.]
21,104,[17.98507463],[0.1212543],[17.],[18.]
22,104,[17.86567164],[0.34100477],[17.],[18.]
23,104,[17.62686567],[0.51357166],[16.],[18.]
24,104,[17.01492537],[0.40491522],[16.],[18.]
25,104,[16.8358209],[0.37043802],[16.],[17.]
26,104,[16.59701493],[0.49049781],[16.],[17.]
27,104,[15.98507463],[0.21107665],[15.],[17.]
28,104,[15.82089552],[0.42056725],[14.],[16.]
29,104,[15.35820896],[0.59101462],[14.],[16.]
30,104,[14.86567164],[0.34100477],[14.],[15.]
31,104,[14.79104478],[0.40656234],[14.],[15.]
32,104,[14.56716418],[0.49546844],[14.],[15.]
33,104,[14.05970149],[0.23693295],[14.],[15.]
34,104,[14.],[0.],[14.],[14.]
35,104,[14.],[0.],[14.],[14.]
36,104,[14.],[0.],[14.],[14.]
37,104,[14.],[0.],[14.],[14.]
38,104,[14.],[0.],[14.],[14.]
39,104,[14.],[0.],[14.],[14.]
40,104,[14.],[0.],[14.],[14.]
41,104,[14.],[0.],[14.],[14.]
42,104,[14.],[0.],[14.],[14.]
43,104,[14.],[0.],[14.],[14.]
44,104,[14.],[0.],[14.],[14.]
45,104,[14.],[0.],[14.],[14.]
46,104,[14.],[0.],[14.],[14.]
47,104,[14.],[0.],[14.],[14.]
48,104,[14.],[0.],[14.],[14.]
49,104,[14.],[0.],[14.],[14.]
50,104,[14.],[0.],[14.],[14.]
51,104,[14.],[0.],[14.],[14.]
52,104,[14.],[0.],[14.],[14.]
53,104,[14.],[0.],[14.],[14.]
54,104,[14.],[0.],[14.],[14.]
55,104,[14.],[0.],[14.],[14.]
56,104,[14.],[0.],[14.],[14.]
57,104,[14.],[0.],[14.],[14.]
58,104,[14.],[0.],[14.],[14.]
59,104,[14.],[0.],[14.],[14.]
60,104,[14.],[0.],[14.],[14.]
61,104,[14.],[0.],[14.],[14.]
62,104,[14.],[0.],[14.],[14.]
63,104,[14.],[0.],[14.],[14.]
64,104,[14.],[0.],[14.],[14.]
65,104,[14.],[0.],[14.],[14.]
66,104,[14.],[0.],[14.],[14.]
67,104,[14.],[0.],[14.],[14.]
68,104,[14.],[0.],[14.],[14.]
69,104,[14.],[0.],[14.],[14.]
70,104,[14.],[0.],[14.],[14.]
,,,,,
