mu,Max_fit,Gen,Hof
0.08189483923357027,74,20,"[0.007217784533050271, 1.0, 0.012985226683900897, 0.017680295934732897, 0.0013379405255313788, 0.08541263385584322]"
0.0817985505204456,100,21,"[0.006396681364940496, 1.0, 0.013336024827835451, 0.017097943610548057, 0.001347781478499336, 0.08541263385584322]"
0.07948121066952211,62,22,"[0.014208347480360714, 1.0, 0.012985226683900897, 0.01747733002532844, 6.543184320703879e-07, 0.08871757834426042]"
0.07939441542530233,83,23,"[0.014009234575281365, 1.0, 0.013429794027377885, 0.016684120167827304, 2.95817993285997e-06, 0.08871757834426042]"
0.08171140152937553,92,24,"[0.0012043557584425942, 1.0, 0.0020307233812477017, 0.01778779260778681, 0.0012401813904687133, 0.08416888003380865]"
0.07882724287091446,96,25,"[0.013670015354575757, 1.0, 0.013467736863951741, 0.017266006787782208, 6.543184320703879e-07, 0.0893225140400703]"
0.07887347862570492,98,26,"[0.013670015354575757, 1.0, 0.013467736863951741, 0.017619707426419707, 2.95817993285997e-06, 0.0893225140400703]"
0.07896256940746567,99,27,"[0.014026091462678698, 1.0, 0.013467736863951741, 0.017851653629467865, 6.543184320703879e-07, 0.0893225140400703]"
0.077152980136844,90,28,"[0.0, 1.0, 0.0020307233812477017, 0.017851653629467865, 0.0015211824658367772, 0.07922498536123691]"
0.07739432633253689,82,29,"[0.0, 1.0, 0.0, 0.017760461550432587, 0.0012934415334306573, 0.07922498536123691]"
