gen,nevals,avg,std,min,max
0,20,[0.05378028],[0.00091307],[0.05188686],[0.05498035]
1,60,[0.05476017],[0.0001463],[0.05456736],[0.05498035]
2,57,[0.05561304],[0.00282791],[0.05488594],[0.06793876]
3,63,[0.05694885],[0.00461789],[0.05498035],[0.06793876]
4,57,[0.06347686],[0.00608219],[0.05498122],[0.06793876]
5,56,[0.0679863],[9.44786103e-05],[0.06793876],[0.06817529]
6,64,[0.06816366],[5.04747491e-05],[0.06794365],[0.06817529]
7,63,[0.0681777],[1.05182139e-05],[0.06817529],[0.06822355]
8,54,[0.06821411],[8.88541624e-05],[0.06817529],[0.0684591]
9,61,[0.06838815],[8.49296892e-05],[0.06821868],[0.0684591]
10,57,[0.06847788],[6.09935178e-05],[0.06845425],[0.06866075]
11,57,[0.06853976],[9.87878848e-05],[0.0684591],[0.06866075]
12,58,[0.06866293],[2.40777703e-06],[0.06866075],[0.06866559]
13,60,[0.06866559],[2.77555756e-17],[0.06866559],[0.06866559]
14,63,[0.06867679],[4.8821295e-05],[0.06866559],[0.0688896]
15,59,[0.06871437],[8.92747226e-05],[0.06866559],[0.0688896]
16,59,[0.06953249],[0.0028023],[0.0688896],[0.08174745]
17,60,[0.07205529],[0.00546349],[0.0688896],[0.08186923]
18,61,[0.0814371],[0.00066611],[0.08028148],[0.08186923]
19,56,[0.08186923],[1.38777878e-17],[0.08186923],[0.08186923]
20,62,[0.08186923],[1.38777878e-17],[0.08186923],[0.08186923]
21,58,[0.08186923],[1.38777878e-17],[0.08186923],[0.08186923]
22,61,[0.08186964],[1.8149529e-06],[0.08186923],[0.08187756]
23,61,[0.08187006],[2.4982725e-06],[0.08186923],[0.08187756]
24,61,[0.08187256],[4.07966191e-06],[0.08186923],[0.08187756]
25,65,[0.08187756],[1.38777878e-17],[0.08187756],[0.08187756]
26,61,[0.08187756],[1.38777878e-17],[0.08187756],[0.08187756]
27,59,[0.08187756],[1.38777878e-17],[0.08187756],[0.08187756]
28,57,[0.08187756],[1.38777878e-17],[0.08187756],[0.08187756]
29,62,[0.08187756],[1.38777878e-17],[0.08187756],[0.08187756]
30,61,[0.08187756],[1.38777878e-17],[0.08187756],[0.08187756]
31,58,[0.08187768],[5.49138778e-07],[0.08187756],[0.08188007]
32,54,[0.08187835],[1.14175811e-06],[0.08187756],[0.08188007]
33,56,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
34,63,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
35,57,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
36,56,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
37,62,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
38,57,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
39,62,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
40,60,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
41,57,[0.08188007],[1.38777878e-17],[0.08188007],[0.08188007]
42,59,[0.08188027],[5.85769083e-07],[0.08188007],[0.08188206]
43,60,[0.08188115],[9.70027383e-07],[0.08188007],[0.08188206]
44,62,[0.08188207],[7.19924235e-08],[0.08188199],[0.08188238]
45,62,[0.08188215],[1.38966072e-07],[0.08188206],[0.08188238]
46,64,[0.08188238],[0.],[0.08188238],[0.08188238]
