gen,nevals,avg,std,min,max
0,50,[0.05409321],[0.0031855],[0.05083182],[0.07221815]
1,59,[0.05629436],[0.00487022],[0.05393132],[0.07456276]
2,54,[0.05992556],[0.0063773],[0.05452079],[0.07466213]
3,63,[0.06751416],[0.00371384],[0.06454773],[0.07466213]
4,56,[0.07054549],[0.00326784],[0.06469323],[0.07473063]
5,63,[0.07343306],[0.00157805],[0.06905747],[0.07473063]
6,60,[0.0746636],[4.35531073e-05],[0.07459026],[0.07473063]
7,54,[0.07470089],[2.58973502e-05],[0.07466213],[0.07473063]
8,64,[0.07472834],[7.75998764e-06],[0.07470202],[0.07473063]
9,60,[0.07473063],[1.38777878e-17],[0.07473063],[0.07473063]
10,62,[0.07473063],[1.38777878e-17],[0.07473063],[0.07473063]
11,57,[0.07473063],[1.38777878e-17],[0.07473063],[0.07473063]
12,57,[0.07474304],[8.68939843e-05],[0.07473063],[0.0753513]
13,58,[0.07478028],[0.00016838],[0.07473063],[0.0753513]
14,59,[0.07491683],[0.00028443],[0.07473063],[0.0753513]
15,63,[0.07519404],[0.00026599],[0.07473063],[0.0753513]
16,65,[0.0753513],[1.38777878e-17],[0.0753513],[0.0753513]
17,55,[0.0753513],[1.38777878e-17],[0.0753513],[0.0753513]
18,62,[0.07558916],[0.00166503],[0.0753513],[0.08724435]
19,57,[0.07582702],[0.00233055],[0.0753513],[0.08724435]
20,54,[0.07677846],[0.00386478],[0.0753513],[0.08724435]
21,62,[0.0784701],[0.0052647],[0.0753513],[0.08857498]
22,62,[0.08085352],[0.0059548],[0.0753513],[0.08857498]
23,55,[0.0873508],[0.00036099],[0.08724435],[0.08857498]
24,57,[0.08758599],[0.00057711],[0.08724435],[0.08857498]
25,49,[0.08806501],[0.00064319],[0.08724435],[0.08857498]
26,58,[0.08857498],[0.],[0.08857498],[0.08857498]
27,55,[0.08857793],[2.06982292e-05],[0.08857498],[0.08872282]
28,58,[0.08858089],[2.89714858e-05],[0.08857498],[0.08872282]
29,64,[0.08859567],[5.13001223e-05],[0.08857498],[0.08872282]
30,61,[0.08862229],[6.89659309e-05],[0.08857498],[0.08872282]
31,56,[0.08868068],[6.61219243e-05],[0.08857498],[0.08872282]
32,58,[0.08872282],[0.],[0.08872282],[0.08872282]
33,56,[0.08872282],[0.],[0.08872282],[0.08872282]
34,57,[0.08872282],[0.],[0.08872282],[0.08872282]
35,68,[0.08872282],[0.],[0.08872282],[0.08872282]
36,60,[0.08872282],[0.],[0.08872282],[0.08872282]
37,57,[0.08872282],[0.],[0.08872282],[0.08872282]
38,56,[0.08872282],[0.],[0.08872282],[0.08872282]
39,57,[0.08872282],[0.],[0.08872282],[0.08872282]
40,66,[0.08872282],[0.],[0.08872282],[0.08872282]
41,61,[0.08872282],[0.],[0.08872282],[0.08872282]
42,57,[0.08872282],[0.],[0.08872282],[0.08872282]
43,64,[0.08872282],[0.],[0.08872282],[0.08872282]
44,59,[0.08872683],[2.63329887e-05],[0.08872282],[0.08891074]
45,58,[0.08872761],[2.6392032e-05],[0.08872282],[0.08891074]
46,60,[0.08873564],[4.44329744e-05],[0.08872282],[0.08891074]
47,64,[0.08875597],[6.77550856e-05],[0.08872282],[0.08891074]
48,59,[0.08880842],[8.71163022e-05],[0.08872282],[0.08891074]
49,64,[0.08891202],[3.84422538e-06],[0.08891074],[0.08892355]
50,56,[0.08891304],[4.92301055e-06],[0.08891074],[0.08892355]
51,61,[0.08891636],[6.34358862e-06],[0.08891074],[0.08892355]
52,57,[0.08892355],[1.38777878e-17],[0.08892355],[0.08892355]
53,61,[0.08892872],[3.61743833e-05],[0.08892355],[0.08918194]
54,59,[0.08892872],[3.61743833e-05],[0.08892355],[0.08918194]
55,64,[0.08893905],[6.13638574e-05],[0.08892355],[0.08918194]
56,59,[0.08895972],[8.96574419e-05],[0.08892355],[0.08918194]
57,62,[0.08899073],[0.00011334],[0.08892355],[0.08918194]
58,57,[0.08907342],[0.00012753],[0.08892355],[0.08918194]
59,64,[0.08918194],[0.],[0.08918194],[0.08918194]
60,56,[0.08918194],[0.],[0.08918194],[0.08918194]
61,64,[0.08918194],[0.],[0.08918194],[0.08918194]
62,62,[0.08918194],[0.],[0.08918194],[0.08918194]
63,58,[0.08918194],[0.],[0.08918194],[0.08918194]
64,60,[0.08918194],[0.],[0.08918194],[0.08918194]
65,60,[0.08918194],[0.],[0.08918194],[0.08918194]
66,54,[0.08918194],[0.],[0.08918194],[0.08918194]
67,55,[0.08918194],[0.],[0.08918194],[0.08918194]
68,56,[0.08918194],[0.],[0.08918194],[0.08918194]
69,58,[0.08918194],[0.],[0.08918194],[0.08918194]
70,60,[0.08932568],[0.00100621],[0.08918194],[0.09636918]
71,59,[0.08946943],[0.00140841],[0.08918194],[0.09636918]
72,62,[0.08975773],[0.00194962],[0.08918194],[0.09636918]
73,60,[0.0904774],[0.00275869],[0.08918194],[0.09636918]
74,54,[0.09162833],[0.00339821],[0.08918194],[0.09636918]
75,64,[0.09593111],[0.00169555],[0.08922254],[0.09640676]
76,59,[0.09637677],[1.50006793e-05],[0.09636918],[0.09640676]
77,57,[0.09638745],[1.8570714e-05],[0.09636918],[0.09640676]
78,59,[0.09640676],[0.],[0.09640676],[0.09640676]
79,58,[0.09640676],[0.],[0.09640676],[0.09640676]
80,58,[0.09640676],[0.],[0.09640676],[0.09640676]
81,53,[0.09640676],[0.],[0.09640676],[0.09640676]
82,64,[0.09640676],[0.],[0.09640676],[0.09640676]
83,58,[0.09640676],[0.],[0.09640676],[0.09640676]
84,61,[0.09640676],[0.],[0.09640676],[0.09640676]
85,55,[0.09640769],[6.55541908e-06],[0.09640676],[0.09645358]
86,60,[0.0964105],[1.27031473e-05],[0.09640676],[0.09645358]
87,62,[0.09641518],[1.79893555e-05],[0.09640676],[0.09645358]
88,58,[0.09642642],[2.31105918e-05],[0.09640676],[0.09645358]
89,61,[0.09645358],[1.38777878e-17],[0.09645358],[0.09645358]
90,56,[0.09645358],[1.38777878e-17],[0.09645358],[0.09645358]
91,65,[0.09645358],[1.38777878e-17],[0.09645358],[0.09645358]
92,56,[0.09645358],[1.38777878e-17],[0.09645358],[0.09645358]
93,61,[0.09645358],[1.38777878e-17],[0.09645358],[0.09645358]
