gen,nevals,avg,std,min,max
0,50,[0.05334702],[0.00101109],[0.05067251],[0.05549903]
1,55,[0.05409231],[0.0004365],[0.05350927],[0.05549903]
2,61,[0.05463853],[0.00038162],[0.05419825],[0.05623557]
3,64,[0.05483183],[0.00034274],[0.05452016],[0.05623557]
4,57,[0.0552089],[0.00057352],[0.05483452],[0.0577442]
5,64,[0.05555885],[0.00058833],[0.05493373],[0.0577442]
6,59,[0.0561764],[0.0005369],[0.05567314],[0.05809427]
7,60,[0.05672749],[0.00116329],[0.05623539],[0.06404123]
8,60,[0.05741167],[0.00174597],[0.05638872],[0.06404123]
9,60,[0.05935099],[0.00262003],[0.05697895],[0.06404907]
10,63,[0.06172836],[0.00273766],[0.05809431],[0.06404907]
11,59,[0.06399507],[9.56250026e-05],[0.06376858],[0.06404907]
12,61,[0.06404812],[2.13312806e-06],[0.06404286],[0.06404907]
13,53,[0.06404907],[0.],[0.06404907],[0.06404907]
14,60,[0.06404907],[0.],[0.06404907],[0.06404907]
15,60,[0.06405269],[2.53183603e-05],[0.06404907],[0.06422992]
16,62,[0.0640575],[3.61771478e-05],[0.06404907],[0.06422992]
17,60,[0.06406593],[4.97534688e-05],[0.06404907],[0.06422992]
18,59,[0.06408277],[6.28073025e-05],[0.06404907],[0.06422992]
19,62,[0.06412117],[7.53361467e-05],[0.06404907],[0.06422992]
20,65,[0.06419843],[5.70042767e-05],[0.06410893],[0.06428961]
21,63,[0.06424424],[2.54934664e-05],[0.06422992],[0.06428961]
22,61,[0.06426335],[2.96303531e-05],[0.06422992],[0.06428961]
23,59,[0.06428961],[1.38777878e-17],[0.06428961],[0.06428961]
24,56,[0.06428961],[1.38777878e-17],[0.06428961],[0.06428961]
25,54,[0.06428961],[1.38777878e-17],[0.06428961],[0.06428961]
26,61,[0.06453323],[0.00170533],[0.06428961],[0.07647056]
27,63,[0.06453323],[0.00170533],[0.06428961],[0.07647056]
28,55,[0.06502047],[0.00289282],[0.06428961],[0.07647056]
29,65,[0.0655077],[0.00365428],[0.06428961],[0.07647056]
30,61,[0.0667258],[0.00487238],[0.06428961],[0.07647056]
31,63,[0.06995049],[0.00614635],[0.06428961],[0.07935273]
32,60,[0.07652825],[0.0004035],[0.07647056],[0.07935273]
33,58,[0.07658602],[0.00056475],[0.07647056],[0.07935273]
34,60,[0.07664384],[0.00068439],[0.07647056],[0.07935273]
35,60,[0.07681782],[0.00093608],[0.07647056],[0.07935273]
36,57,[0.07746671],[0.00135521],[0.07647275],[0.07935273]
37,61,[0.07900558],[0.00086047],[0.07648725],[0.07936039]
38,57,[0.07935288],[1.07213195e-06],[0.07935273],[0.07936039]
39,57,[0.07935334],[2.07758647e-06],[0.07935273],[0.07936039]
40,58,[0.07935411],[2.94214031e-06],[0.07935273],[0.07936039]
41,57,[0.07935566],[3.7025414e-06],[0.07935273],[0.07936039]
42,58,[0.07935934],[2.60442692e-06],[0.07935273],[0.07936039]
43,59,[0.07938757],[0.00019026],[0.07936039],[0.08071942]
44,58,[0.07938757],[0.00019026],[0.07936039],[0.08071942]
45,62,[0.07938757],[0.00019026],[0.07936039],[0.08071942]
46,54,[0.07938757],[0.00019026],[0.07936039],[0.08071942]
47,61,[0.07941475],[0.00026631],[0.07936039],[0.08071942]
48,59,[0.07955065],[0.00047157],[0.07936039],[0.08071942]
49,59,[0.07982246],[0.00064378],[0.07936039],[0.08071942]
50,60,[0.08063788],[0.00032275],[0.07936039],[0.08071942]
51,57,[0.08071942],[0.],[0.08071942],[0.08071942]
52,60,[0.08071942],[0.],[0.08071942],[0.08071942]
53,64,[0.08071942],[0.],[0.08071942],[0.08071942]
54,61,[0.08071942],[0.],[0.08071942],[0.08071942]
55,62,[0.08071942],[0.],[0.08071942],[0.08071942]
56,60,[0.08071942],[0.],[0.08071942],[0.08071942]
57,60,[0.08071942],[0.],[0.08071942],[0.08071942]
58,62,[0.08071942],[0.],[0.08071942],[0.08071942]
59,58,[0.08071942],[0.],[0.08071942],[0.08071942]
60,56,[0.08071942],[0.],[0.08071942],[0.08071942]
