cross,Max_fit,Gen,Hof
0.08058727501817473,97,0.0,"[0.010133048630045351, 1.0, 0.011403864849978967, 0.017771032390934, 0.0011664851910456625, 0.08689360474943106]"
0.07718715211849664,100,0.05,"[0.013682039796414894, 1.0, 0.012167908225209178, 0.018088031412264834, 0.0012897480998545813, 0.09098689585296724]"
0.0783100242464943,89,0.1,"[0.014026775739437912, 1.0, 0.013387544897148386, 0.017182953420778992, 4.7730241839444655e-05, 0.08989403670700771]"
0.08211134930236345,89,0.15000000000000002,"[0.014129429859769175, 1.0, 0.013326469150337115, 0.017338699228109565, 5.5005550423454393e-05, 0.08601810617801173]"
0.08224309302925599,100,0.2,"[0.012758909056201377, 1.0, 0.013454439865412036, 0.018052969214510564, 3.746395792459044e-05, 0.0857780494866117]"
0.08165134561467698,64,0.25,"[0.0, 1.0, 0.0009243710425364742, 0.017861172600135145, 0.0013234116719428055, 0.08378955123099793]"
0.0822229118233819,75,0.30000000000000004,"[0.013883724603761506, 1.0, 0.0, 0.01776102687376511, 5.4264717351840175e-05, 0.08565766771507392]"
0.0803534176139351,84,0.35000000000000003,"[0.0008864161588298814, 1.0, 0.0026119547401206216, 0.017711777530631058, 0.0013267053663504062, 0.08279692106439686]"
0.07932571237974265,50,0.4,"[0.013584697205764181, 1.0, 0.013492375826586592, 0.017628024468497743, 2.182352524974922e-06, 0.08884729335079498]"
0.08028223921717083,89,0.45,"[0.0141323613284143, 1.0, 0.013216467158996674, 0.017896960218881187, 6.2491247530423e-05, 0.08796090257617513]"
0.07928147499303356,45,0.5,"[0.014150796087206966, 1.0, 0.013289710566113314, 0.017823840313551047, 6.84918310715685e-05, 0.08899142644931617]"
0.08040532968303964,58,0.55,"[0.0, 1.0, 0.0, 0.017661695593927062, 0.001345804454612745, 0.08240492134369701]"
0.0818441467925523,99,0.6000000000000001,"[0.0, 1.0, 0.002105927279993313, 0.016403636522295255, 3.468860985329699e-05, 0.08475211703403218]"
0.08147032331443964,88,0.65,"[0.0012349550025775782, 1.0, 0.003462111980779083, 0.01785950617829189, 0.0012965189654764828, 0.08405839242321213]"
0.07869651943753797,93,0.7000000000000001,"[0.014159261723724639, 1.0, 0.013144347783999122, 0.017179760006365098, 2.536011836307772e-06, 0.0894932410471313]"
0.08172626000305432,92,0.75,"[0.013818424937369796, 1.0, 0.005648606902552122, 0.01722398284906499, 0.0011241018706137096, 0.08522644125341487]"
0.07749888222995734,79,0.8,"[0.01404652026586886, 1.0, 0.013451757652989596, 0.01775161392816437, 0.00015732329975025227, 0.09081624445626191]"
0.08073716488874752,54,0.8500000000000001,"[0.0, 1.0, 0.0023281360184027556, 0.018052969214510564, 0.0012289948043456263, 0.08296471233102229]"
