gen,nevals,avg,std,min,max
0,20,[0.0534261],[0.00102696],[0.05022578],[0.054936]
1,1,[0.05453126],[0.00036395],[0.05420138],[0.054936]
2,6,[0.05495897],[0.00010411],[0.0549317],[0.05541271]
3,4,[0.05502634],[0.00022578],[0.054936],[0.05578939]
4,5,[0.05550216],[0.00021368],[0.05494167],[0.05578939]
5,4,[0.05578939],[0.],[0.05578939],[0.05578939]
6,6,[0.05653302],[0.00316239],[0.05578939],[0.07031361]
7,3,[0.05736372],[0.00431963],[0.05578939],[0.07031361]
8,3,[0.06322565],[0.00708796],[0.05613769],[0.07031361]
9,7,[0.07031602],[1.05091264e-05],[0.07031361],[0.07036183]
10,4,[0.07033969],[7.20209939e-05],[0.07031361],[0.0706423]
11,4,[0.07045517],[0.00013803],[0.07031361],[0.0706423]
12,2,[0.0706423],[1.38777878e-17],[0.0706423],[0.0706423]
13,4,[0.07064231],[8.61855521e-09],[0.0706423],[0.07064234]
14,3,[0.07065917],[7.34638277e-05],[0.0706423],[0.07097939]
15,2,[0.07067665],[0.00010095],[0.07064234],[0.07097939]
16,3,[0.07079583],[0.00016608],[0.07064234],[0.07097939]
17,3,[0.07097939],[1.38777878e-17],[0.07097939],[0.07097939]
18,4,[0.07101098],[0.00013771],[0.07097939],[0.07161122]
19,4,[0.07110576],[0.00025273],[0.07097939],[0.07161122]
20,3,[0.07142172],[0.00028948],[0.07097939],[0.07161122]
21,5,[0.07161717],[1.88978193e-05],[0.07161122],[0.07169032]
22,6,[0.07165093],[3.06342975e-05],[0.07161122],[0.07169032]
23,5,[0.07169032],[0.],[0.07169032],[0.07169032]
24,6,[0.07169032],[1.90597764e-08],[0.07169032],[0.07169041]
25,5,[0.07169035],[4.00756563e-08],[0.07169032],[0.07169041]
26,3,[0.07169041],[0.],[0.07169041],[0.07169041]
27,1,[0.07169041],[0.],[0.07169041],[0.07169041]
28,4,[0.07169044],[1.66429094e-07],[0.07169041],[0.07169117]
29,5,[0.07169098],[1.50851084e-06],[0.07169041],[0.07169738]
30,4,[0.07169567],[1.27597502e-05],[0.07169117],[0.07175006]
31,0,[0.07170529],[1.88080916e-05],[0.07169738],[0.07175006]
32,5,[0.07172372],[2.63365961e-05],[0.07169738],[0.07175006]
33,2,[0.07175006],[1.38777878e-17],[0.07175006],[0.07175006]
34,3,[0.07175036],[1.32649491e-06],[0.07175006],[0.07175614]
35,4,[0.07175097],[2.17327095e-06],[0.07175006],[0.07175614]
36,3,[0.07175343],[3.00646913e-06],[0.07175006],[0.07175614]
37,3,[0.07175614],[1.38777878e-17],[0.07175614],[0.07175614]
38,5,[0.07175614],[1.38777878e-17],[0.07175614],[0.07175614]
39,7,[0.07175614],[1.38777878e-17],[0.07175614],[0.07175614]
40,6,[0.07176126],[2.23005371e-05],[0.07175614],[0.07185847]
41,5,[0.07177149],[3.65362198e-05],[0.07175614],[0.07185847]
42,2,[0.07180731],[5.1160941e-05],[0.07175614],[0.07185847]
43,3,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
44,3,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
45,5,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
46,5,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
47,2,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
48,4,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
49,3,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
50,4,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
51,1,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
52,5,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
53,2,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
54,5,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
55,1,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
56,2,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
57,1,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
58,5,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
59,5,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
60,2,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
61,3,[0.07185847],[2.77555756e-17],[0.07185847],[0.07185847]
62,4,[0.07210893],[0.00109174],[0.07185847],[0.07686771]
63,3,[0.07311078],[0.00216907],[0.07185847],[0.07686771]
64,7,[0.07611632],[0.00178866],[0.07185847],[0.07686771]
65,4,[0.07688321],[6.75628479e-05],[0.07686771],[0.07717771]
66,0,[0.07694521],[0.00013423],[0.07686771],[0.07717771]
67,3,[0.07719466],[7.3905868e-05],[0.07717771],[0.07751681]
68,5,[0.07731607],[0.00019578],[0.07717771],[0.07772231]
69,5,[0.07761393],[9.72809688e-05],[0.07751681],[0.07772231]
70,5,[0.07771977],[5.50499079e-06],[0.07770488],[0.07772231]
71,5,[0.07772254],[1.02274129e-06],[0.07772231],[0.077727]
72,3,[0.07772397],[2.75033211e-06],[0.07772231],[0.07773214]
73,4,[0.07772777],[1.83384161e-06],[0.077727],[0.07773214]
74,7,[0.0777304],[2.50736399e-06],[0.077727],[0.07773335]
75,2,[0.0777325],[5.53288257e-07],[0.07773214],[0.07773335]
76,1,[0.07773335],[0.],[0.07773335],[0.07773335]
77,2,[0.07773335],[0.],[0.07773335],[0.07773335]
78,8,[0.07773342],[3.31598329e-07],[0.07773335],[0.07773487]
79,3,[0.07773357],[5.43276127e-07],[0.07773335],[0.07773487]
80,0,[0.07773434],[7.25698507e-07],[0.07773335],[0.07773487]
81,5,[0.0777354],[2.34151375e-06],[0.07773487],[0.07774561]
82,5,[0.07773809],[4.92333689e-06],[0.07773487],[0.07774561]
83,4,[0.07774561],[2.77555756e-17],[0.07774561],[0.07774561]
84,0,[0.07774561],[2.77555756e-17],[0.07774561],[0.07774561]
85,7,[0.07774561],[2.77555756e-17],[0.07774561],[0.07774561]
86,7,[0.07774561],[2.77555756e-17],[0.07774561],[0.07774561]
87,4,[0.07774561],[2.77555756e-17],[0.07774561],[0.07774561]
88,8,[0.07785039],[0.0004567],[0.07774561],[0.07984109]
89,1,[0.07837425],[0.00096027],[0.07774561],[0.07984109]
90,6,[0.07984109],[1.38777878e-17],[0.07984109],[0.07984109]
91,2,[0.07984109],[1.38777878e-17],[0.07984109],[0.07984109]
92,6,[0.07985102],[4.24678076e-05],[0.07984109],[0.08003611]
93,5,[0.07991827],[0.00014993],[0.07984109],[0.08035519]
94,1,[0.08012653],[0.00015082],[0.07984457],[0.08035519]
95,4,[0.0803513],[1.69777116e-05],[0.0802773],[0.08035519]
96,4,[0.08035519],[0.],[0.08035519],[0.08035519]
97,6,[0.08036688],[5.05640799e-05],[0.08035519],[0.08058728]
98,4,[0.08042689],[0.00010514],[0.08035519],[0.08058728]
99,2,[0.08058728],[1.38777878e-17],[0.08058728],[0.08058728]
100,0,[0.08058728],[1.38777878e-17],[0.08058728],[0.08058728]
,,,,,
gen,nevals,avg,std,min,max
0,20,[0.0534261],[0.00102696],[0.05022578],[0.054936]
1,5,[0.0545682],[0.00036608],[0.05420138],[0.054936]
2,7,[0.054936],[0.],[0.054936],[0.054936]
3,7,[0.05496711],[9.84965777e-05],[0.054936],[0.05534664]
4,4,[0.05512204],[0.00018265],[0.054936],[0.05534664]
5,5,[0.05583949],[0.00214829],[0.05534664],[0.06520368]
6,9,[0.05777929],[0.00419701],[0.05534664],[0.06520368]
7,9,[0.06508327],[0.00028664],[0.06440094],[0.06520368]
8,9,[0.06530877],[0.00045811],[0.06520368],[0.06730564]
9,5,[0.06562407],[0.00084078],[0.06520368],[0.06730564]
10,12,[0.06690375],[0.00076011],[0.06520368],[0.06730564]
11,8,[0.06731935],[5.97805053e-05],[0.06730564],[0.06757993]
12,6,[0.06737421],[0.00011877],[0.06730564],[0.06757993]
13,8,[0.06757993],[0.],[0.06757993],[0.06757993]
14,7,[0.06757993],[0.],[0.06757993],[0.06757993]
15,7,[0.06758023],[1.3283245e-06],[0.06757993],[0.06758602]
16,6,[0.06769683],[0.00050251],[0.06757993],[0.06988719]
17,5,[0.06804625],[0.00092047],[0.06758602],[0.06988719]
18,6,[0.06919674],[0.00105446],[0.06758602],[0.06988719]
19,6,[0.06988748],[1.28447486e-06],[0.06988719],[0.06989308]
20,9,[0.0699846],[0.00041245],[0.06988719],[0.0717824]
21,10,[0.07027094],[0.00075573],[0.06989308],[0.0717824]
22,9,[0.07168793],[0.00041177],[0.06989308],[0.0717824]
23,12,[0.07178471],[1.00814554e-05],[0.0717824],[0.07182865]
24,8,[0.07179635],[2.11495127e-05],[0.0717824],[0.07182865]
25,7,[0.07182865],[1.38777878e-17],[0.07182865],[0.07182865]
26,7,[0.07182897],[9.95856042e-07],[0.07182865],[0.07183282]
27,7,[0.07183043],[1.77978366e-06],[0.07182865],[0.07183282]
28,8,[0.07183282],[0.],[0.07183282],[0.07183282]
29,5,[0.07183282],[0.],[0.07183282],[0.07183282]
30,10,[0.07183282],[0.],[0.07183282],[0.07183282]
31,9,[0.0718329],[3.10855105e-07],[0.07183282],[0.07183425]
32,8,[0.07183319],[6.13107645e-07],[0.07183282],[0.07183425]
33,7,[0.0718338],[6.23820055e-07],[0.07183282],[0.07183425]
34,7,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
35,6,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
36,10,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
37,11,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
38,6,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
39,4,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
40,6,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
41,4,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
42,4,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
43,10,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
44,9,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
45,8,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
46,7,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
47,10,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
48,6,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
49,9,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
50,5,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
51,7,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
52,6,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
53,7,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
54,5,[0.07183425],[1.38777878e-17],[0.07183425],[0.07183425]
55,8,[0.07183425],[7.08097235e-09],[0.07183425],[0.07183428]
56,7,[0.07183426],[1.29958917e-08],[0.07183425],[0.07183428]
57,9,[0.07183428],[1.16011538e-08],[0.07183425],[0.07183428]
58,12,[0.07183428],[1.38777878e-17],[0.07183428],[0.07183428]
59,6,[0.07183428],[1.38777878e-17],[0.07183428],[0.07183428]
60,8,[0.07183428],[1.38777878e-17],[0.07183428],[0.07183428]
61,11,[0.07183603],[7.59346153e-06],[0.07183428],[0.07186912]
62,3,[0.07184996],[1.73332737e-05],[0.07183428],[0.07186912]
63,7,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
64,15,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
65,8,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
66,9,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
67,10,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
68,7,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
69,7,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
70,10,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
71,7,[0.07186912],[1.38777878e-17],[0.07186912],[0.07186912]
