gen,nevals,avg,std,min,max
0,20,[0.0534261],[0.00102696],[0.05022578],[0.054936]
1,0,[0.05449474],[0.00035853],[0.05420138],[0.054936]
2,0,[0.05493535],[1.53483438e-06],[0.0549317],[0.054936]
3,0,[0.054936],[0.],[0.054936],[0.054936]
4,0,[0.054936],[0.],[0.054936],[0.054936]
5,0,[0.054936],[0.],[0.054936],[0.054936]
6,0,[0.054936],[0.],[0.054936],[0.054936]
7,0,[0.054936],[0.],[0.054936],[0.054936]
8,0,[0.054936],[0.],[0.054936],[0.054936]
9,0,[0.054936],[0.],[0.054936],[0.054936]
10,0,[0.054936],[0.],[0.054936],[0.054936]
11,0,[0.054936],[0.],[0.054936],[0.054936]
12,0,[0.054936],[0.],[0.054936],[0.054936]
13,0,[0.054936],[0.],[0.054936],[0.054936]
14,0,[0.054936],[0.],[0.054936],[0.054936]
15,0,[0.054936],[0.],[0.054936],[0.054936]
16,0,[0.054936],[0.],[0.054936],[0.054936]
17,0,[0.054936],[0.],[0.054936],[0.054936]
18,0,[0.054936],[0.],[0.054936],[0.054936]
19,0,[0.054936],[0.],[0.054936],[0.054936]
20,0,[0.054936],[0.],[0.054936],[0.054936]
21,0,[0.054936],[0.],[0.054936],[0.054936]
22,0,[0.054936],[0.],[0.054936],[0.054936]
23,0,[0.054936],[0.],[0.054936],[0.054936]
24,0,[0.054936],[0.],[0.054936],[0.054936]
25,0,[0.054936],[0.],[0.054936],[0.054936]
26,0,[0.054936],[0.],[0.054936],[0.054936]
27,0,[0.054936],[0.],[0.054936],[0.054936]
28,0,[0.054936],[0.],[0.054936],[0.054936]
29,0,[0.054936],[0.],[0.054936],[0.054936]
30,0,[0.054936],[0.],[0.054936],[0.054936]
31,0,[0.054936],[0.],[0.054936],[0.054936]
32,0,[0.054936],[0.],[0.054936],[0.054936]
33,0,[0.054936],[0.],[0.054936],[0.054936]
34,0,[0.054936],[0.],[0.054936],[0.054936]
35,0,[0.054936],[0.],[0.054936],[0.054936]
36,0,[0.054936],[0.],[0.054936],[0.054936]
37,0,[0.054936],[0.],[0.054936],[0.054936]
38,0,[0.054936],[0.],[0.054936],[0.054936]
39,0,[0.054936],[0.],[0.054936],[0.054936]
40,0,[0.054936],[0.],[0.054936],[0.054936]
41,0,[0.054936],[0.],[0.054936],[0.054936]
42,0,[0.054936],[0.],[0.054936],[0.054936]
43,0,[0.054936],[0.],[0.054936],[0.054936]
44,0,[0.054936],[0.],[0.054936],[0.054936]
45,0,[0.054936],[0.],[0.054936],[0.054936]
46,0,[0.054936],[0.],[0.054936],[0.054936]
47,0,[0.054936],[0.],[0.054936],[0.054936]
48,0,[0.054936],[0.],[0.054936],[0.054936]
49,0,[0.054936],[0.],[0.054936],[0.054936]
50,0,[0.054936],[0.],[0.054936],[0.054936]
51,0,[0.054936],[0.],[0.054936],[0.054936]
52,0,[0.054936],[0.],[0.054936],[0.054936]
53,0,[0.054936],[0.],[0.054936],[0.054936]
54,0,[0.054936],[0.],[0.054936],[0.054936]
55,0,[0.054936],[0.],[0.054936],[0.054936]
56,0,[0.054936],[0.],[0.054936],[0.054936]
57,0,[0.054936],[0.],[0.054936],[0.054936]
58,0,[0.054936],[0.],[0.054936],[0.054936]
59,0,[0.054936],[0.],[0.054936],[0.054936]
60,0,[0.054936],[0.],[0.054936],[0.054936]
61,0,[0.054936],[0.],[0.054936],[0.054936]
62,0,[0.054936],[0.],[0.054936],[0.054936]
63,0,[0.054936],[0.],[0.054936],[0.054936]
64,0,[0.054936],[0.],[0.054936],[0.054936]
65,0,[0.054936],[0.],[0.054936],[0.054936]
66,0,[0.054936],[0.],[0.054936],[0.054936]
67,0,[0.054936],[0.],[0.054936],[0.054936]
68,0,[0.054936],[0.],[0.054936],[0.054936]
69,0,[0.054936],[0.],[0.054936],[0.054936]
