rand,Max_fit,Gen,Hof
0.08476377724777118,99,0,"[0.03178484107579462, 1.0, 0.0021293752420556626, 0.0180385774699596, 0.0012130570861828933, 0.085271570135716]"
0.08030724140981717,99,14,"[0.02437835202340322, 1.0, 0.002043686553864833, 0.01759023018102896, 0.0024378352023403218, 0.08223357243623552]"
0.08371302050985238,83,28,"[0.023760494218279738, 1.0, 0.013448974539577305, 0.017478875523043735, 0.002376049421827974, 0.08655461930467231]"
0.07355130148821186,83,42,"[0.0, 1.0, 0.0030419848812073265, 0.017970071682393774, 0.001275599311919241, 0.07554204404299825]"
0.088532204393564,85,56,"[0.044665012406947896, 1.0, 0.013374135187413167, 0.016385665847793742, 0.002977667493796526, 0.09000971387929214]"
0.07939782046771411,74,70,"[0.013941579719898315, 1.0, 0.013306261488567745, 0.017280629018093446, 0.0, 0.0887656157807076]"
0.08441089693290331,100,85,"[0.0320451684278793, 1.0, 0.008980810007722353, 0.01698106653751805, 0.0002803377626024937, 0.08822135339768833]"
0.081974535045916,97,99,"[0.004372786101962436, 1.0, 0.013476377719521166, 0.018068616803315892, 2.540678069449241e-05, 0.08527013214622571]"
0.07607699695559536,95,114,"[0.014190769060575937, 1.0, 0.013500788610926722, 0.01798041457115851, 1.0125370236798695e-06, 0.09234929024665013]"
0.08076242865597287,89,128,"[0.03353412407625908, 1.0, 0.013451757652989596, 0.01756204300382149, 3.955335716780651e-05, 0.09329969304550641]"
