gen,nevals,avg,std,min,max
0,22,[0.05308549],[0.00092474],[0.05149548],[0.05475812]
1,28,[0.05445262],[0.00025514],[0.05407791],[0.05475812]
2,35,[0.05476639],[8.4881666e-05],[0.05457813],[0.05510046]
3,32,[0.05489363],[0.00019325],[0.05477312],[0.05552177]
4,30,[0.0551667],[0.00018884],[0.05491939],[0.05552177]
5,29,[0.05552924],[0.00015696],[0.05530185],[0.05599039]
6,31,[0.05581566],[0.00043],[0.05552177],[0.0576405]
7,34,[0.0562251],[0.00061875],[0.05586914],[0.0579708]
8,33,[0.05701193],[0.00095719],[0.05599039],[0.0586451]
9,32,[0.05902148],[0.00309657],[0.0579708],[0.07314825]
10,31,[0.06005722],[0.00414222],[0.05864337],[0.07314825]
11,36,[0.06229851],[0.00613645],[0.05897654],[0.07534312]
12,28,[0.07393434],[0.00103547],[0.07314825],[0.07534312]
13,43,[0.07536206],[8.71246763e-05],[0.07534259],[0.07576131]
14,36,[0.0755177],[0.00020321],[0.07534312],[0.07576131]
15,36,[0.07576149],[7.49556598e-07],[0.07576131],[0.07576492]
16,35,[0.07576299],[2.77051544e-06],[0.07576131],[0.07577108]
17,37,[0.07577762],[3.29449669e-05],[0.07576492],[0.07590219]
18,31,[0.07580279],[5.30663615e-05],[0.07577108],[0.07590557]
19,40,[0.07588395],[3.38789999e-05],[0.07577108],[0.07591172]
20,40,[0.0759173],[3.99216364e-05],[0.07590557],[0.07609981]
21,36,[0.07595197],[7.77215084e-05],[0.07591172],[0.07614588]
22,40,[0.0760861],[4.32139479e-05],[0.07599874],[0.07614588]
23,32,[0.07612102],[2.09833383e-05],[0.07609981],[0.07614588]
24,26,[0.07614588],[0.],[0.07614588],[0.07614588]
25,31,[0.07614638],[1.5826223e-06],[0.07614588],[0.07615187]
26,37,[0.07614834],[2.96349691e-06],[0.07614588],[0.07615689]
27,36,[0.07615192],[2.02662316e-06],[0.07615085],[0.07615689]
28,32,[0.07615535],[2.2521134e-06],[0.07615187],[0.07615689]
29,31,[0.07615689],[2.77555756e-17],[0.07615689],[0.07615689]
30,34,[0.07631146],[0.00070833],[0.07615689],[0.07955744]
31,32,[0.0767672],[0.00120213],[0.07615689],[0.07955744]
32,37,[0.07866053],[0.00104344],[0.07615689],[0.07955744]
33,37,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
34,32,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
35,33,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
36,34,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
37,32,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
38,27,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
39,39,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
40,32,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
41,30,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
42,25,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
43,43,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
44,37,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
45,32,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
46,23,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
47,26,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
48,44,[0.07955744],[1.38777878e-17],[0.07955744],[0.07955744]
49,36,[0.07965568],[0.00045019],[0.07955744],[0.08171871]
50,45,[0.07985216],[0.00074169],[0.07955744],[0.08171871]
51,26,[0.08105157],[0.00102402],[0.07955744],[0.08209843]
52,28,[0.08180821],[0.0001278],[0.08171871],[0.08209843]
53,28,[0.08202746],[0.00010323],[0.08184651],[0.08209843]
54,30,[0.08209843],[2.77555756e-17],[0.08209843],[0.08209843]
55,32,[0.08209843],[8.54890904e-09],[0.08209843],[0.08209847]
56,31,[0.08209844],[1.40844041e-08],[0.08209843],[0.08209847]
57,25,[0.08209845],[2.05207738e-08],[0.08209843],[0.08209847]
58,30,[0.08209847],[1.38777878e-17],[0.08209847],[0.08209847]
59,29,[0.08209847],[1.38777878e-17],[0.08209847],[0.08209847]
60,32,[0.08209847],[1.38777878e-17],[0.08209847],[0.08209847]
61,39,[0.08209847],[1.38777878e-17],[0.08209847],[0.08209847]
62,27,[0.08209847],[1.38777878e-17],[0.08209847],[0.08209847]
63,31,[0.08209847],[1.38777878e-17],[0.08209847],[0.08209847]
64,29,[0.08209847],[1.38777878e-17],[0.08209847],[0.08209847]
65,38,[0.08209863],[7.07625931e-07],[0.08209847],[0.08210187]
66,27,[0.08209894],[1.16582005e-06],[0.08209847],[0.08210187]
67,33,[0.08210064],[1.63419209e-06],[0.08209847],[0.08210187]
68,37,[0.08210187],[1.38777878e-17],[0.08210187],[0.08210187]
69,32,[0.08210187],[1.38777878e-17],[0.08210187],[0.08210187]
70,37,[0.08210187],[1.38777878e-17],[0.08210187],[0.08210187]
71,34,[0.08210187],[1.38777878e-17],[0.08210187],[0.08210187]
72,36,[0.08210192],[2.03473873e-07],[0.08210187],[0.08210285]
73,37,[0.08210196],[2.80820625e-07],[0.08210187],[0.08210285]
74,36,[0.0821024],[4.8639559e-07],[0.08210187],[0.08210285]
75,33,[0.08210285],[1.38777878e-17],[0.08210285],[0.08210285]
76,31,[0.08210285],[1.38777878e-17],[0.08210285],[0.08210285]
77,33,[0.08210285],[1.38777878e-17],[0.08210285],[0.08210285]
78,35,[0.08210285],[1.38777878e-17],[0.08210285],[0.08210285]
79,29,[0.08210285],[1.38777878e-17],[0.08210285],[0.08210285]
80,39,[0.08210285],[1.38777878e-17],[0.08210285],[0.08210285]
