optimal,Max_fit,Gen,Hof
43139,1.6559184269093083,100,"[0.8229112118077643, 1.0, 0.8012867445622125, 0.7064093852002625, 0.07385827417832669, 0.0]"
43148,1.7266000254857392,58,"[1.0, 1.0, 0.7972259546371294, 0.7057166800531811, 0.06047777441790142, 0.0]"
43157,1.7327652051188254,85,"[1.0, 1.0, 0.8008439355263193, 0.7091428189848578, 0.125, 0.0]"
43166,1.7299634720683188,98,"[1.0, 1.0, 0.7996382618683463, 0.7094580525006045, 0.08565106706954391, 0.0]"
43174,1.6563830318402952,75,"[0.8262643721764764, 1.0, 0.7998135803227749, 0.7090741099632835, 0.04405448070780866, 0.0]"
43183,1.7315924903673119,81,"[1.0, 1.0, 0.8029906566780621, 0.7092406597891834, 0.09090909090909091, 0.0]"
43192,1.7308778391174642,100,"[1.0, 1.0, 0.7984838868708067, 0.7093388840974044, 0.1111111111111111, 0.0]"
43200,1.7327050332036131,97,"[1.0, 1.0, 0.8019557434899858, 0.703966070579036, 0.14081752395853706, 0.0]"
43209,1.6543095974848723,100,"[0.8258654425896523, 1.0, 0.8025181689702389, 0.7062870000868202, 0.007409316465229318, 0.002616161817318849]"
43218,1.7275939902118822,94,"[1.0, 1.0, 0.799254199225828, 0.7091649635856359, 0.007465805662011961, 0.0]"
