cross,Max_fit,Gen,Hof
0.10098667328300484,96,0.0,"[0.0036114664058385375, 1.0, 0.008931138066528193, 0.046739278178001525, 0.00011745733818392216, 0.0]"
0.10224691708052852,46,0.05,"[0.0, 1.0, 0.00872131992601787, 0.04894691551933395, 0.00011888765824294868, 0.0]"
0.10190574023837223,100,0.1,"[0.0, 1.0, 0.008989314517694684, 0.04883826477974141, 0.00011720692626104207, 0.0003445702715596706]"
0.10251404372518785,97,0.15000000000000002,"[0.0, 1.0, 0.0089119893164821, 0.049591209395499526, 0.00011279877815072193, 0.0]"
0.10215357489598846,88,0.2,"[0.0, 1.0, 0.008989314517694684, 0.048615898842207635, 0.002170060400014467, 0.0]"
0.10258595513321646,65,0.25,"[0.0, 1.0, 0.008991539361151987, 0.049748629542588636, 0.0009437523593808985, 0.0]"
0.1025766256158079,81,0.30000000000000004,"[0.0, 1.0, 0.008897939469883922, 0.049748694367379005, 0.00011971629679392603, 0.0]"
0.10250928845648234,81,0.35000000000000003,"[0.0, 1.0, 0.009038364588541977, 0.04956214912601189, 0.00011452896675597245, 0.0]"
0.1025544045434034,86,0.4,"[0.0, 1.0, 0.008939240079567397, 0.04968794578060629, 0.0001192013802867842, 0.0]"
0.10147482904362741,81,0.45,"[0.0, 1.0, 0.008936278531725687, 0.04686542015981704, 0.002170060400014467, 0.0]"
0.1025962313386844,60,0.5,"[0.0, 1.0, 0.00900901421765362, 0.04977175900375685, 0.0009437523593808985, 0.0]"
0.10217012319539648,87,0.55,"[0.0, 1.0, 0.008960343385614522, 0.048720294759224625, 0.00011807869443907325, 0.0]"
0.10203087519436746,88,0.6000000000000001,"[0.0, 1.0, 0.008758942560400532, 0.04838418962947053, 0.0008711813218724591, 0.0]"
0.1002624277796118,61,0.65,"[0.0, 1.0, 0.009043164014532219, 0.043522490225740264, 0.002170060400014467, 0.0]"
0.10253144504157738,38,0.7000000000000001,"[0.0, 1.0, 0.008884021905172979, 0.04958125521630348, 0.002170060400014467, 0.0]"
0.10255637178960833,72,0.75,"[0.0, 1.0, 0.008838138587714435, 0.049649435493049184, 0.002170060400014467, 0.0]"
0.10218575987916195,59,0.8,"[0.0, 1.0, 0.008752268942595317, 0.048730001463946855, 0.002170060400014467, 0.0]"
0.10256914688189846,11,0.8500000000000001,"[0.0, 1.0, 0.008969562991238142, 0.04966358517871829, 0.002170060400014467, 0.0]"
