gen,nevals,avg,std,min,max
0,20,[0.09244419],[0.00147106],[0.08858847],[0.09411378]
1,4,[0.09358833],[0.00023],[0.09343234],[0.09411378]
2,6,[0.09419858],[0.0009499],[0.09358988],[0.0982088]
3,2,[0.09477212],[0.00144627],[0.09411378],[0.0982088]
4,2,[0.09685374],[0.00184883],[0.09433421],[0.09822965]
5,5,[0.09821193],[7.44500788e-06],[0.0982088],[0.09822965]
6,4,[0.09822131],[1.02156007e-05],[0.0982088],[0.09822968]
7,1,[0.09822965],[1.10953193e-08],[0.09822965],[0.09822968]
8,1,[0.09822968],[6.04542196e-09],[0.09822965],[0.09822968]
9,5,[0.09822968],[1.90909521e-09],[0.09822968],[0.09822969]
10,5,[0.09822968],[5.61331529e-09],[0.09822968],[0.0982297]
11,2,[0.09822969],[5.18246555e-09],[0.09822969],[0.0982297]
12,3,[0.0982297],[1.38777878e-17],[0.0982297],[0.0982297]
13,2,[0.0982297],[1.38777878e-17],[0.0982297],[0.0982297]
14,4,[0.0982297],[1.38777878e-17],[0.0982297],[0.0982297]
15,4,[0.0982297],[1.38777878e-17],[0.0982297],[0.0982297]
16,0,[0.0982297],[1.38777878e-17],[0.0982297],[0.0982297]
17,6,[0.09836151],[0.00057458],[0.0982297],[0.10086604]
18,6,[0.09902429],[0.00120581],[0.0982297],[0.10086604]
19,4,[0.10086604],[0.],[0.10086604],[0.10086604]
20,7,[0.10086604],[0.],[0.10086604],[0.10086604]
21,3,[0.10086604],[0.],[0.10086604],[0.10086604]
22,3,[0.10086604],[0.],[0.10086604],[0.10086604]
23,3,[0.10086604],[0.],[0.10086604],[0.10086604]
24,3,[0.10086604],[0.],[0.10086604],[0.10086604]
25,1,[0.10086604],[0.],[0.10086604],[0.10086604]
26,2,[0.10086604],[0.],[0.10086604],[0.10086604]
27,2,[0.10086604],[0.],[0.10086604],[0.10086604]
28,4,[0.10086933],[1.43239583e-05],[0.10086604],[0.10093177]
29,2,[0.10087919],[2.62891313e-05],[0.10086604],[0.10093177]
30,1,[0.10093177],[1.38777878e-17],[0.10093177],[0.10093177]
31,4,[0.10093177],[3.29728968e-09],[0.10093177],[0.10093178]
32,4,[0.10093177],[4.53870079e-09],[0.10093177],[0.10093178]
33,3,[0.10093177],[7.94526581e-09],[0.10093177],[0.10093179]
34,1,[0.10093178],[2.67567365e-09],[0.10093178],[0.10093179]
35,3,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
36,3,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
37,3,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
38,4,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
39,6,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
40,1,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
41,5,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
42,6,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
43,3,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
44,4,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
45,5,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
46,3,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
47,2,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
48,0,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
49,2,[0.10093179],[1.38777878e-17],[0.10093179],[0.10093179]
50,2,[0.10093304],[5.45864633e-06],[0.10093179],[0.10095683]
51,6,[0.10093554],[8.94320621e-06],[0.10093179],[0.10095683]
52,1,[0.10094932],[1.14775132e-05],[0.10093179],[0.10095683]
53,2,[0.10095683],[1.38777878e-17],[0.10095683],[0.10095683]
54,4,[0.10095683],[1.38777878e-17],[0.10095683],[0.10095683]
55,3,[0.10095683],[1.38777878e-17],[0.10095683],[0.10095683]
56,4,[0.10095683],[1.38777878e-17],[0.10095683],[0.10095683]
57,8,[0.10095683],[1.38777878e-17],[0.10095683],[0.10095683]
58,4,[0.10095723],[1.72673118e-06],[0.10095683],[0.10096476]
59,1,[0.10095762],[2.37683581e-06],[0.10095683],[0.10096476]
60,2,[0.10095921],[3.63067666e-06],[0.10095683],[0.10096476]
61,2,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
62,3,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
63,3,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
64,1,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
65,2,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
66,2,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
67,4,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
68,1,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
69,2,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
70,5,[0.10096476],[1.38777878e-17],[0.10096476],[0.10096476]
71,3,[0.10096476],[4.52767829e-11],[0.10096476],[0.10096476]
72,3,[0.10096476],[4.52767829e-11],[0.10096476],[0.10096476]
73,4,[0.10096476],[8.99558459e-11],[0.10096476],[0.10096476]
74,3,[0.10096476],[0.],[0.10096476],[0.10096476]
75,1,[0.10096476],[0.],[0.10096476],[0.10096476]
76,3,[0.10096476],[0.],[0.10096476],[0.10096476]
77,5,[0.10096476],[0.],[0.10096476],[0.10096476]
78,7,[0.10096476],[0.],[0.10096476],[0.10096476]
79,1,[0.10096476],[0.],[0.10096476],[0.10096476]
80,3,[0.10096476],[0.],[0.10096476],[0.10096476]
81,4,[0.10096476],[0.],[0.10096476],[0.10096476]
82,5,[0.10096476],[0.],[0.10096476],[0.10096476]
83,7,[0.10096476],[0.],[0.10096476],[0.10096476]
84,3,[0.10096476],[0.],[0.10096476],[0.10096476]
85,2,[0.10096476],[0.],[0.10096476],[0.10096476]
86,2,[0.10096476],[0.],[0.10096476],[0.10096476]
87,6,[0.10096476],[0.],[0.10096476],[0.10096476]
88,6,[0.10096476],[0.],[0.10096476],[0.10096476]
89,2,[0.10096493],[7.49471283e-07],[0.10096476],[0.10096819]
90,0,[0.10096544],[1.37552403e-06],[0.10096476],[0.10096819]
91,5,[0.10096819],[0.],[0.10096819],[0.10096819]
92,3,[0.10096819],[0.],[0.10096819],[0.10096819]
93,0,[0.10096819],[0.],[0.10096819],[0.10096819]
94,2,[0.10096819],[0.],[0.10096819],[0.10096819]
95,5,[0.10096819],[0.],[0.10096819],[0.10096819]
96,4,[0.10096912],[4.02740367e-06],[0.10096819],[0.10098667]
97,4,[0.10096912],[4.02740367e-06],[0.10096819],[0.10098667]
98,5,[0.10097374],[8.4681395e-06],[0.10096819],[0.10098667]
99,4,[0.10098667],[1.38777878e-17],[0.10098667],[0.10098667]
100,5,[0.10098667],[1.38777878e-17],[0.10098667],[0.10098667]
,,,,,
gen,nevals,avg,std,min,max
0,20,[0.09244419],[0.00147106],[0.08858847],[0.09411378]
1,6,[0.09355975],[0.00019552],[0.09343234],[0.09411378]
2,13,[0.09403716],[0.00106282],[0.09358988],[0.0985465]
3,12,[0.09478024],[0.00158216],[0.09411378],[0.0985465]
4,4,[0.09700299],[0.00210346],[0.09411378],[0.0985465]
5,11,[0.09856922],[9.90528848e-05],[0.0985465],[0.09900098]
6,7,[0.09862026],[0.00016176],[0.0985465],[0.09900098]
7,4,[0.09895076],[0.00011964],[0.09865832],[0.09900098]
8,5,[0.09900683],[2.54730002e-05],[0.09900098],[0.09911787]
9,9,[0.09902438],[4.67453956e-05],[0.09900098],[0.09911787]
10,5,[0.09908282],[5.35375924e-05],[0.09900104],[0.09911787]
11,4,[0.09911787],[1.38777878e-17],[0.09911787],[0.09911787]
12,3,[0.09911892],[4.58557036e-06],[0.09911787],[0.09913891]
13,6,[0.09911997],[6.31106641e-06],[0.09911787],[0.09913891]
14,7,[0.09912734],[1.04621019e-05],[0.09911787],[0.09913891]
15,3,[0.09913891],[0.],[0.09913891],[0.09913891]
16,16,[0.09913891],[9.51210616e-09],[0.09913891],[0.09913894]
17,7,[0.09913893],[1.24437199e-08],[0.09913891],[0.09913896]
18,8,[0.09913894],[5.8422516e-09],[0.09913894],[0.09913896]
19,8,[0.09913895],[8.13978184e-09],[0.09913894],[0.09913896]
20,7,[0.09913912],[6.91893483e-07],[0.09913896],[0.09914213]
21,6,[0.09913959],[1.26985001e-06],[0.09913896],[0.09914213]
22,8,[0.09914166],[1.13356787e-06],[0.09913896],[0.09914213]
23,6,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
24,3,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
25,5,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
26,5,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
27,6,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
28,6,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
29,6,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
30,5,[0.09914213],[1.38777878e-17],[0.09914213],[0.09914213]
31,7,[0.09914213],[1.52983282e-10],[0.09914213],[0.09914213]
32,3,[0.09914213],[3.21667229e-10],[0.09914213],[0.09914213]
33,9,[0.09926842],[0.00055046],[0.09914213],[0.10166781]
34,7,[0.10002612],[0.00120467],[0.09914213],[0.10166783]
35,11,[0.10166782],[7.50973275e-09],[0.10166781],[0.10166783]
36,4,[0.10166783],[1.38777878e-17],[0.10166783],[0.10166783]
37,7,[0.10166783],[1.38777878e-17],[0.10166783],[0.10166783]
38,8,[0.10166783],[1.38777878e-17],[0.10166783],[0.10166783]
39,7,[0.10166783],[1.38777878e-17],[0.10166783],[0.10166783]
40,7,[0.10166783],[1.38777878e-17],[0.10166783],[0.10166783]
41,7,[0.10166783],[1.38777878e-17],[0.10166783],[0.10166783]
42,12,[0.10166783],[3.31496595e-10],[0.10166783],[0.10166783]
43,6,[0.10166783],[5.4310945e-10],[0.10166783],[0.10166783]
