mu,Max_fit,Gen,Hof
0.10218575987916195,59,20,"[0.0, 1.0, 0.008752268942595317, 0.048730001463946855, 0.002170060400014467, 0.0]"
0.10326358489002123,60,21,"[0.033550792171481825, 1.0, 0.008555719890837206, 0.048730001463946855, 0.0027958993476234852, 0.0]"
0.10332611973457045,33,22,"[0.033550792171481825, 1.0, 0.008604237210730378, 0.048883731700690325, 0.0027958993476234852, 0.0]"
0.1033448732755958,36,23,"[0.033550792171481825, 1.0, 0.00896240313387486, 0.048883731700690325, 0.0027958993476234852, 0.0]"
0.1032847959067527,63,24,"[0.033550792171481825, 1.0, 0.00896240313387486, 0.048730001463946855, 0.0027958993476234852, 0.0]"
0.10302183057952548,37,25,"[0.033550792171481825, 1.0, 0.00896240313387486, 0.04805115995323451, 0.0027958993476234852, 0.0]"
0.10347865545151633,67,26,"[0.033550792171481825, 1.0, 0.00896240313387486, 0.04922429948324841, 0.0027958993476234852, 0.0]"
0.10348057154173738,71,27,"[0.033550792171481825, 1.0, 0.008997762875390527, 0.04922429948324841, 0.0027958993476234852, 0.0]"
0.10344094069468902,68,28,"[0.033550792171481825, 1.0, 0.00896240313387486, 0.04922429948324841, 0.00011459018537331418, 0.0]"
0.10344094577301251,69,29,"[0.033550792171481825, 1.0, 0.00896240313387486, 0.04922429948324841, 0.00011908620293040347, 0.0]"
