mutate,Max_fit,Gen,Hof
0.09411377516488995,0,0.0,"[0.0, 1.0, 0.0019650225977598744, 0.0, 0.0, 0.0]"
0.10098667328300484,96,0.05,"[0.0036114664058385375, 1.0, 0.008931138066528193, 0.046739278178001525, 0.00011745733818392216, 0.0]"
0.10184459066334836,93,0.1,"[0.0036114664058385375, 1.0, 0.008931138066528193, 0.04894691551933395, 0.00011888765824294868, 0.0]"
0.1024418038477243,98,0.15000000000000002,"[0.0, 1.0, 0.00902923717179293, 0.04950728521180178, 0.0001184894687639589, 4.9709308057349054e-05]"
0.10247328740990981,98,0.2,"[0.0, 1.0, 0.008989314517694684, 0.049591209395499526, 0.0001184894687639589, 4.9709308057349054e-05]"
0.10190758224799089,94,0.25,"[0.0036114664058385375, 1.0, 0.008989314517694684, 0.049097008670021425, 0.0001184894687639589, 0.0]"
0.10202870249909195,55,0.30000000000000004,"[0.004718761796904493, 1.0, 0.009013630921858383, 0.049748629542588636, 0.0009437523593808985, 4.9709308057349054e-05]"
0.10258176683928209,89,0.35000000000000003,"[0.0, 1.0, 0.008992578361655713, 0.049748694367379005, 0.00011971629679392603, 0.0]"
0.10258428450917163,91,0.4,"[0.0, 1.0, 0.009038364588541977, 0.049748694367379005, 0.00011894636361224372, 0.0]"
0.10224467671741257,88,0.45,"[0.023870664400159138, 1.0, 0.009038364588541977, 0.049748694367379005, 0.002170060400014467, 0.0]"
0.10258428450917163,85,0.5,"[0.0, 1.0, 0.009038364588541977, 0.049748694367379005, 0.00011894636361224372, 0.0]"
0.1022783994795206,83,0.55,"[0.023870664400159138, 1.0, 0.009038364588541977, 0.04983207568830184, 0.002170060400014467, 0.0]"
0.1022783994795206,80,0.6000000000000001,"[0.023870664400159138, 1.0, 0.009038364588541977, 0.04983207568830184, 0.002170060400014467, 0.0]"
0.10220583492075866,79,0.65,"[0.0036114664058385375, 1.0, 0.009038364588541977, 0.04983207568830184, 0.00011933294918149221, 0.0]"
0.10261603175398108,97,0.7000000000000001,"[0.0, 1.0, 0.009043164014532219, 0.04982679714588973, 0.00011934052013457822, 0.0]"
0.10261576665329813,94,0.75,"[0.0, 1.0, 0.009038364588541977, 0.04982679714588973, 0.00011934052013457822, 0.0]"
0.1022038522819877,99,0.8,"[0.0036114664058385375, 1.0, 0.00904116735264474, 0.04982679714588973, 0.00011934052013457822, 0.0]"
0.10227722291673547,99,0.8500000000000001,"[0.023870664400159138, 1.0, 0.009055667660505194, 0.04982679714588973, 0.002170060400014467, 0.0]"
0.10220385216531193,94,0.9,"[0.0036114664058385375, 1.0, 0.00904116735264474, 0.04982679714588973, 0.00011924055651937737, 0.0]"
0.10227629215876002,85,0.9500000000000001,"[0.023870664400159138, 1.0, 0.009038892040763497, 0.04982679714588973, 0.002170060400014467, 0.0]"
