gen,nevals,avg,std,min,max
0,20,[0.09244419],[0.00147106],[0.08858847],[0.09411378]
1,0,[0.09359621],[0.0002272],[0.09343234],[0.09411378]
2,0,[0.09390422],[0.00025665],[0.09358988],[0.09411378]
3,0,[0.09411378],[0.],[0.09411378],[0.09411378]
4,0,[0.09411378],[0.],[0.09411378],[0.09411378]
5,0,[0.09411378],[0.],[0.09411378],[0.09411378]
6,0,[0.09411378],[0.],[0.09411378],[0.09411378]
7,0,[0.09411378],[0.],[0.09411378],[0.09411378]
8,0,[0.09411378],[0.],[0.09411378],[0.09411378]
9,0,[0.09411378],[0.],[0.09411378],[0.09411378]
10,0,[0.09411378],[0.],[0.09411378],[0.09411378]
11,0,[0.09411378],[0.],[0.09411378],[0.09411378]
12,0,[0.09411378],[0.],[0.09411378],[0.09411378]
13,0,[0.09411378],[0.],[0.09411378],[0.09411378]
14,0,[0.09411378],[0.],[0.09411378],[0.09411378]
15,0,[0.09411378],[0.],[0.09411378],[0.09411378]
16,0,[0.09411378],[0.],[0.09411378],[0.09411378]
17,0,[0.09411378],[0.],[0.09411378],[0.09411378]
18,0,[0.09411378],[0.],[0.09411378],[0.09411378]
19,0,[0.09411378],[0.],[0.09411378],[0.09411378]
20,0,[0.09411378],[0.],[0.09411378],[0.09411378]
21,0,[0.09411378],[0.],[0.09411378],[0.09411378]
22,0,[0.09411378],[0.],[0.09411378],[0.09411378]
23,0,[0.09411378],[0.],[0.09411378],[0.09411378]
24,0,[0.09411378],[0.],[0.09411378],[0.09411378]
25,0,[0.09411378],[0.],[0.09411378],[0.09411378]
26,0,[0.09411378],[0.],[0.09411378],[0.09411378]
27,0,[0.09411378],[0.],[0.09411378],[0.09411378]
28,0,[0.09411378],[0.],[0.09411378],[0.09411378]
29,0,[0.09411378],[0.],[0.09411378],[0.09411378]
30,0,[0.09411378],[0.],[0.09411378],[0.09411378]
31,0,[0.09411378],[0.],[0.09411378],[0.09411378]
32,0,[0.09411378],[0.],[0.09411378],[0.09411378]
33,0,[0.09411378],[0.],[0.09411378],[0.09411378]
34,0,[0.09411378],[0.],[0.09411378],[0.09411378]
35,0,[0.09411378],[0.],[0.09411378],[0.09411378]
36,0,[0.09411378],[0.],[0.09411378],[0.09411378]
37,0,[0.09411378],[0.],[0.09411378],[0.09411378]
38,0,[0.09411378],[0.],[0.09411378],[0.09411378]
39,0,[0.09411378],[0.],[0.09411378],[0.09411378]
40,0,[0.09411378],[0.],[0.09411378],[0.09411378]
41,0,[0.09411378],[0.],[0.09411378],[0.09411378]
42,0,[0.09411378],[0.],[0.09411378],[0.09411378]
43,0,[0.09411378],[0.],[0.09411378],[0.09411378]
44,0,[0.09411378],[0.],[0.09411378],[0.09411378]
45,0,[0.09411378],[0.],[0.09411378],[0.09411378]
46,0,[0.09411378],[0.],[0.09411378],[0.09411378]
47,0,[0.09411378],[0.],[0.09411378],[0.09411378]
48,0,[0.09411378],[0.],[0.09411378],[0.09411378]
49,0,[0.09411378],[0.],[0.09411378],[0.09411378]
