gen,nevals,avg,std,min,max
0,50,[0.09303457],[0.00189369],[0.09024409],[0.10250913]
1,59,[0.09462627],[0.00250786],[0.09328492],[0.10547303]
2,54,[0.09649834],[0.00318622],[0.09383497],[0.10555953]
3,63,[0.10031881],[0.00237384],[0.09836693],[0.10555953]
4,56,[0.1018069],[0.00288457],[0.09908122],[0.10556747]
5,63,[0.10487469],[0.00120944],[0.10241085],[0.10561171]
6,60,[0.10567884],[0.00075038],[0.10555586],[0.11093002]
7,54,[0.10590846],[0.00126879],[0.10556747],[0.11093002]
8,64,[0.1063598],[0.00184822],[0.10558873],[0.11097967]
9,60,[0.10714319],[0.00237172],[0.10561171],[0.11097967]
10,62,[0.10871316],[0.00251543],[0.10561171],[0.11097967]
11,57,[0.11095296],[2.32434047e-05],[0.11093002],[0.11097967]
12,57,[0.1109815],[1.27778946e-05],[0.11097967],[0.11107094]
13,58,[0.11098697],[2.47611137e-05],[0.11097967],[0.11107094]
14,59,[0.11100705],[4.18254781e-05],[0.11097967],[0.11107094]
15,63,[0.11104721],[4.0034444e-05],[0.11097967],[0.11107094]
16,65,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
17,55,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
18,62,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
19,57,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
20,54,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
21,62,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
22,62,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
23,55,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
24,57,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
25,49,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
26,58,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
27,55,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
28,58,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
29,64,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
30,61,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
31,56,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
32,58,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
33,56,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
34,57,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
35,68,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
36,60,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
37,57,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
38,56,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
39,57,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
40,66,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
41,61,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
42,57,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
43,64,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
44,59,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
45,58,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
46,60,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
47,64,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
48,59,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
49,64,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
50,56,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
51,61,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
52,57,[0.11107094],[2.77555756e-17],[0.11107094],[0.11107094]
53,61,[0.11108887],[0.00012549],[0.11107094],[0.11196731]
54,59,[0.11108887],[0.00012549],[0.11107094],[0.11196731]
55,64,[0.11112473],[0.00021287],[0.11107094],[0.11196731]
56,59,[0.11119643],[0.00031103],[0.11107094],[0.11196731]
57,62,[0.111304],[0.00039318],[0.11107094],[0.11196731]
58,57,[0.11159083],[0.00044241],[0.11107094],[0.11196731]
59,64,[0.11196731],[0.],[0.11196731],[0.11196731]
60,56,[0.11196731],[0.],[0.11196731],[0.11196731]
61,64,[0.11196731],[0.],[0.11196731],[0.11196731]
62,62,[0.11196731],[0.],[0.11196731],[0.11196731]
63,58,[0.11196731],[0.],[0.11196731],[0.11196731]
64,60,[0.11196731],[0.],[0.11196731],[0.11196731]
65,60,[0.11196731],[0.],[0.11196731],[0.11196731]
66,54,[0.11196731],[0.],[0.11196731],[0.11196731]
67,55,[0.11196731],[0.],[0.11196731],[0.11196731]
68,56,[0.11196731],[0.],[0.11196731],[0.11196731]
69,58,[0.11196731],[0.],[0.11196731],[0.11196731]
70,60,[0.11196731],[0.],[0.11196731],[0.11196731]
71,59,[0.11196731],[0.],[0.11196731],[0.11196731]
72,62,[0.11196731],[0.],[0.11196731],[0.11196731]
73,60,[0.11196731],[0.],[0.11196731],[0.11196731]
74,54,[0.11196731],[0.],[0.11196731],[0.11196731]
75,64,[0.11196731],[0.],[0.11196731],[0.11196731]
76,59,[0.11196731],[0.],[0.11196731],[0.11196731]
77,57,[0.11196731],[0.],[0.11196731],[0.11196731]
78,59,[0.11196731],[0.],[0.11196731],[0.11196731]
79,58,[0.11196731],[0.],[0.11196731],[0.11196731]
80,58,[0.11196731],[0.],[0.11196731],[0.11196731]
81,53,[0.11196731],[0.],[0.11196731],[0.11196731]
82,64,[0.11196736],[3.6387986e-07],[0.11196731],[0.11196991]
83,58,[0.11196746],[6.1726199e-07],[0.11196731],[0.11196991]
84,61,[0.11196772],[9.52861143e-07],[0.11196731],[0.11196991]
85,55,[0.11196835],[1.27331426e-06],[0.11196731],[0.11196991]
86,60,[0.11196991],[0.],[0.11196991],[0.11196991]
87,62,[0.11196991],[0.],[0.11196991],[0.11196991]
88,58,[0.11196991],[0.],[0.11196991],[0.11196991]
89,61,[0.11196991],[0.],[0.11196991],[0.11196991]
90,56,[0.11196991],[0.],[0.11196991],[0.11196991]
91,65,[0.11196991],[0.],[0.11196991],[0.11196991]
92,56,[0.11196991],[0.],[0.11196991],[0.11196991]
93,61,[0.11196991],[0.],[0.11196991],[0.11196991]
94,61,[0.11196991],[0.],[0.11196991],[0.11196991]
95,60,[0.11196991],[0.],[0.11196991],[0.11196991]
96,63,[0.11196991],[0.],[0.11196991],[0.11196991]
97,57,[0.11196991],[0.],[0.11196991],[0.11196991]
98,59,[0.11196991],[0.],[0.11196991],[0.11196991]
99,59,[0.11196991],[0.],[0.11196991],[0.11196991]
100,64,[0.11196991],[0.],[0.11196991],[0.11196991]
,,,,,
