rand,Max_fit,Gen,Hof
0.10359988854759343,89,14341,"[0.033065138322495316, 1.0, 0.009048050020749834, 0.04983943773234444, 0.0008006725649545618, 0.0]"
0.10195020716248966,87,14357,"[0.0, 1.0, 0.008961186574478974, 0.04812327246579177, 0.0016926679267639012, 0.0]"
0.10169362269619055,60,14371,"[0.0, 1.0, 0.008977403656135594, 0.04747040740102009, 0.001353515757179273, 0.0]"
0.10264148895882395,51,14385,"[0.0, 1.0, 0.00900180744641509, 0.04974316197323754, 0.003553028957186001, 0.0]"
0.10143271650369169,84,14399,"[0.0, 1.0, 0.008666535603794979, 0.04682596029876197, 0.0014575842969585073, 0.0]"
0.10228232398607891,89,14413,"[0.0, 1.0, 0.008649765322926904, 0.0490290381950908, 0.0011640540121061616, 0.0]"
0.10422150534261367,62,14428,"[0.03689734339127582, 1.0, 0.009029265423084762, 0.04934474311817756, 0.002459822892751722, 0.0]"
0.13835217076145004,84,14443,"[0.10729023383768913, 1.0, 0.009045357544179513, 0.04973765183227194, 0.001512211104670212, 0.0]"
0.10223999717216854,99,14457,"[0.0, 1.0, 0.008675920665116374, 0.048888875002370435, 0.0019448316099964346, 0.0]"
0.10298941339816255,35,14471,"[0.033550792171481825, 1.0, 0.00896240313387486, 0.04805115995323451, 0.0010671219720414043, 0.0]"
