gen,nevals,avg,std,min,max
0,50,[0.09231185],[0.0013225],[0.08728693],[0.09410835]
1,59,[0.09346465],[0.00040543],[0.09302479],[0.09507574]
2,60,[0.09377669],[0.00032258],[0.09337342],[0.09507574]
3,62,[0.09405983],[0.00016828],[0.09389403],[0.09507574]
4,59,[0.09413181],[0.00015382],[0.09403259],[0.09507574]
5,58,[0.09422044],[0.00022926],[0.09410895],[0.09507574]
6,61,[0.09445767],[0.00039493],[0.09413808],[0.09520418]
7,61,[0.09493223],[0.00037608],[0.09436193],[0.09613591]
8,58,[0.09528827],[0.00035174],[0.09507574],[0.09616263]
9,58,[0.0957233],[0.00062815],[0.09520418],[0.09874237]
10,58,[0.09620257],[0.00036331],[0.09613454],[0.09874237]
11,61,[0.09621575],[0.00036141],[0.0961593],[0.09874237]
12,60,[0.09629689],[0.00061178],[0.0961622],[0.09975577]
13,58,[0.09661005],[0.00110822],[0.09616263],[0.09975898]
14,57,[0.09731776],[0.00156599],[0.09625312],[0.09984621]
15,59,[0.09856821],[0.00160752],[0.09625645],[0.09984942]
16,58,[0.09979161],[4.39146009e-05],[0.09975577],[0.09984942]
17,60,[0.09984257],[4.92225321e-05],[0.09975898],[0.10012182]
18,60,[0.09990615],[0.00027777],[0.09984901],[0.10178205]
19,58,[0.10000382],[0.00046153],[0.09984942],[0.10178479]
20,55,[0.10022444],[0.00064633],[0.09984942],[0.1017852]
21,59,[0.10059361],[0.00070263],[0.10012182],[0.1017852]
22,61,[0.10115465],[0.00076727],[0.10021471],[0.1017852]
23,63,[0.10178462],[9.6683822e-07],[0.10178205],[0.1017852]
24,61,[0.10178518],[9.68217854e-08],[0.10178479],[0.1017852]
25,58,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
26,63,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
27,62,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
28,60,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
29,58,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
30,57,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
31,58,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
32,61,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
33,65,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
34,61,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
35,59,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
36,62,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
37,65,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
38,60,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
39,59,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
40,57,[0.1017852],[1.38777878e-17],[0.1017852],[0.1017852]
41,64,[0.10178536],[1.11277927e-06],[0.1017852],[0.10179315]
42,58,[0.10178552],[1.55756652e-06],[0.1017852],[0.10179315]
43,63,[0.10178568],[1.88764596e-06],[0.1017852],[0.10179315]
44,61,[0.10178615],[2.58293187e-06],[0.1017852],[0.10179315]
45,57,[0.10178743],[3.56883324e-06],[0.1017852],[0.10179315]
46,63,[0.10179061],[3.70774994e-06],[0.1017852],[0.10179315]
47,60,[0.10179315],[1.38777878e-17],[0.10179315],[0.10179315]
