cross,Max_fit,Gen,Hof
0.256295964866688,57,0.0,"[0.043503874563828336, 1.0, 0.010811270858738047, 0.02592799141860438, 0.002718992160239271, 0.0]"
0.2563195057264358,86,0.05,"[0.043503874563828336, 1.0, 0.011050482378819195, 0.026180417120701623, 0.002718992160239271, 0.0]"
0.25630971790441237,92,0.1,"[0.043503874563828336, 1.0, 0.011243387690199029, 0.02598858326924172, 0.002718992160239271, 0.0]"
0.256329962431391,80,0.15000000000000002,"[0.043503874563828336, 1.0, 0.011247920621695186, 0.02626301626318213, 0.002718992160239271, 0.0]"
0.2563192006104543,84,0.2,"[0.043503874563828336, 1.0, 0.011085503716950305, 0.026165902699401642, 0.002718992160239271, 0.0]"
0.25628857643042685,60,0.25,"[0.043503874563828336, 1.0, 0.011242336086184279, 0.02569648888003899, 0.002718992160239271, 0.0]"
0.2563203429261434,99,0.30000000000000004,"[0.043503874563828336, 1.0, 0.011100286609165844, 0.026228715812674133, 0.002332441601526727, 0.0]"
0.2562719128963847,70,0.35000000000000003,"[0.043503874563828336, 1.0, 0.011262629174387641, 0.02545625432827563, 0.002718992160239271, 0.0]"
0.25632921517933593,17,0.4,"[0.043503874563828336, 1.0, 0.011247074126310801, 0.026253163545226454, 0.002718992160239271, 0.0]"
0.25630710218574076,71,0.45,"[0.043503874563828336, 1.0, 0.011033245446425281, 0.02601628194751388, 0.002718992160239271, 0.0]"
0.25631147289380274,31,0.5,"[0.043503874563828336, 1.0, 0.011175991934247021, 0.02603327598639183, 0.002718992160239271, 0.0]"
0.25631667957383675,63,0.55,"[0.043503874563828336, 1.0, 0.0, 0.026165902699401642, 0.002718992160239271, 0.0]"
0.25632401252266207,78,0.6000000000000001,"[0.043503874563828336, 1.0, 0.011058834960601342, 0.026239085499918883, 0.002718992160239271, 0.0]"
0.25629665445584465,92,0.65,"[0.043503874563828336, 1.0, 0.011201000655919576, 0.025821580262041954, 0.002718992160239271, 0.0]"
0.2563143769143387,97,0.7000000000000001,"[0.043503874563828336, 1.0, 0.011213917628403475, 0.02606144629201411, 0.002718992160239271, 0.0]"
0.2562943038784528,78,0.75,"[0.043503874563828336, 1.0, 0.011193541208165701, 0.02579130919676001, 0.002718992160239271, 0.0]"
0.2563181827659464,100,0.8,"[0.043503874563828336, 1.0, 0.0, 0.02618632808795303, 0.002718992160239271, 0.0]"
0.25631833942548415,60,0.8500000000000001,"[0.043503874563828336, 1.0, 0.01125846085125198, 0.026101909466684555, 0.002718992160239271, 0.0]"
