gen,nevals,avg,std,min,max
0,20,[0.2535902],[0.00086208],[0.25175429],[0.25566813]
1,64,[0.25460708],[0.00041118],[0.25401541],[0.25566813]
2,55,[0.25499242],[0.0004362],[0.25467031],[0.25566813]
3,62,[0.25567008],[3.0047789e-05],[0.25560005],[0.25572694]
4,56,[0.25572189],[9.16580405e-06],[0.2556983],[0.25572694]
5,60,[0.25572694],[0.],[0.25572694],[0.25572694]
6,58,[0.25572694],[0.],[0.25572694],[0.25572694]
7,56,[0.25572694],[0.],[0.25572694],[0.25572694]
8,61,[0.25572694],[0.],[0.25572694],[0.25572694]
9,57,[0.25572694],[0.],[0.25572694],[0.25572694]
10,58,[0.25572694],[0.],[0.25572694],[0.25572694]
11,59,[0.25572694],[0.],[0.25572694],[0.25572694]
12,64,[0.25572694],[0.],[0.25572694],[0.25572694]
13,60,[0.25572694],[0.],[0.25572694],[0.25572694]
14,60,[0.25574994],[0.00010025],[0.25572694],[0.2561869]
15,58,[0.25583566],[0.00018919],[0.25572694],[0.2561869]
16,57,[0.25617346],[4.03456072e-05],[0.25605242],[0.2561869]
17,57,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
18,54,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
19,61,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
20,59,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
21,64,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
22,57,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
23,60,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
24,62,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
25,58,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
26,59,[0.2561869],[1.11022302e-16],[0.2561869],[0.2561869]
27,56,[0.25618721],[1.34118268e-06],[0.2561869],[0.25619306]
28,60,[0.25618814],[2.46150727e-06],[0.2561869],[0.25619306]
29,58,[0.25619306],[0.],[0.25619306],[0.25619306]
30,62,[0.25619306],[0.],[0.25619306],[0.25619306]
31,63,[0.25619306],[0.],[0.25619306],[0.25619306]
32,66,[0.25619306],[0.],[0.25619306],[0.25619306]
33,59,[0.25619306],[0.],[0.25619306],[0.25619306]
34,59,[0.25619306],[0.],[0.25619306],[0.25619306]
35,59,[0.25619306],[0.],[0.25619306],[0.25619306]
36,63,[0.25619306],[0.],[0.25619306],[0.25619306]
37,62,[0.25619306],[0.],[0.25619306],[0.25619306]
38,57,[0.25619306],[0.],[0.25619306],[0.25619306]
39,62,[0.25619306],[0.],[0.25619306],[0.25619306]
40,54,[0.25619306],[0.],[0.25619306],[0.25619306]
41,61,[0.25619306],[0.],[0.25619306],[0.25619306]
42,59,[0.25619306],[0.],[0.25619306],[0.25619306]
43,63,[0.25619306],[0.],[0.25619306],[0.25619306]
44,61,[0.25619306],[0.],[0.25619306],[0.25619306]
45,63,[0.25619306],[0.],[0.25619306],[0.25619306]
46,56,[0.25619306],[0.],[0.25619306],[0.25619306]
47,58,[0.25619306],[0.],[0.25619306],[0.25619306]
48,56,[0.25619306],[0.],[0.25619306],[0.25619306]
49,57,[0.25619306],[0.],[0.25619306],[0.25619306]
50,58,[0.25619306],[0.],[0.25619306],[0.25619306]
