mu,Max_fit,Gen,Hof
0.2563181827659464,100,20,"[0.043503874563828336, 1.0, 0.0, 0.02618632808795303, 0.002718992160239271, 0.0]"
0.25630984324761097,19,21,"[0.043503874563828336, 1.0, 0.0, 0.026072731606044272, 0.002718992160239271, 0.0]"
0.25628289250170744,42,22,"[0.043503874563828336, 1.0, 0.011034519957605926, 0.02568115795715836, 0.002718992160239271, 0.0]"
0.25619566074911093,33,23,"[0.043503874563828336, 1.0, 0.011034519957605926, 0.02442106232483656, 0.002718992160239271, 0.0]"
0.2561965255126299,59,24,"[0.043503874563828336, 1.0, 0.011128556677410873, 0.024403238345065727, 0.002718992160239271, 0.0]"
0.25627188002548723,90,25,"[0.043503874563828336, 1.0, 0.011254753554858327, 0.025458296348043783, 0.002718992160239271, 0.0]"
0.25627188002548723,91,26,"[0.043503874563828336, 1.0, 0.011254753554858327, 0.025458296348043783, 0.002718992160239271, 0.0]"
0.25631426914047145,79,27,"[0.043503874563828336, 1.0, 0.011254753554858327, 0.026047444167319057, 0.002718992160239271, 0.0]"
0.25631151872029256,29,28,"[0.043503874563828336, 1.0, 0.01113126008735239, 0.026047444167319057, 0.002718992160239271, 0.0]"
0.25631151872029256,30,29,"[0.043503874563828336, 1.0, 0.01113126008735239, 0.026047444167319057, 0.002718992160239271, 0.0]"
