mutate,Max_fit,Gen,Hof
0.25566812652541143,0,0.0,"[0.043503874563828336, 1.0, 0.005437984320478542, 0.0, 0.002718992160239271, 0.0]"
0.256295964866688,57,0.05,"[0.043503874563828336, 1.0, 0.010811270858738047, 0.02592799141860438, 0.002718992160239271, 0.0]"
0.2563195057264358,88,0.1,"[0.043503874563828336, 1.0, 0.011050482378819195, 0.026180417120701623, 0.002718992160239271, 0.0]"
0.25630531001241924,96,0.15000000000000002,"[0.043503874563828336, 1.0, 0.011243387690199029, 0.02592799141860438, 0.002718992160239271, 0.0]"
0.256329962431391,85,0.2,"[0.043503874563828336, 1.0, 0.011247920621695186, 0.02626301626318213, 0.002718992160239271, 0.0]"
0.2563228011492058,90,0.25,"[0.043503874563828336, 1.0, 0.011247920621695186, 0.026165902699401642, 0.002718992160239271, 0.0]"
0.2563228011492058,86,0.30000000000000004,"[0.043503874563828336, 1.0, 0.011247920621695186, 0.026165902699401642, 0.002718992160239271, 0.0]"
0.25632360090593653,77,0.35000000000000003,"[0.043503874563828336, 1.0, 0.011247920621695186, 0.026228715812674133, 0.002330342851622128, 0.0]"
0.25632776003116936,78,0.4,"[0.043503874563828336, 1.0, 0.011262629174387641, 0.026228715812674133, 0.002718992160239271, 0.0]"
0.2563255457997862,72,0.45,"[0.043503874563828336, 1.0, 0.011247920621695186, 0.026253163545226454, 0.002345642066379226, 0.0]"
0.256329962431391,70,0.5,"[0.043503874563828336, 1.0, 0.011247920621695186, 0.02626301626318213, 0.002718992160239271, 0.0]"
0.2563295653487357,71,0.55,"[0.043503874563828336, 1.0, 0.011262629174387641, 0.026253163545226454, 0.002718992160239271, 0.0]"
0.25632966864999235,98,0.6000000000000001,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.026253163545226454, 0.002718992160239271, 0.0]"
0.25632966864999235,96,0.65,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.026253163545226454, 0.002718992160239271, 0.0]"
0.25633039686910136,93,0.7000000000000001,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.02626301626318213, 0.002718992160239271, 0.0]"
0.25633039686910136,91,0.75,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.02626301626318213, 0.002718992160239271, 0.0]"
0.2563289310600708,88,0.8,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.02629360745351401, 0.002341173031821892, 0.0]"
0.256332660278789,86,0.8500000000000001,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.02629360745351401, 0.002718992160239271, 0.0]"
0.256332660278789,84,0.9,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.02629360745351401, 0.002718992160239271, 0.0]"
0.2563290111147201,83,0.9500000000000001,"[0.043503874563828336, 1.0, 0.011267209982259512, 0.02629360745351401, 0.0023499216618240323, 0.0]"
