gen,nevals,avg,std,min,max
0,20,[0.2535902],[0.00086208],[0.25175429],[0.25566813]
1,0,[0.25488455],[0.00045575],[0.25446849],[0.25566813]
2,0,[0.25566813],[0.],[0.25566813],[0.25566813]
3,0,[0.25566813],[0.],[0.25566813],[0.25566813]
4,0,[0.25566813],[0.],[0.25566813],[0.25566813]
5,0,[0.25566813],[0.],[0.25566813],[0.25566813]
6,0,[0.25566813],[0.],[0.25566813],[0.25566813]
7,0,[0.25566813],[0.],[0.25566813],[0.25566813]
8,0,[0.25566813],[0.],[0.25566813],[0.25566813]
9,0,[0.25566813],[0.],[0.25566813],[0.25566813]
10,0,[0.25566813],[0.],[0.25566813],[0.25566813]
11,0,[0.25566813],[0.],[0.25566813],[0.25566813]
12,0,[0.25566813],[0.],[0.25566813],[0.25566813]
13,0,[0.25566813],[0.],[0.25566813],[0.25566813]
14,0,[0.25566813],[0.],[0.25566813],[0.25566813]
15,0,[0.25566813],[0.],[0.25566813],[0.25566813]
16,0,[0.25566813],[0.],[0.25566813],[0.25566813]
17,0,[0.25566813],[0.],[0.25566813],[0.25566813]
18,0,[0.25566813],[0.],[0.25566813],[0.25566813]
19,0,[0.25566813],[0.],[0.25566813],[0.25566813]
20,0,[0.25566813],[0.],[0.25566813],[0.25566813]
21,0,[0.25566813],[0.],[0.25566813],[0.25566813]
22,0,[0.25566813],[0.],[0.25566813],[0.25566813]
23,0,[0.25566813],[0.],[0.25566813],[0.25566813]
24,0,[0.25566813],[0.],[0.25566813],[0.25566813]
25,0,[0.25566813],[0.],[0.25566813],[0.25566813]
26,0,[0.25566813],[0.],[0.25566813],[0.25566813]
27,0,[0.25566813],[0.],[0.25566813],[0.25566813]
28,0,[0.25566813],[0.],[0.25566813],[0.25566813]
29,0,[0.25566813],[0.],[0.25566813],[0.25566813]
30,0,[0.25566813],[0.],[0.25566813],[0.25566813]
31,0,[0.25566813],[0.],[0.25566813],[0.25566813]
32,0,[0.25566813],[0.],[0.25566813],[0.25566813]
33,0,[0.25566813],[0.],[0.25566813],[0.25566813]
34,0,[0.25566813],[0.],[0.25566813],[0.25566813]
35,0,[0.25566813],[0.],[0.25566813],[0.25566813]
36,0,[0.25566813],[0.],[0.25566813],[0.25566813]
37,0,[0.25566813],[0.],[0.25566813],[0.25566813]
38,0,[0.25566813],[0.],[0.25566813],[0.25566813]
39,0,[0.25566813],[0.],[0.25566813],[0.25566813]
40,0,[0.25566813],[0.],[0.25566813],[0.25566813]
41,0,[0.25566813],[0.],[0.25566813],[0.25566813]
42,0,[0.25566813],[0.],[0.25566813],[0.25566813]
43,0,[0.25566813],[0.],[0.25566813],[0.25566813]
44,0,[0.25566813],[0.],[0.25566813],[0.25566813]
45,0,[0.25566813],[0.],[0.25566813],[0.25566813]
46,0,[0.25566813],[0.],[0.25566813],[0.25566813]
47,0,[0.25566813],[0.],[0.25566813],[0.25566813]
48,0,[0.25566813],[0.],[0.25566813],[0.25566813]
49,0,[0.25566813],[0.],[0.25566813],[0.25566813]
50,0,[0.25566813],[0.],[0.25566813],[0.25566813]
51,0,[0.25566813],[0.],[0.25566813],[0.25566813]
52,0,[0.25566813],[0.],[0.25566813],[0.25566813]
53,0,[0.25566813],[0.],[0.25566813],[0.25566813]
54,0,[0.25566813],[0.],[0.25566813],[0.25566813]
