gen,nevals,avg,std,min,max
0,50,[0.25358011],[0.00131128],[0.24755221],[0.25609923]
1,59,[0.25475699],[0.00070463],[0.25406073],[0.2584758]
2,54,[0.25517441],[0.00073869],[0.25466551],[0.2584758]
3,63,[0.25597614],[0.00097099],[0.25481203],[0.25848279]
4,56,[0.25682343],[0.00108776],[0.25609923],[0.25853626]
5,63,[0.25774275],[0.00108768],[0.2561287],[0.25853626]
6,60,[0.25851237],[1.86396635e-05],[0.25848279],[0.25853626]
7,54,[0.25853021],[6.45161439e-06],[0.25852135],[0.25853626]
8,64,[0.25853626],[5.55111512e-17],[0.25853626],[0.25853626]
9,60,[0.25853626],[5.55111512e-17],[0.25853626],[0.25853626]
10,62,[0.25853626],[5.55111512e-17],[0.25853626],[0.25853626]
11,57,[0.25853834],[1.46027755e-05],[0.25853626],[0.25864056]
12,57,[0.25853844],[1.46048287e-05],[0.25853626],[0.25864056]
13,58,[0.25854271],[2.47403061e-05],[0.25853626],[0.25864056]
14,59,[0.25855542],[3.9911403e-05],[0.25853626],[0.25864056]
15,63,[0.258578],[4.97308184e-05],[0.25853626],[0.25864544]
16,65,[0.25864085],[1.15938421e-06],[0.25864056],[0.25864544]
17,55,[0.25864134],[1.78972977e-06],[0.25864056],[0.25864544]
18,62,[0.25864203],[2.23716222e-06],[0.25864056],[0.25864544]
19,57,[0.25864427],[2.08497209e-06],[0.25864056],[0.25864544]
20,54,[0.25864544],[0.],[0.25864544],[0.25864544]
21,62,[0.2586499],[3.12093204e-05],[0.25864544],[0.25886837]
22,62,[0.25865436],[4.36839487e-05],[0.25864544],[0.25886837]
23,55,[0.25868111],[8.17251846e-05],[0.25864544],[0.25886837]
24,57,[0.25876823],[0.00010977],[0.25864544],[0.25886837]
25,49,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
26,58,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
27,55,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
28,58,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
29,64,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
30,61,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
31,56,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
32,58,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
33,56,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
34,57,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
35,68,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
36,60,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
37,57,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
38,56,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
39,57,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
40,66,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
41,61,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
42,57,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
43,64,[0.25886837],[5.55111512e-17],[0.25886837],[0.25886837]
44,59,[0.25886849],[8.75305643e-07],[0.25886837],[0.25887462]
45,58,[0.25886862],[1.22517268e-06],[0.25886837],[0.25887462]
46,60,[0.25886887],[1.69617477e-06],[0.25886837],[0.25887462]
47,64,[0.25886949],[2.40201033e-06],[0.25886837],[0.25887462]
48,59,[0.25887162],[3.12358971e-06],[0.25886837],[0.25887462]
49,64,[0.25887478],[1.10107106e-06],[0.25887462],[0.25888248]
50,56,[0.25887493],[1.54117844e-06],[0.25887462],[0.25888248]
51,61,[0.25887541],[2.35943799e-06],[0.25887462],[0.25888248]
52,57,[0.25887666],[3.44976767e-06],[0.25887462],[0.25888248]
53,61,[0.25888208],[1.77799565e-05],[0.25887462],[0.25900373]
54,59,[0.25888491],[1.69747961e-05],[0.25888248],[0.25900373]
55,64,[0.25888976],[2.87949337e-05],[0.25888248],[0.25900373]
56,59,[0.25889946],[4.20716722e-05],[0.25888248],[0.25900373]
57,62,[0.25891401],[5.31837632e-05],[0.25888248],[0.25900373]
58,57,[0.25895281],[5.98432502e-05],[0.25888248],[0.25900373]
59,64,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
60,56,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
61,64,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
62,62,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
63,58,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
64,60,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
65,60,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
66,54,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
67,55,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
68,56,[0.25900373],[5.55111512e-17],[0.25900373],[0.25900373]
