rand,Max_fit,Gen,Hof
0.2553868856415197,86,6723,"[0.0, 1.0, 0.011219589739493625, 0.02575791262254009, 0.002243761779644889, 0.0]"
0.25611493216397846,15,6738,"[0.041443068912385105, 1.0, 0.0, 0.026194866806418502, 0.003187928377875777, 0.0]"
0.25542635806818526,47,6753,"[0.0, 1.0, 0.011201521891400319, 0.026293068606782807, 0.0023185784722429036, 0.0]"
0.2554205093126142,100,6768,"[0.0, 1.0, 0.011234333076126424, 0.026201802854618213, 0.002338363838637032, 0.0]"
0.25631469379029814,77,6783,"[0.0433923147389229, 1.0, 0.010993136059359164, 0.02626544705143081, 0.0028928209825948605, 0.0]"
0.25540137896891135,100,6798,"[0.0, 1.0, 0.011229503986674908, 0.025941069814922165, 0.002352306639379203, 0.0]"
0.2554207359125028,65,6812,"[0.0, 1.0, 0.011253714855080416, 0.02619643355128325, 0.0023586554610491054, 0.0]"
0.25600093496709203,84,6826,"[0.04080244814688881, 1.0, 0.01107416596167326, 0.02540137103587412, 0.003400204012240734, 0.0]"
0.26010475111932635,29,6840,"[0.06829823562891292, 1.0, 0.0, 0.025981410953015288, 0.0037943464238284954, 0.0]"
0.25627188002548723,88,6854,"[0.043503874563828336, 1.0, 0.011254753554858327, 0.025458296348043783, 0.002718992160239271, 0.0]"
