gen,nevals,avg,std,min,max
0,50,[0.25326452],[0.00140123],[0.24872542],[0.25479497]
1,58,[0.25444655],[0.00027788],[0.25384324],[0.25479497]
2,62,[0.25472233],[7.96635928e-05],[0.25455654],[0.25503201]
3,63,[0.25478494],[6.45288406e-05],[0.25474153],[0.25503201]
4,62,[0.2548165],[8.27929155e-05],[0.25477465],[0.25511768]
5,60,[0.25488405],[0.00013095],[0.25479497],[0.25514405]
6,62,[0.25496835],[0.00014323],[0.25481081],[0.25514405]
7,58,[0.255133],[1.7422202e-05],[0.25508686],[0.25514628]
8,61,[0.25514417],[4.03982271e-07],[0.25514405],[0.25514628]
9,60,[0.25514437],[5.95678949e-07],[0.25514405],[0.25514628]
10,59,[0.25514462],[6.82841723e-07],[0.25514405],[0.25514628]
11,56,[0.2551453],[3.26958536e-07],[0.25514519],[0.25514628]
12,57,[0.25514551],[4.99437414e-07],[0.25514519],[0.25514628]
13,63,[0.25514593],[5.08394532e-07],[0.25514519],[0.25514628]
14,57,[0.2551463],[1.45216653e-07],[0.25514628],[0.25514732]
15,55,[0.25514637],[3.22226588e-07],[0.25514628],[0.25514783]
16,62,[0.25514643],[3.9103674e-07],[0.25514628],[0.25514783]
17,59,[0.25514807],[1.04395952e-05],[0.25514628],[0.25522107]
18,59,[0.25515006],[1.45178807e-05],[0.25514628],[0.25522107]
19,60,[0.25515202],[1.74758475e-05],[0.25514732],[0.25522107]
20,63,[0.25515551],[2.19129274e-05],[0.25514732],[0.25522107]
21,55,[0.25516294],[2.72845521e-05],[0.25514783],[0.25522107]
22,66,[0.25518687],[3.53232698e-05],[0.25515157],[0.25522637]
23,63,[0.25522173],[6.53005596e-06],[0.25517907],[0.25522637]
24,57,[0.25522488],[2.02923629e-06],[0.25522107],[0.25522637]
25,61,[0.25522637],[5.55111512e-17],[0.25522637],[0.25522637]
26,59,[0.25522637],[5.55111512e-17],[0.25522637],[0.25522637]
27,59,[0.25522637],[5.55111512e-17],[0.25522637],[0.25522637]
28,54,[0.25522637],[5.55111512e-17],[0.25522637],[0.25522637]
29,65,[0.25522945],[2.16054536e-05],[0.25522637],[0.25538069]
30,61,[0.25523563],[3.66500781e-05],[0.25522637],[0.25538069]
31,57,[0.25524488],[5.01495813e-05],[0.25522637],[0.25538069]
32,62,[0.25526117],[6.27703845e-05],[0.25522637],[0.25538069]
33,62,[0.25531567],[7.40252384e-05],[0.25522637],[0.25538069]
34,57,[0.25538069],[0.],[0.25538069],[0.25538069]
35,56,[0.25538069],[0.],[0.25538069],[0.25538069]
36,61,[0.25538069],[0.],[0.25538069],[0.25538069]
37,61,[0.25538069],[0.],[0.25538069],[0.25538069]
38,60,[0.25538069],[0.],[0.25538069],[0.25538069]
39,60,[0.25538069],[0.],[0.25538069],[0.25538069]
40,60,[0.25538069],[0.],[0.25538069],[0.25538069]
41,61,[0.25538069],[0.],[0.25538069],[0.25538069]
42,58,[0.2553808],[7.70871129e-07],[0.25538069],[0.2553862]
43,58,[0.2553808],[7.70871129e-07],[0.25538069],[0.2553862]
44,66,[0.25538091],[1.07899481e-06],[0.25538069],[0.2553862]
45,57,[0.25538124],[1.6518667e-06],[0.25538069],[0.2553862]
46,58,[0.25538256],[2.60834582e-06],[0.25538069],[0.2553862]
47,55,[0.25538532],[2.01861446e-06],[0.25538069],[0.2553862]
48,53,[0.2553862],[0.],[0.2553862],[0.2553862]
49,58,[0.2553862],[0.],[0.2553862],[0.2553862]
50,59,[0.2553862],[0.],[0.2553862],[0.2553862]
51,60,[0.2553862],[0.],[0.2553862],[0.2553862]
52,59,[0.2553862],[0.],[0.2553862],[0.2553862]
53,59,[0.2553862],[0.],[0.2553862],[0.2553862]
54,57,[0.2553862],[0.],[0.2553862],[0.2553862]
55,59,[0.2553862],[0.],[0.2553862],[0.2553862]
56,54,[0.2553862],[0.],[0.2553862],[0.2553862]
57,63,[0.2553862],[0.],[0.2553862],[0.2553862]
58,59,[0.2553862],[0.],[0.2553862],[0.2553862]
59,58,[0.2553862],[0.],[0.2553862],[0.2553862]
60,59,[0.2553862],[0.],[0.2553862],[0.2553862]
61,61,[0.2553862],[0.],[0.2553862],[0.2553862]
62,59,[0.2553862],[0.],[0.2553862],[0.2553862]
63,64,[0.2553862],[0.],[0.2553862],[0.2553862]
64,58,[0.2553862],[0.],[0.2553862],[0.2553862]
65,58,[0.2553862],[0.],[0.2553862],[0.2553862]
66,62,[0.2553862],[0.],[0.2553862],[0.2553862]
67,54,[0.2553862],[0.],[0.2553862],[0.2553862]
68,58,[0.2553862],[0.],[0.2553862],[0.2553862]
69,53,[0.2553862],[0.],[0.2553862],[0.2553862]
70,63,[0.2553862],[0.],[0.2553862],[0.2553862]
71,61,[0.2553862],[0.],[0.2553862],[0.2553862]
72,53,[0.2553862],[0.],[0.2553862],[0.2553862]
73,59,[0.2553862],[0.],[0.2553862],[0.2553862]
74,62,[0.2553862],[0.],[0.2553862],[0.2553862]
75,61,[0.2553862],[0.],[0.2553862],[0.2553862]
76,57,[0.2553862],[0.],[0.2553862],[0.2553862]
77,56,[0.2553862],[0.],[0.2553862],[0.2553862]
78,65,[0.2553862],[0.],[0.2553862],[0.2553862]
79,63,[0.2553862],[0.],[0.2553862],[0.2553862]
80,62,[0.2553862],[0.],[0.2553862],[0.2553862]
81,57,[0.2553862],[0.],[0.2553862],[0.2553862]
82,62,[0.2553862],[0.],[0.2553862],[0.2553862]
83,62,[0.25538621],[9.36890222e-08],[0.2553862],[0.25538687]
84,59,[0.25538622],[1.31137314e-07],[0.2553862],[0.25538687]
85,60,[0.25538624],[1.58927928e-07],[0.2553862],[0.25538687]
86,54,[0.2553863],[2.46254387e-07],[0.2553862],[0.25538689]
87,64,[0.25538642],[3.17571279e-07],[0.2553862],[0.25538689]
88,61,[0.25538664],[3.17304803e-07],[0.2553862],[0.25538689]
89,63,[0.25538687],[4.69046047e-09],[0.25538687],[0.25538689]
90,63,[0.25538687],[7.58785647e-09],[0.25538687],[0.25538689]
91,63,[0.25538688],[9.87520074e-09],[0.25538687],[0.25538689]
92,60,[0.25538689],[0.],[0.25538689],[0.25538689]
93,58,[0.25538689],[0.],[0.25538689],[0.25538689]
94,58,[0.25538689],[0.],[0.25538689],[0.25538689]
95,60,[0.25538689],[0.],[0.25538689],[0.25538689]
96,55,[0.25538689],[0.],[0.25538689],[0.25538689]
97,60,[0.25538689],[0.],[0.25538689],[0.25538689]
98,61,[0.25538689],[0.],[0.25538689],[0.25538689]
99,63,[0.25538689],[0.],[0.25538689],[0.25538689]
100,54,[0.25538689],[0.],[0.25538689],[0.25538689]
,,,,,
gen,nevals,avg,std,min,max
0,50,[0.25379122],[0.00113132],[0.24914042],[0.25547405]
1,57,[0.25472564],[0.00021464],[0.25437518],[0.25548529]
2,60,[0.25482784],[0.00021594],[0.25472031],[0.25548529]
3,59,[0.25493956],[0.00028263],[0.25477223],[0.25548529]
4,60,[0.25525029],[0.0003114],[0.25479331],[0.25552259]
5,62,[0.25550634],[7.6747055e-05],[0.25546828],[0.25593543]
6,60,[0.25556164],[0.00013077],[0.25548659],[0.25594298]
7,62,[0.25564827],[0.00017274],[0.25552259],[0.25598388]
8,52,[0.2558121],[0.00014652],[0.25552259],[0.25598388]
9,58,[0.25595093],[1.9805058e-05],[0.25591726],[0.25598388]
10,60,[0.25596798],[1.77486867e-05],[0.25594298],[0.25598388]
11,59,[0.25598429],[2.85898149e-06],[0.25598388],[0.2560043]
12,58,[0.25598552],[5.54015882e-06],[0.25598388],[0.2560043]
13,60,[0.25598674],[7.085925e-06],[0.25598388],[0.2560043]
14,60,[0.2559896],[9.16913932e-06],[0.25598388],[0.2560043]
15,60,[0.2560008],[1.86881944e-05],[0.25598388],[0.25611493]
16,64,[0.25601315],[3.00124549e-05],[0.2560043],[0.25611493]
17,57,[0.25603086],[4.72470863e-05],[0.2560043],[0.25611493]
18,59,[0.25607511],[5.31011408e-05],[0.2560043],[0.25611493]
19,59,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
20,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
21,58,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
22,53,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
23,59,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
24,65,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
25,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
26,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
27,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
28,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
29,58,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
30,59,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
31,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
32,57,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
33,59,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
34,56,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
35,58,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
36,57,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
37,58,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
38,66,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
39,58,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
40,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
41,57,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
42,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
43,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
44,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
45,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
46,57,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
47,52,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
48,57,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
49,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
50,64,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
51,63,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
52,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
53,56,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
54,63,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
55,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
56,58,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
57,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
58,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
59,63,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
60,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
61,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
62,63,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
63,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
64,59,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
65,58,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
66,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
67,54,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
68,64,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
69,64,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
70,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
71,55,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
72,63,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
73,57,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
74,60,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
75,61,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
76,59,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
77,63,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
78,62,[0.25611493],[5.55111512e-17],[0.25611493],[0.25611493]
