gen,nevals,avg,std,min,max
0,22,[0.25349999],[0.00085339],[0.25182888],[0.25479207]
1,34,[0.25455128],[0.00016952],[0.25425971],[0.25479207]
2,33,[0.25477361],[1.93243416e-05],[0.25471389],[0.25479207]
3,26,[0.25479375],[7.71840412e-06],[0.25479207],[0.25482912]
4,29,[0.25481918],[7.28326906e-05],[0.25479207],[0.25514443]
5,27,[0.25490536],[0.00014297],[0.25482912],[0.2552889]
6,35,[0.25519545],[9.17383303e-05],[0.25507912],[0.25537367]
7,30,[0.25530915],[3.52753236e-05],[0.2552889],[0.25537367]
8,35,[0.25537485],[4.57312289e-06],[0.25537367],[0.25539539]
9,35,[0.25537716],[6.0616415e-06],[0.25537367],[0.25539539]
10,42,[0.25538444],[8.46641061e-06],[0.25537805],[0.25539734]
11,29,[0.25539701],[4.3484007e-06],[0.25539539],[0.25541506]
12,42,[0.25540261],[7.91494551e-06],[0.25539539],[0.25542219]
13,37,[0.25541215],[6.62722909e-06],[0.25540313],[0.25542219]
14,27,[0.25541863],[3.56300015e-06],[0.25541506],[0.25542219]
15,24,[0.25542219],[1.11022302e-16],[0.25542219],[0.25542219]
16,32,[0.25542225],[2.97840201e-07],[0.25542219],[0.25542362]
17,30,[0.25542238],[4.90694395e-07],[0.25542219],[0.25542362]
18,30,[0.25542275],[7.63942037e-07],[0.25542219],[0.25542453]
19,38,[0.25542374],[3.10777782e-07],[0.25542362],[0.25542453]
20,34,[0.25542407],[4.52798751e-07],[0.25542362],[0.25542453]
21,30,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
22,30,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
23,34,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
24,38,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
25,31,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
26,37,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
27,29,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
28,34,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
29,34,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
30,37,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
31,27,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
32,28,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
33,26,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
34,44,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
35,36,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
36,35,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
37,35,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
38,41,[0.25542453],[5.55111512e-17],[0.25542453],[0.25542453]
39,34,[0.25542453],[1.42974507e-08],[0.25542453],[0.25542459]
40,31,[0.25542453],[1.42974507e-08],[0.25542453],[0.25542459]
