optimal,Max_fit,Gen,Hof
27989,0.2554233284987838,100,"[0.0, 1.0, 0.011230363183483569, 0.026238584132365805, 0.0023585708532170083, 0.0]"
27999,0.25542507130006614,64,"[0.0, 1.0, 0.011253078455057514, 0.026256833312379598, 0.002345316261513433, 0.0]"
28008,0.25542570082757116,54,"[0.0, 1.0, 0.011264747399000479, 0.02626065424539062, 0.002354263297998536, 0.0]"
28017,0.25542401378536583,42,"[0.0, 1.0, 0.011176518452053991, 0.026264571117959806, 0.0023546706903617982, 0.0]"
28026,0.25541721477451695,97,"[0.0, 1.0, 0.011236525203057141, 0.026154991972344794, 0.00235074569044529, 0.0]"
28035,0.25594883264156615,95,"[0.03965392934390772, 1.0, 0.011249272854094973, 0.026265368318231, 0.0023467466625623776, 0.0]"
28043,0.25541062532594194,99,"[0.0, 1.0, 0.011204254579390267, 0.026076912939448804, 0.0023380394492449664, 0.0]"
28052,0.2554243792517983,63,"[0.0, 1.0, 0.011251933707910229, 0.02624630498477954, 0.0023577474078188276, 0.0]"
28060,0.2554189018180694,32,"[0.0, 1.0, 0.011231341255741007, 0.026179513651117876, 0.0023500474938870884, 0.0]"
28069,0.2554279143943795,83,"[0.0, 1.0, 0.011236134183145922, 0.02629945386516898, 0.0023519081284438933, 0.0]"
