cross,Max_fit,Gen,Hof
0.0632679754465859,71,0.0,"[0.00016695674984963841, 1.0, 0.027087218836716904, 0.014562890294193252, 0.0015087617676613145, 0.2929470495109792]"
0.06294870605491015,95,0.05,"[0.0008436810476977526, 1.0, 0.026824918255574894, 0.014292717060619598, 0.0015283149774219906, 0.2929185801468044]"
0.060525361700658704,93,0.1,"[0.00073205950249887, 1.0, 0.024143441074212766, 0.014019781336889536, 0.0014181746912351823, 0.2910176543575655]"
0.06191455694324257,89,0.15000000000000002,"[0.0002073951824424189, 1.0, 0.02499386561522023, 0.014393715302337485, 0.001550298917034539, 0.29208482379417045]"
0.061434752269018386,87,0.2,"[0.0, 1.0, 0.0263499520396861, 0.014291213138507657, 0.0015319550078629024, 0.29114836865796623]"
0.06063024868935976,62,0.25,"[0.00011181537297261963, 1.0, 0.026223158604625374, 0.014393715302337485, 0.0015182101814080178, 0.29030631250795585]"
0.06277108635272284,86,0.30000000000000004,"[0.0016164587286361847, 1.0, 0.025852158157148846, 0.013392614553189668, 0.002141633352370074, 0.29336479602323656]"
0.06373748976671607,90,0.35000000000000003,"[0.002282294084919909, 1.0, 0.02705867191647205, 0.01427081684243775, 0.0015106766535064229, 0.29409003039691106]"
0.06176339081585534,52,0.4,"[0.0, 1.0, 0.026812294684137893, 0.014437192931656845, 0.0015410631190981017, 0.2913444088595457]"
0.06236393338842308,96,0.45,"[0.0003240715745281229, 1.0, 0.026542148929830107, 0.0145215478581341, 0.002141633352370074, 0.2921421677263685]"
0.04196320895993154,55,0.5,"[0.020521671891580807, 1.0, 0.0, 0.014536887980204737, 0.0015320329620737336, 0.0]"
0.05868553564614219,85,0.55,"[0.0018125348035665698, 1.0, 0.02594791207554411, 0.014593766080378821, 0.002141633352370074, 0.28865959788187756]"
0.0566873665846328,59,0.6000000000000001,"[0.0007604824640708958, 1.0, 0.02706388730517323, 0.014386035979289202, 0.001555562102182805, 0.28584235779441036]"
0.0615429192837246,82,0.65,"[0.0015065600845448582, 1.0, 0.027098175652265164, 0.014594892340668233, 0.0015535472393717103, 0.2914059951599654]"
0.061585961365583815,100,0.7000000000000001,"[9.36687269592541e-06, 1.0, 0.0264838837621712, 0.014186646792012737, 0.0015389506804385019, 0.29130214236041]"
0.06430757333773078,98,0.75,"[0.0, 1.0, 0.026521199186147485, 0.014457949870400446, 0.002141633352370074, 0.2942055653897815]"
0.06452150308081181,79,0.8,"[3.9319387631333655e-05, 1.0, 0.02705055601022507, 0.014432433392744274, 0.002141633352370074, 0.29430833259283967]"
0.0644791772853233,94,0.8500000000000001,"[0.00022037713498152323, 1.0, 0.026526240444977964, 0.014320127130766984, 0.002141633352370074, 0.2944824926501461]"
