gen,nevals,avg,std,min,max
0,20,[0.03767464],[0.00112657],[0.03534322],[0.03985008]
1,56,[0.03929589],[0.00039352],[0.03887462],[0.03986402]
2,54,[0.03988098],[7.76760689e-05],[0.03984658],[0.0401865]
3,58,[0.03993425],[6.3169674e-05],[0.03990157],[0.0401865]
4,58,[0.04002898],[0.00010746],[0.039959],[0.04023556]
5,57,[0.04022902],[7.59687717e-05],[0.0401865],[0.04044722]
6,57,[0.04032509],[0.00011047],[0.04023556],[0.04049596]
7,58,[0.04048377],[2.1105062e-05],[0.04044722],[0.04049596]
8,58,[0.04049596],[1.38777878e-17],[0.04049596],[0.04049596]
9,59,[0.04049596],[1.38777878e-17],[0.04049596],[0.04049596]
10,60,[0.04049596],[1.38777878e-17],[0.04049596],[0.04049596]
11,61,[0.04053922],[0.00018856],[0.04049596],[0.04136115]
12,57,[0.040669],[0.00034608],[0.04049596],[0.04136115]
13,53,[0.04136115],[0.],[0.04136115],[0.04136115]
14,52,[0.04136115],[0.],[0.04136115],[0.04136115]
15,62,[0.0414922],[0.00057122],[0.04136115],[0.04398211]
16,55,[0.04201639],[0.00113491],[0.04136115],[0.04398211]
17,63,[0.04358896],[0.00093587],[0.04136115],[0.04398211]
18,58,[0.04482612],[0.00367895],[0.04398211],[0.06086227]
19,58,[0.04820215],[0.00730933],[0.04398211],[0.06086227]
20,62,[0.06086227],[6.9388939e-18],[0.06086227],[0.06086227]
21,63,[0.06090181],[0.00017233],[0.06086227],[0.06165296]
22,61,[0.06105994],[0.00034238],[0.06086227],[0.06165296]
23,59,[0.06165296],[0.],[0.06165296],[0.06165296]
24,62,[0.06165296],[0.],[0.06165296],[0.06165296]
25,59,[0.06165296],[0.],[0.06165296],[0.06165296]
26,66,[0.06165451],[6.7505107e-06],[0.06165296],[0.06168393]
27,62,[0.06166083],[1.33497969e-05],[0.06165296],[0.06168393]
28,61,[0.06168393],[6.9388939e-18],[0.06168393],[0.06168393]
29,59,[0.06168393],[6.9388939e-18],[0.06168393],[0.06168393]
30,61,[0.06171457],[0.00013354],[0.06168393],[0.06229665]
31,62,[0.06196051],[0.00030579],[0.06168393],[0.06231375]
32,60,[0.06229922],[6.10438105e-06],[0.06229665],[0.06231375]
33,58,[0.06230264],[8.15412273e-06],[0.06229665],[0.06231375]
34,60,[0.06238194],[0.00029724],[0.06231375],[0.06367758]
35,61,[0.06279321],[0.00064724],[0.06231375],[0.06367758]
36,52,[0.06367758],[0.],[0.06367758],[0.06367758]
37,58,[0.06367758],[0.],[0.06367758],[0.06367758]
38,61,[0.06370878],[0.00013598],[0.06367758],[0.06430152]
39,59,[0.06380237],[0.00024957],[0.06367758],[0.06430152]
40,62,[0.06417673],[0.00024957],[0.06367758],[0.06430152]
41,59,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
42,63,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
43,61,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
44,62,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
45,57,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
46,62,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
47,64,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
48,60,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
49,66,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
50,60,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
51,61,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
52,60,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
53,53,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
54,62,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
55,60,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
56,59,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
57,56,[0.06430152],[1.38777878e-17],[0.06430152],[0.06430152]
58,60,[0.0643046],[1.34426562e-05],[0.06430152],[0.0643632]
59,61,[0.06430769],[1.8503741e-05],[0.06430152],[0.0643632]
60,58,[0.06432002],[2.82649312e-05],[0.06430152],[0.0643632]
61,59,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
62,63,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
63,60,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
64,63,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
65,62,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
66,61,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
67,62,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
68,60,[0.0643632],[1.38777878e-17],[0.0643632],[0.0643632]
