mu,Max_fit,Gen,Hof
0.06452150308081181,79,20,"[3.9319387631333655e-05, 1.0, 0.02705055601022507, 0.014432433392744274, 0.002141633352370074, 0.29430833259283967]"
0.05454634434398468,85,21,"[0.0025100422024662197, 1.0, 0.02705055601022507, 0.014489640206807756, 0.002141633352370074, 0.28391369664284655]"
0.05524554527528913,89,22,"[0.00035846534252579563, 1.0, 0.02705055601022507, 0.014562890294193252, 0.002141633352370074, 0.28401680302503535]"
0.055749422790911135,81,23,"[0.0, 1.0, 0.02681640832366572, 0.01448921719854225, 0.002141633352370074, 0.2845687118886231]"
0.055740395963808406,75,24,"[0.0, 1.0, 0.02681640832366572, 0.014536887980204737, 0.0015470887747529372, 0.2845687118886231]"
0.05991685359985132,92,25,"[0.0, 1.0, 0.02681640832366572, 0.014536887980204737, 0.0015417479370122464, 0.2892693427539242]"
0.05578024946126819,77,26,"[0.0, 1.0, 0.02681640832366572, 0.014626829823222172, 0.002141633352370074, 0.2845687118886231]"
0.05578024946126819,78,27,"[0.0, 1.0, 0.02681640832366572, 0.014626829823222172, 0.002141633352370074, 0.2845687118886231]"
0.05547700484374037,99,28,"[0.0, 1.0, 0.025759266759853423, 0.014626829823222172, 0.002141633352370074, 0.2845687118886231]"
0.06393847954535614,99,29,"[0.0, 1.0, 0.025759266759853423, 0.014626829823222172, 0.0015087114284416754, 0.2939908607457548]"
