mutate,Max_fit,Gen,Hof
0.039850083756120425,0,0.0,"[0.0, 1.0, 0.0, 0.0008008863141877011, 0.0008008863141877011, 0.0]"
0.0632679754465859,71,0.05,"[0.00016695674984963841, 1.0, 0.027087218836716904, 0.014562890294193252, 0.0015087617676613145, 0.2929470495109792]"
0.06309682221549548,97,0.1,"[0.0008436810476977526, 1.0, 0.027087218836716904, 0.014562890294193252, 0.0015283149774219906, 0.2929470495109792]"
0.06312421697163881,96,0.15000000000000002,"[0.00073205950249887, 1.0, 0.027087218836716904, 0.014562890294193252, 0.001509787871728978, 0.2929470495109792]"
0.0632326395858703,82,0.2,"[0.00016695674984963841, 1.0, 0.026953208174775662, 0.014562890294193252, 0.0015098119168842244, 0.2929470495109792]"
0.06323782609211576,100,0.25,"[0.00016695674984963841, 1.0, 0.026970903107516667, 0.014562890294193252, 0.0015319550078629024, 0.2929470495109792]"
0.06328122948948088,96,0.30000000000000004,"[0.0, 1.0, 0.026970903107516667, 0.014562890294193252, 0.0015319550078629024, 0.2929470495109792]"
0.06328183743021934,93,0.35000000000000003,"[0.0, 1.0, 0.026970903107516667, 0.014562890294193252, 0.0015568651163416554, 0.2929470495109792]"
0.0647885753215057,100,0.4,"[0.0, 1.0, 0.02705867191647205, 0.014522000988472377, 0.0015458909238137285, 0.2945878983265156]"
0.06480907346504639,63,0.45,"[0.0, 1.0, 0.02705867191647205, 0.014626829823222172, 0.0015568651163416554, 0.2945878983265156]"
0.06478696424196081,89,0.5,"[0.0, 1.0, 0.02705867191647205, 0.01451246814487686, 0.001555124234414607, 0.2945878983265156]"
0.06494781549102559,99,0.55,"[0.0, 1.0, 0.026970903107516667, 0.01454850668313779, 0.0015568651163416554, 0.2947814221959467]"
0.06479684767059402,58,0.6000000000000001,"[2.4743765394657864e-05, 1.0, 0.02705867191647205, 0.014596254062968963, 0.0015568651163416554, 0.2945878983265156]"
0.06478744484118375,56,0.65,"[0.0, 1.0, 0.02706388730517323, 0.014597773629072785, 0.0015568651163416554, 0.2945688572145269]"
0.06481094810903718,99,0.7000000000000001,"[0.0, 1.0, 0.027087218836716904, 0.014598419744210576, 0.0015568651163416554, 0.2945878983265156]"
0.06478411919198038,97,0.75,"[0.0, 1.0, 0.027050522273679656, 0.014598419744210576, 0.0015568651163416554, 0.2945688572145269]"
0.06488799564743067,94,0.8,"[0.0, 1.0, 0.02706388730517323, 0.014598419744210576, 0.0015568651163416554, 0.2946790576576178]"
0.0648936684324786,99,0.8500000000000001,"[0.0, 1.0, 0.027087218836716904, 0.014598419744210576, 0.0015422972053880449, 0.2946790576576178]"
0.064937832287641,96,0.9,"[0.0, 1.0, 0.02705747983605385, 0.014594892340668233, 0.00154207513442599, 0.2947366766717237]"
0.06495025737127447,92,0.9500000000000001,"[6.4143648934987385e-06, 1.0, 0.027087218836716904, 0.01462742767735651, 0.0015465408257634083, 0.2947366766717237]"
