gen,nevals,avg,std,min,max
0,20,[0.03767464],[0.00112657],[0.03534322],[0.03985008]
1,0,[0.03912664],[0.00043174],[0.03847983],[0.03985008]
2,0,[0.03985008],[0.],[0.03985008],[0.03985008]
3,0,[0.03985008],[0.],[0.03985008],[0.03985008]
4,0,[0.03985008],[0.],[0.03985008],[0.03985008]
5,0,[0.03985008],[0.],[0.03985008],[0.03985008]
6,0,[0.03985008],[0.],[0.03985008],[0.03985008]
7,0,[0.03985008],[0.],[0.03985008],[0.03985008]
8,0,[0.03985008],[0.],[0.03985008],[0.03985008]
9,0,[0.03985008],[0.],[0.03985008],[0.03985008]
10,0,[0.03985008],[0.],[0.03985008],[0.03985008]
11,0,[0.03985008],[0.],[0.03985008],[0.03985008]
12,0,[0.03985008],[0.],[0.03985008],[0.03985008]
13,0,[0.03985008],[0.],[0.03985008],[0.03985008]
14,0,[0.03985008],[0.],[0.03985008],[0.03985008]
15,0,[0.03985008],[0.],[0.03985008],[0.03985008]
16,0,[0.03985008],[0.],[0.03985008],[0.03985008]
17,0,[0.03985008],[0.],[0.03985008],[0.03985008]
18,0,[0.03985008],[0.],[0.03985008],[0.03985008]
19,0,[0.03985008],[0.],[0.03985008],[0.03985008]
20,0,[0.03985008],[0.],[0.03985008],[0.03985008]
21,0,[0.03985008],[0.],[0.03985008],[0.03985008]
22,0,[0.03985008],[0.],[0.03985008],[0.03985008]
23,0,[0.03985008],[0.],[0.03985008],[0.03985008]
24,0,[0.03985008],[0.],[0.03985008],[0.03985008]
25,0,[0.03985008],[0.],[0.03985008],[0.03985008]
26,0,[0.03985008],[0.],[0.03985008],[0.03985008]
27,0,[0.03985008],[0.],[0.03985008],[0.03985008]
28,0,[0.03985008],[0.],[0.03985008],[0.03985008]
29,0,[0.03985008],[0.],[0.03985008],[0.03985008]
30,0,[0.03985008],[0.],[0.03985008],[0.03985008]
31,0,[0.03985008],[0.],[0.03985008],[0.03985008]
32,0,[0.03985008],[0.],[0.03985008],[0.03985008]
33,0,[0.03985008],[0.],[0.03985008],[0.03985008]
34,0,[0.03985008],[0.],[0.03985008],[0.03985008]
35,0,[0.03985008],[0.],[0.03985008],[0.03985008]
36,0,[0.03985008],[0.],[0.03985008],[0.03985008]
37,0,[0.03985008],[0.],[0.03985008],[0.03985008]
38,0,[0.03985008],[0.],[0.03985008],[0.03985008]
39,0,[0.03985008],[0.],[0.03985008],[0.03985008]
40,0,[0.03985008],[0.],[0.03985008],[0.03985008]
41,0,[0.03985008],[0.],[0.03985008],[0.03985008]
42,0,[0.03985008],[0.],[0.03985008],[0.03985008]
43,0,[0.03985008],[0.],[0.03985008],[0.03985008]
44,0,[0.03985008],[0.],[0.03985008],[0.03985008]
45,0,[0.03985008],[0.],[0.03985008],[0.03985008]
46,0,[0.03985008],[0.],[0.03985008],[0.03985008]
47,0,[0.03985008],[0.],[0.03985008],[0.03985008]
48,0,[0.03985008],[0.],[0.03985008],[0.03985008]
49,0,[0.03985008],[0.],[0.03985008],[0.03985008]
50,0,[0.03985008],[0.],[0.03985008],[0.03985008]
51,0,[0.03985008],[0.],[0.03985008],[0.03985008]
52,0,[0.03985008],[0.],[0.03985008],[0.03985008]
53,0,[0.03985008],[0.],[0.03985008],[0.03985008]
54,0,[0.03985008],[0.],[0.03985008],[0.03985008]
55,0,[0.03985008],[0.],[0.03985008],[0.03985008]
56,0,[0.03985008],[0.],[0.03985008],[0.03985008]
57,0,[0.03985008],[0.],[0.03985008],[0.03985008]
58,0,[0.03985008],[0.],[0.03985008],[0.03985008]
59,0,[0.03985008],[0.],[0.03985008],[0.03985008]
60,0,[0.03985008],[0.],[0.03985008],[0.03985008]
61,0,[0.03985008],[0.],[0.03985008],[0.03985008]
62,0,[0.03985008],[0.],[0.03985008],[0.03985008]
63,0,[0.03985008],[0.],[0.03985008],[0.03985008]
64,0,[0.03985008],[0.],[0.03985008],[0.03985008]
65,0,[0.03985008],[0.],[0.03985008],[0.03985008]
66,0,[0.03985008],[0.],[0.03985008],[0.03985008]
67,0,[0.03985008],[0.],[0.03985008],[0.03985008]
68,0,[0.03985008],[0.],[0.03985008],[0.03985008]
69,0,[0.03985008],[0.],[0.03985008],[0.03985008]
70,0,[0.03985008],[0.],[0.03985008],[0.03985008]
71,0,[0.03985008],[0.],[0.03985008],[0.03985008]
72,0,[0.03985008],[0.],[0.03985008],[0.03985008]
73,0,[0.03985008],[0.],[0.03985008],[0.03985008]
74,0,[0.03985008],[0.],[0.03985008],[0.03985008]
75,0,[0.03985008],[0.],[0.03985008],[0.03985008]
76,0,[0.03985008],[0.],[0.03985008],[0.03985008]
77,0,[0.03985008],[0.],[0.03985008],[0.03985008]
78,0,[0.03985008],[0.],[0.03985008],[0.03985008]
79,0,[0.03985008],[0.],[0.03985008],[0.03985008]
80,0,[0.03985008],[0.],[0.03985008],[0.03985008]
81,0,[0.03985008],[0.],[0.03985008],[0.03985008]
82,0,[0.03985008],[0.],[0.03985008],[0.03985008]
