gen,nevals,avg,std,min,max
0,50,[0.03916647],[0.00454816],[0.03489124],[0.06482671]
1,59,[0.04204714],[0.00705023],[0.03873268],[0.06639277]
2,54,[0.04752837],[0.00936443],[0.03928791],[0.06639277]
3,63,[0.05844567],[0.00512381],[0.05388519],[0.06670478]
4,56,[0.06289133],[0.0037161],[0.05458909],[0.06670478]
5,63,[0.06580485],[0.00142765],[0.06263329],[0.0719046]
6,60,[0.06684316],[0.00102133],[0.06648737],[0.0719046]
7,54,[0.06699954],[0.00122792],[0.066647],[0.0719046]
8,64,[0.06753347],[0.00189898],[0.06670478],[0.07197796]
9,60,[0.06857729],[0.00249693],[0.06670478],[0.07197796]
10,62,[0.07086149],[0.00207904],[0.06670478],[0.07197796]
11,57,[0.07195698],[5.7519381e-05],[0.0719046],[0.07231344]
12,57,[0.07200792],[0.0001675],[0.07197796],[0.07313342]
13,58,[0.07208764],[0.00031674],[0.07197796],[0.07313342]
14,59,[0.07235007],[0.000518],[0.07197796],[0.07313342]
15,63,[0.07290714],[0.00037739],[0.07203876],[0.07313342]
16,65,[0.07316436],[8.66204189e-05],[0.07313342],[0.07351605]
17,55,[0.0732156],[0.00012403],[0.07313342],[0.07351605]
18,62,[0.07330348],[0.00012758],[0.07313342],[0.07351605]
19,57,[0.07344412],[8.27002562e-05],[0.07333065],[0.07351605]
20,54,[0.07351605],[1.38777878e-17],[0.07351605],[0.07351605]
21,62,[0.07352228],[4.36061715e-05],[0.07351605],[0.07382752]
22,62,[0.07352851],[6.10359256e-05],[0.07351605],[0.07382752]
23,55,[0.07356588],[0.00011419],[0.07351605],[0.07382752]
24,57,[0.07368767],[0.00015337],[0.07351605],[0.07382752]
25,49,[0.07382752],[0.],[0.07382752],[0.07382752]
26,58,[0.07382752],[0.],[0.07382752],[0.07382752]
27,55,[0.07382752],[0.],[0.07382752],[0.07382752]
28,58,[0.07382752],[0.],[0.07382752],[0.07382752]
29,64,[0.07382752],[0.],[0.07382752],[0.07382752]
30,61,[0.07382752],[0.],[0.07382752],[0.07382752]
31,56,[0.07382752],[0.],[0.07382752],[0.07382752]
32,58,[0.07382752],[0.],[0.07382752],[0.07382752]
33,56,[0.07382752],[0.],[0.07382752],[0.07382752]
34,57,[0.07382752],[0.],[0.07382752],[0.07382752]
35,68,[0.07382752],[0.],[0.07382752],[0.07382752]
36,60,[0.07382752],[0.],[0.07382752],[0.07382752]
37,57,[0.07382752],[0.],[0.07382752],[0.07382752]
38,56,[0.07382752],[0.],[0.07382752],[0.07382752]
39,57,[0.07382752],[0.],[0.07382752],[0.07382752]
40,66,[0.07382752],[0.],[0.07382752],[0.07382752]
41,61,[0.07382752],[0.],[0.07382752],[0.07382752]
42,57,[0.07382752],[0.],[0.07382752],[0.07382752]
43,64,[0.07382752],[0.],[0.07382752],[0.07382752]
44,59,[0.07382769],[1.17871513e-06],[0.07382752],[0.07383594]
45,58,[0.07389238],[0.0004516],[0.07382752],[0.07705358]
46,60,[0.07408611],[0.00087506],[0.07382752],[0.07705358]
