gen,nevals,avg,std,min,max
0,50,[0.03828178],[0.00274377],[0.03486066],[0.05545415]
1,60,[0.04015904],[0.00421385],[0.0387493],[0.05924349]
2,61,[0.04126507],[0.005506],[0.03917296],[0.05924349]
3,59,[0.04432218],[0.00773657],[0.03956806],[0.05924349]
4,57,[0.05097427],[0.00874671],[0.03991061],[0.05924349]
5,61,[0.05888891],[0.00055177],[0.05750613],[0.05924349]
6,63,[0.0592373],[4.98558028e-06],[0.05922856],[0.05924349]
7,62,[0.05924264],[2.07595377e-06],[0.05923627],[0.05924349]
8,61,[0.05924349],[6.9388939e-18],[0.05924349],[0.05924349]
9,65,[0.05925556],[8.45196223e-05],[0.05924349],[0.0598472]
10,64,[0.05929365],[0.00016523],[0.05924349],[0.05986995]
11,54,[0.05930714],[0.00018208],[0.05924349],[0.05986995]
12,61,[0.05943112],[0.00027791],[0.05924349],[0.05986995]
13,59,[0.05971392],[0.00024856],[0.05924349],[0.05986995]
14,63,[0.05985721],[1.12913593e-05],[0.0598472],[0.05986995]
15,62,[0.05986995],[0.],[0.05986995],[0.05986995]
16,58,[0.05986995],[0.],[0.05986995],[0.05986995]
17,61,[0.05986996],[6.59948275e-08],[0.05986995],[0.05987042]
18,59,[0.05987369],[2.58683057e-05],[0.05986995],[0.06005477]
19,64,[0.05988117],[4.38592221e-05],[0.05986995],[0.06005477]
20,58,[0.05991525],[0.00010459],[0.05986995],[0.06045492]
21,59,[0.05999399],[0.00014684],[0.05987042],[0.06045538]
22,62,[0.06012593],[0.00016592],[0.06005477],[0.06063243]
23,61,[0.06023975],[0.00023278],[0.06005477],[0.06063243]
24,58,[0.06049406],[0.00015454],[0.06005477],[0.06063243]
25,59,[0.06060764],[6.14348987e-05],[0.06045538],[0.06063243]
26,59,[0.06063243],[0.],[0.06063243],[0.06063243]
27,56,[0.06063243],[0.],[0.06063243],[0.06063243]
28,67,[0.06079226],[0.00111884],[0.06063243],[0.06862413]
29,57,[0.06093745],[0.00149605],[0.06063243],[0.06862413]
30,65,[0.06157679],[0.00255906],[0.06063243],[0.06862413]
31,60,[0.06300065],[0.00362005],[0.06063243],[0.06862413]
32,59,[0.06647872],[0.00345932],[0.06063243],[0.06862413]
33,63,[0.06862413],[0.],[0.06862413],[0.06862413]
34,56,[0.06864703],[0.0001603],[0.06862413],[0.06976914]
35,56,[0.06864703],[0.0001603],[0.06862413],[0.06976914]
36,59,[0.06864703],[0.0001603],[0.06862413],[0.06976914]
37,58,[0.06873863],[0.0003435],[0.06862413],[0.06976914]
38,60,[0.06895143],[0.0005117],[0.06862413],[0.06976914]
39,57,[0.06939323],[0.0005268],[0.06862413],[0.06976914]
40,57,[0.06976914],[0.],[0.06976914],[0.06976914]
41,56,[0.06976914],[0.],[0.06976914],[0.06976914]
