gen,nevals,avg,min,max
0,84,-776.5952380952381,-1000.0,175.0
1,67,-147.98809523809524,-1000.0,175.0
2,66,132.47619047619048,-1000.0,175.0
3,65,146.89285714285714,-1000.0,175.0
4,63,174.85714285714286,172.0,175.0
5,59,174.78571428571428,167.0,175.0
6,64,174.96428571428572,173.0,175.0
7,69,160.95238095238096,-1000.0,175.0
8,67,174.9404761904762,173.0,175.0
9,59,175.0,175.0,175.0
10,67,174.9404761904762,171.0,175.0
11,63,174.96428571428572,173.0,175.0
12,61,160.95238095238096,-1000.0,175.0
13,67,174.96428571428572,173.0,175.0
14,54,174.97619047619048,174.0,175.0
15,70,174.97619047619048,173.0,175.0
16,65,160.98809523809524,-1000.0,175.0
17,63,160.97619047619048,-1000.0,175.0
18,59,174.91666666666666,172.0,175.0
19,65,174.98809523809524,174.0,175.0
20,64,174.97619047619048,173.0,175.0
21,60,174.98809523809524,174.0,175.0
22,60,174.98809523809524,174.0,175.0
23,56,175.0,175.0,175.0
24,66,174.97619047619048,174.0,175.0
25,59,161.01190476190476,-1000.0,175.0
26,62,175.0,175.0,175.0
27,65,175.0,175.0,175.0
28,67,174.97619047619048,173.0,175.0
29,63,175.0,175.0,175.0
30,61,174.96428571428572,172.0,175.0
31,60,175.0,175.0,175.0
32,64,161.01190476190476,-1000.0,175.0
33,61,174.97619047619048,173.0,175.0
34,60,174.97619047619048,174.0,175.0
35,61,175.0,175.0,175.0
36,69,175.0,175.0,175.0
37,62,175.0,175.0,175.0
38,56,174.97619047619048,173.0,175.0
39,65,174.96428571428572,173.0,175.0
40,65,174.97619047619048,174.0,175.0
41,67,175.0,175.0,175.0
42,64,175.0,175.0,175.0
43,62,174.98809523809524,174.0,175.0
44,63,175.0,175.0,175.0
45,62,174.98809523809524,174.0,175.0
46,64,175.0,175.0,175.0
47,64,175.0,175.0,175.0
48,56,174.98809523809524,174.0,175.0
49,64,160.98809523809524,-1000.0,175.0
50,61,175.0,175.0,175.0
51,54,175.0,175.0,175.0
52,62,175.0,175.0,175.0
53,64,175.0,175.0,175.0
54,52,174.98809523809524,174.0,175.0
55,73,175.0,175.0,175.0
56,66,175.0,175.0,175.0
57,61,174.98809523809524,174.0,175.0
58,70,175.0,175.0,175.0
59,61,175.0,175.0,175.0
60,56,175.0,175.0,175.0
,,,,
