gen,nevals,avg,min,max
0,90,-583.0555555555555,-1000.0,175.0
1,68,4.166666666666667,-1000.0,175.0
2,68,122.54444444444445,-1000.0,175.0
3,75,31.122222222222224,-1000.0,175.0
4,74,148.7111111111111,-1000.0,175.0
5,76,122.58888888888889,-1000.0,175.0
6,85,109.61111111111111,-1000.0,175.0
7,75,135.6,-1000.0,175.0
8,79,161.83333333333334,-1000.0,175.0
9,78,135.73333333333332,-1000.0,175.0
10,73,161.85555555555555,-1000.0,175.0
11,67,148.73333333333332,-1000.0,175.0
12,75,122.56666666666666,-1000.0,175.0
13,78,161.74444444444444,-1000.0,175.0
14,77,109.61111111111111,-1000.0,175.0
15,77,135.73333333333332,-1000.0,175.0
16,70,148.8,-1000.0,175.0
17,80,109.62222222222222,-1000.0,175.0
18,62,135.77777777777777,-1000.0,175.0
19,61,174.95555555555555,174.0,175.0
20,70,148.84444444444443,-1000.0,175.0
21,72,122.74444444444444,-1000.0,175.0
22,69,174.85555555555555,173.0,175.0
23,70,148.86666666666667,-1000.0,175.0
24,74,161.9111111111111,-1000.0,175.0
25,63,135.82222222222222,-1000.0,175.0
26,72,174.9111111111111,171.0,175.0
27,64,148.8111111111111,-1000.0,175.0
28,74,148.84444444444443,-1000.0,175.0
29,83,122.75555555555556,-1000.0,175.0
30,76,174.95555555555555,174.0,175.0
31,77,135.7888888888889,-1000.0,175.0
32,74,135.73333333333332,-1000.0,175.0
33,74,122.67777777777778,-1000.0,175.0
34,76,122.74444444444444,-1000.0,175.0
35,74,135.8111111111111,-1000.0,175.0
36,60,174.9777777777778,174.0,175.0
37,67,122.74444444444444,-1000.0,175.0
38,67,161.94444444444446,-1000.0,175.0
39,77,148.84444444444443,-1000.0,175.0
40,66,148.84444444444443,-1000.0,175.0
41,71,135.8111111111111,-1000.0,175.0
42,78,161.84444444444443,-1000.0,175.0
43,69,161.9111111111111,-1000.0,175.0
44,68,148.8111111111111,-1000.0,175.0
45,73,148.84444444444443,-1000.0,175.0
46,72,148.88888888888889,-1000.0,175.0
47,73,135.8111111111111,-1000.0,175.0
48,73,148.77777777777777,-1000.0,175.0
49,69,148.72222222222223,-1000.0,175.0
50,72,109.71111111111111,-1000.0,175.0
51,64,148.88888888888889,-1000.0,175.0
52,71,148.86666666666667,-1000.0,175.0
53,79,161.93333333333334,-1000.0,175.0
54,76,161.93333333333334,-1000.0,175.0
55,83,161.94444444444446,-1000.0,175.0
56,68,161.9,-1000.0,175.0
57,74,135.82222222222222,-1000.0,175.0
58,71,148.86666666666667,-1000.0,175.0
59,72,161.94444444444446,-1000.0,175.0
60,74,161.9,-1000.0,175.0
,,,,
gen,nevals,avg,min,max
0,90,-635.0777777777778,-1000.0,174.0
1,76,-61.144444444444446,-1000.0,175.0
2,67,147.92222222222222,-1000.0,175.0
3,73,95.93333333333334,-1000.0,175.0
4,74,57.36666666666667,-1000.0,175.0
5,80,83.37777777777778,-1000.0,175.0
6,72,83.43333333333334,-1000.0,175.0
7,82,109.55555555555556,-1000.0,175.0
8,79,122.62222222222222,-1000.0,175.0
9,64,122.7,-1000.0,175.0
10,72,135.67777777777778,-1000.0,175.0
