optimal,Avg_max_fit,Gen,Dataset,CosDist,Hof
0,121.0,10,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7509708774541238,"addOneAll(div(concatenate(concatenate(if_then_else(subOneAll([4]), addOneAll([2]), add([3], [6]), repeat([2])), if_then_else(repeat([7]), subOneAll([7]), add([2], [7]), mul([13], [3]))), add(sub(concatenate([4], [1]), addOneAll([5])), concatenate(sub([6], [5]), subOneAll([10])))), div(if_then_else(if_then_else(add([6], [9]), if_then_else([1], [3], [8], [1]), addOneAll([6]), mul([6], [2])), if_then_else(concatenate([13], [13]), sub([5], [10]), sub([9], [2]), mul([8], [1])), if_then_else(div([6], [2]), if_then_else([12], [4], [3], [12]), div([7], [4]), repeat([6])), mul(addOneAll([12]), subOneAll([9]))), div(div(repeat([6]), mul([5], [9])), add(sub([11], [6]), addOneAll([12]))))))","[4, 3, 3, 8, 8, 2, 5, 6]"
925,121.0,10,"[1, 2, 1, 9, 2]",0.8428651597363228,"subOneAll(repeat(concatenate(concatenate(div([5], [1]), addOneAll(div(repeat(repeat([10])), mul(concatenate([10], div(sub(add(div(if_then_else([4], [9], [9], [12]), subOneAll([2])), concatenate(subOneAll([13]), add([2], [8]))), div(div(concatenate([10], [13]), mul([2], [7])), addOneAll(sub([13], [11])))), addOneAll(addOneAll(add(if_then_else([9], [10], [4], [2]), addOneAll([2])))))), concatenate([7], [10]))))), addOneAll(sub([3], [7])))))","[5, 10, 10, 10, 2, 10, 5, 10, 10, 10, 2, 10]"
1732,121.0,14,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7106543066977528,"repeat(concatenate(subOneAll([4]), concatenate(addOneAll([2]), subOneAll([5]))))","[3, 3, 4, 3, 3, 4]"
2883,121.0,27,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.758878588914794,"repeat(repeat(concatenate(subOneAll(concatenate([11], [5])), concatenate(addOneAll([10]), concatenate([3], [13])))))","[10, 4, 11, 3, 13, 10, 4, 11, 3, 13, 10, 4, 11, 3, 13, 10, 4, 11, 3, 13]"
5026,121.0,10,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7982633538035178,"subOneAll(if_then_else(div(div(concatenate(addOneAll([3]), add([3], [1])), addOneAll(concatenate([5], [7]))), mul(addOneAll(subOneAll([8])), addOneAll(concatenate([10], [4])))), if_then_else(addOneAll(repeat(sub([6], [13]))), div(subOneAll(subOneAll([3])), concatenate(add([5], [10]), addOneAll([5]))), add(repeat(subOneAll([3])), sub(subOneAll([6]), add([4], [13]))), mul(repeat(mul([9], [3])), if_then_else(if_then_else([3], [5], [12], [10]), subOneAll([13]), concatenate([3], [9]), if_then_else([2], [6], [4], [5])))), if_then_else(subOneAll(concatenate(mul([3], [4]), addOneAll([4]))), div(addOneAll(addOneAll([10])), subOneAll(concatenate([1], [5]))), div(addOneAll(sub([7], [8])), mul(mul([8], [4]), mul([8], [10]))), addOneAll(repeat(concatenate([6], [5])))), subOneAll(concatenate(mul(div([4], [1]), repeat([11])), sub(sub([3], [12]), mul([13], [4]))))))","[3, 13, 11, 3, 6, 5, 6, 5]"
5952,121.0,25,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.764064601802291,"if_then_else(if_then_else(mul(sub(subOneAll(mul([2], [8])), concatenate(addOneAll([7]), addOneAll([12]))), mul(add(addOneAll([5]), addOneAll([13])), sub(add([1], [9]), sub([2], [5])))), repeat(mul(addOneAll(concatenate([11], [6])), mul(repeat([9]), if_then_else([9], [1], [1], [1])))), repeat(mul(if_then_else(repeat([3]), addOneAll([4]), concatenate([3], [9]), div([13], [12])), if_then_else(concatenate([10], [5]), subOneAll([13]), sub([1], [4]), if_then_else([13], [4], [5], [12])))), add(mul(if_then_else(concatenate([11], [4]), mul([13], [7]), subOneAll(concatenate(add(mul(add(mul(mul([4], [13]), add([4], [4])), addOneAll(subOneAll([6]))), add(repeat(mul([8], [10])), repeat(subOneAll([3])))), concatenate(subOneAll(subOneAll(add([6], [8]))), div(mul(if_then_else([1], [8], [7], [4]), addOneAll([8])), subOneAll(if_then_else([10], [6], [9], [10]))))), repeat(concatenate(div(if_then_else(sub([4], [5]), sub([12], [1]), mul([13], [4]), mul([4], [6])), mul(subOneAll([12]), mul([5], [12]))), mul(sub(addOneAll([12]), repeat([5])), mul(mul([4], [10]), addOneAll([8]))))))), subOneAll([5])), sub(repeat([2]), sub([10], [1]))), repeat(sub(concatenate([9], [9]), subOneAll([1]))))), div(sub(repeat(repeat(subOneAll([13]))), add(add(repeat([11]), sub([1], [5])), addOneAll(mul([7], [13])))), sub(if_then_else(add(if_then_else([11], [3], [3], [4]), if_then_else([2], [12], [5], [4])), mul(div([1], [5]), concatenate([7], [9])), sub(addOneAll([5]), sub([4], [9])), sub(if_then_else([5], [12], [6], [6]), addOneAll([5]))), add(mul(if_then_else([9], [8], [6], [5]), if_then_else([4], [12], [9], [8])), addOneAll(concatenate([12], [1]))))), addOneAll(if_then_else(subOneAll(repeat(if_then_else([8], [3], [11], [7]))), concatenate(div(add([5], [6]), addOneAll([3])), addOneAll(if_then_else([7], [5], [13], [11]))), repeat(add(subOneAll([4]), repeat([6]))), mul(add(if_then_else([7], [10], [10], [2]), add([3], [8])), sub(add([6], [10]), mul([12], [13]))))), subOneAll(div(mul(repeat(mul([5], [3])), mul(addOneAll([7]), addOneAll([3]))), addOneAll(addOneAll(repeat([10]))))))","[4, 3, 3, 3, 13, 3, 3, 3, 13, 2, 13]"
7170,121.0,17,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7747446832665167,"concatenate(repeat(concatenate(subOneAll(if_then_else([13], [7], [1], [5])), add(repeat([12]), concatenate([4], [3])))), div(sub(add(add([11], [7]), sub([12], [3])), subOneAll(concatenate([8], [10]))), sub(addOneAll(mul([11], [9])), add(if_then_else([9], [2], [11], [13]), repeat([6])))))","[12, 4, 12, 4, 12, 4, 12, 4, 6]"
8639,121.0,13,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.777353186802118,"repeat(subOneAll(concatenate(repeat(repeat(mul([10], [12]))), div(addOneAll(if_then_else(add(add([6], [3]), div([6], [9])), concatenate(concatenate([13], [12]), concatenate([12], [3])), concatenate(sub([4], [12]), addOneAll([4])), subOneAll(div([7], [10])))), repeat(subOneAll(if_then_else(repeat([10]), add([10], [6]), concatenate([7], [2]), concatenate([2], [5]))))))))","[3, 3, 3, 3, 12, 6, 13, 3, 3, 3, 3, 12, 6, 13]"
9783,121.0,23,"[1, 2, 1, 9, 2]",0.7989924369481576,"subOneAll(addOneAll(concatenate(mul(mul(addOneAll([5]), [12]), add(if_then_else([2], [1], [13], [13]), concatenate([4], [13]))), concatenate(concatenate(addOneAll([9]), concatenate([8], [12])), if_then_else(add([4], [12]), sub([1], [5]), if_then_else([2], [6], [8], [12]), addOneAll([4]))))))","[4, 10, 8, 12, 4, 2, 8]"
10658,121.0,10,"[9, 9, 9, 9, 9, 9, 9, 9, 7, 7, 7, 3, 5, 11, 4, 1, 3, 12, 4, 2]",0.7613019811853343,"if_then_else(sub(repeat(subOneAll(concatenate([4], [7]))), addOneAll(mul(concatenate([13], [4]), concatenate([2], [12])))), subOneAll(add(if_then_else(if_then_else([6], [1], [1], [11]), subOneAll([11]), subOneAll([12]), concatenate([10], [5])), add(div([5], [10]), repeat([13])))), mul(addOneAll(add(repeat([4]), concatenate([2], [1]))), div(div(add([3], [8]), concatenate([9], [5])), add(add([4], [4]), if_then_else([5], [6], [6], [7])))), sub(sub(add(if_then_else([2], [8], [1], [6]), repeat([13])), sub(div([13], [5]), subOneAll([6]))), div(add(subOneAll([3]), subOneAll([4])), repeat(sub([4], [10])))))","[3, 6, 3, 6, 2, 4]"
