gen,nevals,avg,min,max
0,80,802.175,8.0,1000.0
1,8,257.6125,8.0,1000.0
2,4,21.1125,8.0,1000.0
3,4,8.0625,8.0,9.0
4,4,8.1375,8.0,19.0
5,4,8.0375,8.0,10.0
6,2,8.0125,8.0,9.0
7,5,8.0625,8.0,12.0
8,6,8.1125,7.0,18.0
9,2,7.9375,7.0,8.0
10,6,7.7125,7.0,19.0
11,5,7.0,7.0,7.0
12,0,7.0,7.0,7.0
13,7,7.0125,7.0,8.0
14,5,7.0125,7.0,8.0
15,4,7.0625,7.0,12.0
16,2,7.0,7.0,7.0
17,1,7.0,7.0,7.0
18,8,7.05,7.0,11.0
19,7,7.0,7.0,7.0
20,8,7.025,7.0,9.0
21,2,7.0,7.0,7.0
22,4,7.025,7.0,9.0
23,2,7.0,7.0,7.0
24,4,7.0125,7.0,8.0
25,6,7.025,7.0,9.0
26,1,7.0,7.0,7.0
27,8,7.0,7.0,7.0
28,2,7.0,7.0,7.0
29,8,7.0,7.0,7.0
30,3,7.0,7.0,7.0
31,8,7.0,7.0,7.0
32,3,7.0,7.0,7.0
33,3,7.025,7.0,9.0
34,2,7.0,7.0,7.0
35,3,7.0,7.0,7.0
36,3,7.0,7.0,7.0
37,3,7.0125,7.0,8.0
38,2,7.025,7.0,9.0
39,6,7.0,7.0,7.0
40,4,7.0,7.0,7.0
41,1,19.4125,7.0,1000.0
42,1,7.0,7.0,7.0
43,4,7.0125,7.0,8.0
44,4,7.025,7.0,9.0
45,1,7.0,7.0,7.0
46,5,7.0,7.0,7.0
47,1,7.0,7.0,7.0
48,3,7.0125,7.0,8.0
49,6,7.025,7.0,8.0
50,4,7.0,7.0,7.0
51,5,7.05,7.0,11.0
52,6,7.1,7.0,15.0
53,3,7.0,7.0,7.0
54,4,7.0125,7.0,8.0
55,5,7.2625,7.0,25.0
56,5,7.0,7.0,7.0
57,5,7.0,7.0,7.0
58,3,7.0125,7.0,8.0
59,5,7.0125,7.0,8.0
60,4,7.0125,7.0,8.0
,,,,
gen,nevals,avg,min,max
