gen,nevals,avg,min,max
0,80,678.1,7.0,1000.0
1,60,82.925,6.0,1000.0
2,72,69.7125,6.0,1000.0
3,62,56.95,6.0,1000.0
4,68,68.475,6.0,1000.0
5,68,43.375,6.0,1000.0
6,66,6.1625,6.0,10.0
7,56,6.0625,6.0,8.0
8,64,43.375,6.0,1000.0
9,74,18.525,6.0,1000.0
10,74,6.2375,6.0,10.0
11,70,18.575,6.0,1000.0
12,67,18.5875,6.0,1000.0
13,67,30.925,6.0,1000.0
14,60,18.5875,6.0,1000.0
15,62,18.4875,6.0,1000.0
16,63,18.4875,6.0,1000.0
17,45,18.475,6.0,1000.0
18,74,30.9375,6.0,1000.0
19,60,30.9375,6.0,1000.0
20,69,18.55,6.0,1000.0
21,61,18.7875,6.0,1000.0
22,68,6.3,6.0,23.0
23,67,18.6375,6.0,1000.0
24,61,18.4375,6.0,1000.0
25,69,30.8875,6.0,1000.0
26,62,18.4875,6.0,1000.0
27,58,6.1125,6.0,10.0
28,63,18.4625,6.0,1000.0
29,59,6.1,6.0,9.0
30,67,18.5125,6.0,1000.0
31,70,6.0375,6.0,7.0
32,68,18.475,6.0,1000.0
33,70,6.325,6.0,31.0
34,65,6.1,6.0,11.0
35,63,6.0625,6.0,10.0
36,61,6.025,6.0,8.0
37,57,30.875,6.0,1000.0
38,64,6.1375,6.0,9.0
39,68,18.45,6.0,1000.0
40,63,6.05,6.0,8.0
41,55,18.425,6.0,1000.0
42,65,6.05,6.0,9.0
43,72,6.025,6.0,7.0
44,68,6.0125,6.0,7.0
45,67,6.0,6.0,6.0
46,70,6.225,6.0,20.0
47,62,6.025,6.0,7.0
48,59,18.45,6.0,1000.0
49,72,6.1,6.0,10.0
50,60,18.475,6.0,1000.0
51,68,6.025,6.0,7.0
52,66,31.025,6.0,1000.0
53,63,18.4375,6.0,1000.0
54,63,6.025,6.0,8.0
55,52,6.0125,6.0,7.0
56,60,6.0,6.0,6.0
57,65,6.0,6.0,6.0
58,66,6.025,6.0,8.0
59,70,6.05,6.0,9.0
60,64,18.625,6.0,1000.0
,,,,
gen,nevals,avg,min,max
0,81,792.3827160493827,6.0,1000.0
1,62,131.60493827160494,6.0,1000.0
2,68,43.71604938271605,6.0,1000.0
3,62,30.814814814814813,6.0,1000.0
4,60,43.148148148148145,6.0,1000.0
5,66,18.641975308641975,6.0,1000.0
6,68,6.37037037037037,6.0,10.0
7,63,55.41975308641975,6.0,1000.0
8,55,6.098765432098766,6.0,11.0
9,67,43.03703703703704,6.0,1000.0
10,65,18.54320987654321,6.0,1000.0
11,67,18.567901234567902,6.0,1000.0
12,68,55.44444444444444,6.0,1000.0
13,66,55.32098765432099,6.0,1000.0
14,58,30.901234567901234,6.0,1000.0
15,64,42.96296296296296,6.0,1000.0
16,62,18.432098765432098,6.0,1000.0
17,68,55.24691358024691,6.0,1000.0
18,60,6.345679012345679,6.0,18.0
19,59,18.555555555555557,6.0,1000.0
20,66,18.54320987654321,6.0,1000.0
21,73,18.679012345679013,6.0,1000.0
22,65,43.382716049382715,6.0,1000.0
23,68,6.432098765432099,6.0,18.0
24,70,30.74074074074074,6.0,1000.0
25,60,6.160493827160494,6.0,10.0
26,60,30.71604938271605,6.0,1000.0
27,71,18.48148148148148,6.0,1000.0
28,64,18.34567901234568,6.0,1000.0
29,73,18.506172839506174,6.0,1000.0
30,64,30.728395061728396,6.0,1000.0
31,66,30.641975308641975,6.0,1000.0
32,60,6.061728395061729,6.0,10.0
33,66,18.48148148148148,6.0,1000.0
34,64,6.209876543209877,6.0,11.0
35,65,18.40740740740741,6.0,1000.0
36,74,18.419753086419753,6.0,1000.0
37,67,30.666666666666668,6.0,1000.0
38,62,6.037037037037037,6.0,9.0
39,69,30.679012345679013,6.0,1000.0
40,72,30.641975308641975,6.0,1000.0
41,62,30.62962962962963,6.0,1000.0
42,70,55.2962962962963,6.0,1000.0
43,64,6.061728395061729,6.0,9.0
44,68,6.012345679012346,6.0,7.0
45,64,18.555555555555557,6.0,1000.0
46,60,18.308641975308642,6.0,1000.0
47,61,18.432098765432098,6.0,1000.0
48,71,6.012345679012346,6.0,7.0
49,72,18.37037037037037,6.0,1000.0
50,68,18.271604938271604,6.0,1000.0
51,69,6.074074074074074,6.0,9.0
52,66,18.296296296296298,6.0,1000.0
53,62,18.271604938271604,6.0,1000.0
54,66,6.111111111111111,6.0,9.0
55,61,30.71604938271605,6.0,1000.0
56,66,6.0,6.0,6.0
57,69,6.012345679012346,6.0,7.0
58,66,6.135802469135802,6.0,10.0
59,69,6.0246913580246915,6.0,8.0
60,68,6.160493827160494,6.0,16.0
,,,,
gen,nevals,avg,min,max
0,82,758.5731707317074,7.0,1000.0
1,53,239.9512195121951,7.0,1000.0
2,64,68.29268292682927,7.0,1000.0
3,64,31.634146341463413,6.0,1000.0
4,60,31.4390243902439,6.0,1000.0
5,59,67.52439024390245,6.0,1000.0
6,66,151.79268292682926,6.0,1000.0
7,57,66.7439024390244,6.0,1000.0
8,62,54.78048780487805,6.0,1000.0
9,74,66.85365853658537,6.0,1000.0
10,62,115.35365853658537,6.0,1000.0
11,62,103.15853658536585,6.0,1000.0
12,65,30.524390243902438,6.0,1000.0
13,74,79.13414634146342,6.0,1000.0
14,60,115.20731707317073,6.0,1000.0
15,63,66.79268292682927,6.0,1000.0
16,68,115.23170731707317,6.0,1000.0
17,70,78.89024390243902,6.0,1000.0
18,66,54.609756097560975,6.0,1000.0
19,70,42.68292682926829,6.0,1000.0
20,70,54.646341463414636,6.0,1000.0
21,70,91.34146341463415,6.0,1000.0
22,64,18.29268292682927,6.0,1000.0
23,69,66.71951219512195,6.0,1000.0
24,55,66.7560975609756,6.0,1000.0
25,70,54.670731707317074,6.0,1000.0
26,70,66.70731707317073,6.0,1000.0
27,64,30.573170731707318,6.0,1000.0
28,61,42.609756097560975,6.0,1000.0
29,58,54.69512195121951,6.0,1000.0
30,58,18.21951219512195,6.0,1000.0
31,59,54.53658536585366,6.0,1000.0
32,64,78.8780487804878,6.0,1000.0
33,65,18.21951219512195,6.0,1000.0
34,67,30.317073170731707,6.0,1000.0
35,62,30.414634146341463,6.0,1000.0
36,62,30.304878048780488,6.0,1000.0
37,66,54.59756097560975,6.0,1000.0
38,59,18.182926829268293,6.0,1000.0
39,69,6.134146341463414,6.0,10.0
40,65,30.29268292682927,6.0,1000.0
41,64,18.25609756097561,6.0,1000.0
42,74,54.58536585365854,6.0,1000.0
43,64,54.829268292682926,6.0,1000.0
44,69,18.26829268292683,6.0,1000.0
45,60,6.048780487804878,6.0,7.0
46,66,42.46341463414634,6.0,1000.0
47,66,6.097560975609756,6.0,8.0
48,65,18.158536585365855,6.0,1000.0
49,61,18.134146341463413,6.0,1000.0
50,70,30.329268292682926,6.0,1000.0
51,72,6.060975609756097,6.0,8.0
52,71,30.24390243902439,6.0,1000.0
53,64,18.158536585365855,6.0,1000.0
54,72,18.146341463414632,6.0,1000.0
55,72,18.195121951219512,6.0,1000.0
56,75,6.060975609756097,6.0,8.0
57,60,6.0,6.0,6.0
58,73,6.012195121951219,6.0,7.0
59,64,6.0,6.0,6.0
60,58,6.048780487804878,6.0,8.0
,,,,
gen,nevals,avg,min,max
0,83,677.9277108433735,7.0,1000.0
1,70,104.67469879518072,7.0,1000.0
2,68,43.63855421686747,7.0,1000.0
3,73,55.12048192771084,6.0,1000.0
4,61,18.927710843373493,6.0,1000.0
5,64,6.433734939759036,6.0,8.0
6,61,18.012048192771083,6.0,1000.0
7,61,18.10843373493976,6.0,1000.0
8,70,18.216867469879517,6.0,1000.0
9,71,6.156626506024097,6.0,9.0
10,66,18.216867469879517,6.0,1000.0
11,62,18.120481927710845,6.0,1000.0
12,71,30.048192771084338,6.0,1000.0
13,64,6.192771084337349,6.0,10.0
14,66,18.253012048192772,6.0,1000.0
15,64,18.072289156626507,6.0,1000.0
16,58,6.168674698795181,6.0,8.0
17,68,6.0843373493975905,6.0,8.0
18,66,18.204819277108435,6.0,1000.0
19,68,18.180722891566266,6.0,1000.0
20,61,6.289156626506024,6.0,13.0
21,70,18.265060240963855,6.0,1000.0
22,63,18.265060240963855,6.0,1000.0
23,71,18.19277108433735,6.0,1000.0
24,64,18.072289156626507,6.0,1000.0
25,74,18.180722891566266,6.0,1000.0
26,67,6.108433734939759,6.0,10.0
27,67,6.289156626506024,6.0,21.0
28,58,30.14457831325301,6.0,1000.0
29,64,18.240963855421686,6.0,1000.0
30,64,6.204819277108434,6.0,13.0
31,64,6.0602409638554215,6.0,9.0
32,72,42.04819277108434,6.0,1000.0
33,74,18.048192771084338,6.0,1000.0
34,70,6.180722891566265,6.0,9.0
35,64,6.0120481927710845,6.0,7.0
36,71,18.14457831325301,6.0,1000.0
37,66,6.373493975903615,6.0,35.0
38,71,6.156626506024097,6.0,11.0
39,65,6.120481927710843,6.0,8.0
40,68,6.120481927710843,6.0,12.0
41,66,6.192771084337349,6.0,12.0
42,72,17.987951807228917,6.0,1000.0
43,64,6.0,6.0,6.0
44,63,6.024096385542169,6.0,7.0
45,60,18.06024096385542,6.0,1000.0
46,66,6.240963855421687,6.0,19.0
47,75,6.048192771084337,6.0,7.0
48,68,6.301204819277109,6.0,18.0
49,65,6.024096385542169,6.0,7.0
50,70,6.024096385542169,6.0,7.0
51,71,6.096385542168675,6.0,10.0
52,56,6.036144578313253,6.0,8.0
53,67,6.036144578313253,6.0,7.0
54,64,17.987951807228917,6.0,1000.0
55,62,6.024096385542169,6.0,8.0
56,68,6.0,6.0,6.0
57,64,6.0602409638554215,6.0,8.0
58,66,6.036144578313253,6.0,8.0
59,71,6.024096385542169,6.0,7.0
60,72,6.072289156626506,6.0,10.0
,,,,
gen,nevals,avg,min,max
0,84,775.9404761904761,8.0,1000.0
1,70,174.29761904761904,7.0,1000.0
2,69,32.0,7.0,1000.0
