gen,nevals,avg,min,max
0,84,669.797619047619,7.0,1000.0
1,61,127.0,6.0,1000.0
2,56,78.58333333333333,6.0,1000.0
3,63,54.476190476190474,6.0,1000.0
4,65,29.86904761904762,6.0,1000.0
5,65,101.08333333333333,6.0,1000.0
6,54,53.476190476190474,6.0,1000.0
7,69,41.654761904761905,6.0,1000.0
8,74,29.892857142857142,6.0,1000.0
9,52,41.70238095238095,6.0,1000.0
10,63,17.857142857142858,6.0,1000.0
11,66,17.964285714285715,6.0,1000.0
12,67,29.666666666666668,6.0,1000.0
13,73,53.464285714285715,6.0,1000.0
14,66,29.702380952380953,6.0,1000.0
15,64,6.238095238095238,6.0,18.0
16,60,6.0,6.0,6.0
17,72,6.0,6.0,6.0
18,67,17.94047619047619,6.0,1000.0
19,64,17.904761904761905,6.0,1000.0
20,66,17.964285714285715,6.0,1000.0
21,62,6.011904761904762,6.0,7.0
22,70,6.011904761904762,6.0,7.0
23,65,29.833333333333332,6.0,1000.0
24,61,6.0,6.0,6.0
25,61,6.0,6.0,6.0
26,70,6.0,6.0,6.0
27,67,29.666666666666668,6.0,1000.0
28,64,29.714285714285715,6.0,1000.0
29,65,6.0476190476190474,6.0,10.0
30,71,6.0,6.0,6.0
31,58,6.0,6.0,6.0
32,69,17.94047619047619,6.0,1000.0
33,59,17.833333333333332,6.0,1000.0
34,64,6.0,6.0,6.0
35,59,17.964285714285715,6.0,1000.0
36,69,6.023809523809524,6.0,8.0
37,63,6.011904761904762,6.0,7.0
38,66,6.035714285714286,6.0,9.0
39,66,6.0,6.0,6.0
40,67,6.035714285714286,6.0,8.0
41,66,17.845238095238095,6.0,1000.0
42,60,6.0,6.0,6.0
43,71,6.095238095238095,6.0,10.0
44,54,6.0,6.0,6.0
45,66,6.0,6.0,6.0
46,70,6.0,6.0,6.0
47,56,6.0,6.0,6.0
48,65,6.011904761904762,6.0,7.0
49,61,6.035714285714286,6.0,9.0
50,61,6.0,6.0,6.0
51,67,6.0,6.0,6.0
52,65,6.011904761904762,6.0,7.0
53,62,6.190476190476191,6.0,18.0
54,63,6.0,6.0,6.0
55,66,17.833333333333332,6.0,1000.0
56,64,6.023809523809524,6.0,7.0
57,60,6.0,6.0,6.0
58,62,6.0,6.0,6.0
