optimal,Avg_max_fit,Gen,Dataset,CosDist,Hof
62049,175.0,22,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.763811253513335,"sub(repeat(concatenate(repeat(repeat([2])), subOneAll(mul([4], [4])))), subOneAll(concatenate(repeat(concatenate([5], [11])), subOneAll(div([13], [7])))))","[2, 2, 2, 2, 3, 2, 2, 2, 2, 13]"
63657,175.0,25,"[1, 3]",0.411651594585448,"div(concatenate(repeat(concatenate([3], [13])), subOneAll(subOneAll([9]))), div(mul(sub([6], [11]), subOneAll([2])), mul(subOneAll([9]), repeat([7]))))","[3, 13, 3, 13, 3]"
64721,175.0,14,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.5149287499273341,"repeat(addOneAll(repeat(if_then_else(div(addOneAll([8]), div([10], [7])), add(mul([7], [1]), concatenate([12], [10])), add(mul([6], [3]), sub([1], [5])), repeat(subOneAll(mul(if_then_else(sub(concatenate([12], [13]), concatenate([5], [12])), mul(concatenate([3], [9]), subOneAll([10])), addOneAll(subOneAll([2])), mul(sub([11], [12]), if_then_else([7], [10], [8], [1]))), mul(if_then_else(if_then_else([12], [13], [12], [2]), sub([9], [2]), subOneAll([5]), subOneAll([4])), addOneAll(add([3], [3]))))))))))","[6, 5, 6, 5, 6, 5, 6, 5]"
65898,175.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.10886721132099308,"concatenate(repeat(div(mul([6], [3]), addOneAll([3]))), repeat(sub(concatenate([6], [3]), add([1], [5]))))","[2, 2, 6, 10, 6, 10]"
67280,175.0,10,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.32356594910510006,"add(concatenate(repeat(subOneAll(repeat(repeat([7])))), concatenate(repeat(add(div([1], [6]), addOneAll([2]))), concatenate(subOneAll(mul([5], [6])), div(div([10], [12]), concatenate([7], [11]))))), if_then_else(concatenate(concatenate(div(div([6], [12]), subOneAll([13])), [12]), concatenate(repeat(if_then_else([9], [1], [12], [13])), concatenate(subOneAll([5]), mul([4], [6])))), div(sub(addOneAll(repeat([8])), subOneAll(addOneAll([4]))), concatenate(mul(div([13], [2]), addOneAll([6])), mul(div([8], [4]), concatenate([12], [2])))), if_then_else(repeat(repeat(concatenate([8], [8]))), if_then_else(repeat(mul([10], [13])), mul(sub([10], [1]), add([7], [12])), concatenate(addOneAll([7]), repeat(if_then_else(subOneAll(concatenate(sub([13], [5]), addOneAll([7]))), concatenate(addOneAll(add([11], [10])), subOneAll(if_then_else([3], [9], [6], [6]))), sub(div(repeat([3]), concatenate([13], [5])), if_then_else(subOneAll([5]), addOneAll([2]), div([13], [5]), sub([11], [10]))), subOneAll(if_then_else(addOneAll([7]), add([1], [8]), repeat([10]), repeat([10])))))), subOneAll(if_then_else([6], [4], [1], [9]))), sub(addOneAll(if_then_else([4], [12], [5], [13])), div(add([12], [9]), if_then_else([2], [7], [6], [4]))), sub(concatenate(subOneAll([12]), add([6], [1])), sub(div([6], [8]), concatenate([2], [4])))), concatenate(sub(if_then_else(mul([10], [6]), sub([3], [5]), mul([13], [9]), addOneAll([2])), addOneAll(div([8], [13]))), mul(concatenate(if_then_else([7], [6], [3], [4]), addOneAll([3])), repeat(addOneAll([2]))))))","[6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 4, 3]"
68418,175.0,19,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.342048305040231,"mul(div(repeat(concatenate(subOneAll(repeat([4])), repeat(concatenate([2], [10])))), concatenate(addOneAll(repeat(div([8], [8]))), subOneAll(if_then_else(if_then_else([4], [5], [13], [7]), repeat([11]), sub([13], [9]), sub([7], [12]))))), div(subOneAll(if_then_else(subOneAll(sub([8], [9])), subOneAll(div([1], [3])), add(sub([12], [10]), sub([4], [13])), addOneAll(subOneAll([4])))), addOneAll(repeat(sub(addOneAll([5]), if_then_else([5], [6], [3], [3]))))))","[3, 3, 2, 10, 2, 10, 3, 3, 2, 10, 2, 6]"
69812,175.0,20,"[1, 3]",0.3545027756320972,"if_then_else(if_then_else(repeat(subOneAll(sub(mul([5], [1]), subOneAll([5])))), div(subOneAll(repeat(concatenate([1], [12]))), repeat(addOneAll(add([7], [11])))), addOneAll(if_then_else(add(div([9], [13]), div([2], [10])), add(subOneAll([9]), sub([10], [12])), div(mul([8], [9]), if_then_else([5], [11], [5], [13])), repeat(sub([8], [3])))), repeat(repeat(add(if_then_else([5], [3], [13], [4]), if_then_else([11], [4], [3], [3]))))), subOneAll(add(concatenate(concatenate(add([4], [7]), repeat([12])), div(addOneAll([1]), concatenate([13], [4]))), mul(if_then_else(sub([9], [10]), sub([11], [6]), repeat([9]), subOneAll([5])), addOneAll(concatenate([13], [5]))))), addOneAll(repeat(add(repeat(subOneAll([3])), if_then_else(concatenate([12], [12]), add([6], [3]), repeat([5]), addOneAll([1]))))), add(concatenate(if_then_else(add(concatenate([4], [7]), subOneAll([2])), subOneAll(sub([10], [6])), concatenate(if_then_else([5], [9], [10], [7]), subOneAll([7])), sub(subOneAll([3]), addOneAll([9]))), sub(add(div([2], [4]), div([9], [8])), addOneAll(add([5], [4])))), subOneAll(sub(add(addOneAll([7]), if_then_else([12], [8], [12], [2])), div(addOneAll([3]), div([1], [7]))))))","[2, 2, 4, 3, 3, 3, 3, 3]"
71369,175.0,23,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.7150985588509051,"sub(repeat(concatenate(add(repeat([12]), mul([1], [3])), if_then_else(addOneAll([12]), addOneAll([3]), concatenate([4], [6]), add([4], [1])))), add(concatenate(if_then_else(div([4], [4]), sub([7], [5]), subOneAll([13]), add([3], [3])), concatenate(add([11], [10]), repeat([10]))), subOneAll(addOneAll(subOneAll([13])))))","[12, 4, 13, 6, 12, 4, 13, 5]"
72343,175.0,13,"[6, 10, 6, 10, 6, 10, 6, 10, 4, 2]",0.22215553173740277,"concatenate(sub(add(subOneAll(subOneAll(mul([10], [1]))), div(if_then_else(mul([13], [3]), sub([1], [1]), sub([5], [1]), div([12], [6])), addOneAll(concatenate([10], [4])))), div(div(subOneAll(concatenate([3], [6])), sub(div([13], [7]), mul([12], [1]))), add(div(addOneAll([8]), mul([2], [3])), addOneAll(subOneAll([7]))))), if_then_else(subOneAll(div(subOneAll(sub([5], [6])), if_then_else(div([8], [10]), div([10], [11]), div([5], [12]), if_then_else([4], [10], [13], [3])))), repeat(subOneAll(subOneAll(add([6], [3])))), mul(mul(mul(div([6], [11]), div([5], [9])), div(concatenate([6], [13]), mul([5], [2]))), repeat(subOneAll(div([10], [9])))), concatenate(mul(subOneAll(addOneAll([5])), if_then_else(add([9], [4]), add([11], [2]), repeat([10]), sub([5], [11]))), sub(div(if_then_else([13], [7], [1], [2]), div([4], [13])), mul(addOneAll([11]), add([5], [1]))))))","[10, 12, 6, 13, 10]"
73547,175.0,22,"[1, 3, 6, 10, 6, 10, 6, 10, 4, 2]",0.42792244645264466,"sub(if_then_else(if_then_else(concatenate(repeat(if_then_else([10], [6], [6], [13])), div(repeat([11]), subOneAll([3]))), mul(sub(mul([9], [9]), mul([4], [7])), subOneAll(if_then_else([9], [7], [9], [9]))), mul(sub(subOneAll([4]), repeat([7])), addOneAll(add([10], [11]))), if_then_else(repeat(div([13], [6])), subOneAll(div([10], [3])), concatenate(addOneAll([12]), sub([7], [3])), div(addOneAll([3]), subOneAll([2])))), if_then_else(concatenate(subOneAll(mul([13], [7])), sub(div([12], [13]), add([7], [12]))), add(add(addOneAll([3]), add([4], [1])), subOneAll(add(div(sub(div([12], [11]), addOneAll([12])), addOneAll(addOneAll([4]))), subOneAll(if_then_else(repeat([13]), mul([4], [3]), mul([2], [8]), concatenate([13], [12])))))), subOneAll(sub(if_then_else([5], [7], [3], [3]), div([1], [1]))), repeat(mul(sub([2], [10]), concatenate([8], [1])))), div(concatenate(sub(sub([5], [13]), div([12], [6])), add(concatenate([11], [8]), add([11], [3]))), mul(addOneAll(if_then_else([9], [12], [11], [2])), add(add([11], [1]), div([7], [6])))), concatenate(mul(sub(repeat([5]), concatenate([6], [1])), div(add([8], [4]), div([11], [6]))), subOneAll(if_then_else(repeat([10]), repeat([2]), concatenate([5], [3]), if_then_else([7], [2], [2], [1]))))), mul(add(concatenate(add(addOneAll([7]), subOneAll([9])), mul(concatenate([9], [5]), sub([11], [2]))), concatenate(mul(repeat([3]), sub([2], [6])), subOneAll(if_then_else([1], [12], [9], [2])))), div(if_then_else(addOneAll([11]), addOneAll(subOneAll([5])), concatenate(sub([2], [10]), addOneAll([2])), addOneAll(concatenate([13], [12]))), addOneAll(if_then_else(if_then_else([3], [7], [8], [11]), mul([3], [9]), concatenate([4], [9]), sub([5], [6]))))))","[10, 13, 10, 13, 11, 6, 3, 3, 5, 4, 11, 12]"
