gen,nevals,avg,min,max
0,80,741.2625,11.0,1000.0
1,0,186.0875,11.0,1000.0
2,0,11.7875,11.0,14.0
3,0,11.0,11.0,11.0
4,0,11.0,11.0,11.0
5,0,11.0,11.0,11.0
6,0,11.0,11.0,11.0
7,0,11.0,11.0,11.0
8,0,11.0,11.0,11.0
9,0,11.0,11.0,11.0
10,0,11.0,11.0,11.0
11,0,11.0,11.0,11.0
12,0,11.0,11.0,11.0
13,0,11.0,11.0,11.0
14,0,11.0,11.0,11.0
15,0,11.0,11.0,11.0
16,0,11.0,11.0,11.0
17,0,11.0,11.0,11.0
18,0,11.0,11.0,11.0
19,0,11.0,11.0,11.0
20,0,11.0,11.0,11.0
21,0,11.0,11.0,11.0
22,0,11.0,11.0,11.0
23,0,11.0,11.0,11.0
24,0,11.0,11.0,11.0
25,0,11.0,11.0,11.0
26,0,11.0,11.0,11.0
27,0,11.0,11.0,11.0
28,0,11.0,11.0,11.0
29,0,11.0,11.0,11.0
30,0,11.0,11.0,11.0
31,0,11.0,11.0,11.0
32,0,11.0,11.0,11.0
33,0,11.0,11.0,11.0
34,0,11.0,11.0,11.0
35,0,11.0,11.0,11.0
36,0,11.0,11.0,11.0
37,0,11.0,11.0,11.0
38,0,11.0,11.0,11.0
39,0,11.0,11.0,11.0
40,0,11.0,11.0,11.0
41,0,11.0,11.0,11.0
42,0,11.0,11.0,11.0
43,0,11.0,11.0,11.0
44,0,11.0,11.0,11.0
45,0,11.0,11.0,11.0
46,0,11.0,11.0,11.0
47,0,11.0,11.0,11.0
48,0,11.0,11.0,11.0
49,0,11.0,11.0,11.0
50,0,11.0,11.0,11.0
51,0,11.0,11.0,11.0
52,0,11.0,11.0,11.0
53,0,11.0,11.0,11.0
54,0,11.0,11.0,11.0
55,0,11.0,11.0,11.0
56,0,11.0,11.0,11.0
57,0,11.0,11.0,11.0
58,0,11.0,11.0,11.0
59,0,11.0,11.0,11.0
60,0,11.0,11.0,11.0
,,,,
gen,nevals,avg,min,max
0,80,654.825,12.0,1000.0
1,15,62.7375,12.0,1000.0
2,7,12.525,12.0,16.0
3,8,12.825,12.0,50.0
4,6,12.0625,12.0,17.0
5,9,12.3125,12.0,26.0
6,8,12.025,11.0,14.0
7,7,11.9375,11.0,16.0
8,6,11.4,11.0,16.0
9,7,11.0625,11.0,13.0
10,7,11.0625,11.0,14.0
11,3,11.0125,11.0,12.0
12,8,11.075,11.0,14.0
13,13,11.325,11.0,21.0
14,7,11.1,11.0,14.0
15,13,11.0625,11.0,12.0
16,8,11.075,11.0,16.0
17,10,11.1,11.0,15.0
18,11,11.05,11.0,13.0
19,8,23.425,11.0,1000.0
20,11,11.2375,11.0,20.0
21,8,11.0625,11.0,14.0
22,3,11.05,11.0,14.0
23,11,11.275,11.0,22.0
24,9,11.05,11.0,14.0
25,7,11.0125,11.0,12.0
26,11,11.0875,11.0,14.0
27,10,11.075,11.0,13.0
28,12,11.1125,11.0,16.0
29,10,11.0,11.0,11.0
30,8,11.025,11.0,12.0
31,11,11.05,11.0,12.0
32,6,11.0125,11.0,12.0
