gen,nevals,avg,min,max
0,90,[-687.43333333  736.11111111],[-1000.     7.],[ 175. 1000.]
1,74,[-22.22222222 174.77777778],[-1000.     7.],[ 175. 1000.]
2,68,[135.71111111  41.67777778],[-1000.     7.],[ 175. 1000.]
3,74,[161.82222222  18.18888889],[-1000.     6.],[ 175. 1000.]
4,76,[109.67777778  62.11111111],[-1000.     6.],[ 175. 1000.]
5,76,[122.75555556  50.74444444],[-1000.     6.],[ 175. 1000.]
6,73,[83.55555556 83.44444444],[-1000.     6.],[ 175. 1000.]
7,71,[83.55555556 83.4       ],[-1000.     6.],[ 175. 1000.]
8,70,[96.64444444 72.41111111],[-1000.     6.],[ 175. 1000.]
9,75,[96.57777778 72.35555556],[-1000.     6.],[ 175. 1000.]
10,72,[148.81111111  28.17777778],[-1000.     6.],[ 175. 1000.]
11,73,[148.82222222  28.2       ],[-1000.     6.],[ 175. 1000.]
12,74,[148.8  28.2],[-1000.     6.],[ 175. 1000.]
13,76,[ 57.36666667 105.57777778],[-1000.     6.],[ 175. 1000.]
14,64,[148.82222222  28.22222222],[-1000.     6.],[ 175. 1000.]
15,73,[109.63333333  61.34444444],[-1000.     6.],[ 175. 1000.]
16,73,[109.66666667  61.35555556],[-1000.     6.],[ 175. 1000.]
17,74,[122.68888889  50.33333333],[-1000.     6.],[ 175. 1000.]
18,71,[83.52222222 83.63333333],[-1000.     6.],[ 175. 1000.]
19,76,[109.65555556  61.45555556],[-1000.     6.],[ 175. 1000.]
20,69,[109.7         61.35555556],[-1000.     6.],[ 175. 1000.]
21,70,[135.8         39.21111111],[-1000.     6.],[ 175. 1000.]
22,76,[148.85555556  28.15555556],[-1000.     6.],[ 175. 1000.]
23,74,[148.85555556  28.17777778],[-1000.     6.],[ 175. 1000.]
24,74,[83.57777778 83.38888889],[-1000.     6.],[ 175. 1000.]
25,65,[161.92222222  17.07777778],[-1000.     6.],[ 175. 1000.]
26,80,[109.66666667  61.32222222],[-1000.     6.],[ 175. 1000.]
27,82,[70.48888889 94.55555556],[-1000.     6.],[ 175. 1000.]
28,69,[122.75555556  50.28888889],[-1000.     6.],[ 175. 1000.]
29,77,[96.6        72.38888889],[-1000.     6.],[ 175. 1000.]
30,75,[70.43333333 94.55555556],[-1000.     6.],[ 175. 1000.]
31,76,[135.74444444  39.4       ],[-1000.     6.],[ 175. 1000.]
32,74,[83.54444444 83.38888889],[-1000.     6.],[ 175. 1000.]
33,77,[122.74444444  50.21111111],[-1000.     6.],[ 175. 1000.]
34,77,[135.74444444  39.3       ],[-1000.     6.],[ 175. 1000.]
35,75,[135.74444444  39.27777778],[-1000.     6.],[ 175. 1000.]
36,82,[148.87777778  28.24444444],[-1000.     6.],[ 175. 1000.]
37,82,[148.78888889  28.24444444],[-1000.     6.],[ 175. 1000.]
38,68,[135.8         39.17777778],[-1000.     6.],[ 175. 1000.]
39,72,[122.73333333  50.45555556],[-1000.     6.],[ 175. 1000.]
40,67,[161.91111111  17.1       ],[-1000.     6.],[ 175. 1000.]
41,78,[135.81111111  39.16666667],[-1000.     6.],[ 175. 1000.]
42,70,[148.87777778  28.17777778],[-1000.     6.],[ 175. 1000.]
43,70,[135.83333333  39.15555556],[-1000.     6.],[ 175. 1000.]
44,66,[148.87777778  28.12222222],[-1000.     6.],[ 175. 1000.]
45,70,[148.88888889  28.13333333],[-1000.     6.],[ 175. 1000.]
46,66,[148.87777778  28.12222222],[-1000.     6.],[ 175. 1000.]
47,72,[148.87777778  28.1       ],[-1000.     6.],[ 175. 1000.]
48,76,[161.94444444  17.05555556],[-1000.     6.],[ 175. 1000.]
49,67,[148.86666667  28.1       ],[-1000.     6.],[ 175. 1000.]
50,72,[161.92222222  17.08888889],[-1000.     6.],[ 175. 1000.]
51,77,[135.82222222  39.14444444],[-1000.     6.],[ 175. 1000.]
52,76,[174.96666667   6.06666667],[173.   6.],[175.   9.]
53,73,[174.97777778   6.05555556],[173.   6.],[175.   8.]
54,70,[174.96666667   6.02222222],[173.   6.],[175.   7.]
55,71,[161.92222222  17.12222222],[-1000.     6.],[ 175. 1000.]
56,71,[161.91111111  17.06666667],[-1000.     6.],[ 175. 1000.]
57,80,[161.9         17.06666667],[-1000.     6.],[ 175. 1000.]
58,75,[161.92222222  17.06666667],[-1000.     6.],[ 175. 1000.]
59,77,[174.98888889   6.02222222],[174.   6.],[175.   7.]
60,67,[161.94444444  17.07777778],[-1000.     6.],[ 175. 1000.]
,,,,
gen,nevals,avg,min,max
0,90,[-583.03333333  648.01111111],[-1000.     7.],[ 175. 1000.]
1,78,[ 56.05555556 108.55555556],[-1000.     7.],[ 175. 1000.]
2,76,[ 30.81111111 129.87777778],[-1000.     7.],[ 175. 1000.]
3,72,[ 31.07777778 129.47777778],[-1000.     6.],[ 175. 1000.]
4,67,[ 44.26666667 117.84444444],[-1000.     6.],[ 175. 1000.]
5,73,[ 44.25555556 117.47777778],[-1000.     6.],[ 175. 1000.]
6,70,[ 57.23333333 106.35555556],[-1000.     5.],[ 175. 1000.]
7,82,[70.31111111 94.7       ],[-1000.     5.],[ 175. 1000.]
8,78,[70.4        94.24444444],[-1000.     5.],[ 175. 1000.]
9,70,[96.48888889 71.91111111],[-1000.     5.],[ 175. 1000.]
10,70,[ 18.24444444 137.87777778],[-1000.     5.],[ 175. 1000.]
11,70,[96.48888889 71.91111111],[-1000.     5.],[ 175. 1000.]
12,78,[109.64444444  60.64444444],[-1000.     5.],[ 175. 1000.]
13,69,[83.55555556 82.66666667],[-1000.     5.],[ 175. 1000.]
