optimal,Avg_max_fit,Gen,Dataset,CosDist,Hof
14913,181.0,23,"[6, 7]",0.3434678357013873,"add(subOneAll(concatenate(repeat(if_then_else(mul([8], [3]), div([5], [6]), addOneAll([4]), repeat([7]))), [4])), subOneAll(repeat(mul(div(sub([10], [8]), sub([12], [10])), div(sub([3], [3]), add([4], [7]))))))","[11, 6, 6, 11, 6, 6, 6]"
16158,181.0,19,"[6, 7]",0.7327387580875757,"concatenate(if_then_else(concatenate(if_then_else([12], [12], [3], [5]), addOneAll([12])), div(subOneAll([6]), add(mul(repeat(subOneAll(div([8], [5]))), sub(if_then_else(add([1], [10]), if_then_else([12], [2], [1], [12]), add([12], [13]), subOneAll([6])), concatenate(addOneAll([5]), mul([3], [12])))), concatenate(concatenate(if_then_else(if_then_else([11], [6], [13], [4]), div([4], [12]), concatenate([9], [9]), repeat([3])), mul(addOneAll([8]), sub([5], [7]))), addOneAll(if_then_else(repeat([11]), mul([3], [7]), div([10], [1]), addOneAll([7])))))), add(addOneAll([6]), concatenate([1], [2])), sub(subOneAll([4]), add([6], [4]))), mul(subOneAll(add([10], [7])), addOneAll(add([10], [7]))))","[12, 5, 13, 6, 12]"
17163,181.0,15,"[7, 7, 7, 7, 7, 7]",1.0,"sub(div(addOneAll(if_then_else(mul(concatenate([11], [3]), div([1], [8])), repeat(add([6], [13])), concatenate(addOneAll([9]), concatenate([4], [13])), sub(div([10], [3]), add([2], [7])))), add(concatenate(subOneAll(concatenate([9], [3])), addOneAll(div([1], [13]))), div(add(sub([4], [4]), subOneAll([8])), if_then_else(if_then_else([9], [12], [2], [4]), mul([8], [2]), add([5], [1]), sub(concatenate(if_then_else(add(subOneAll(div([7], [6])), div(mul([9], [2]), add([7], [6]))), addOneAll(mul(add([9], [4]), mul([4], [4]))), concatenate(if_then_else(if_then_else([3], [8], [6], [4]), div([7], [6]), sub([4], [2]), concatenate([12], [6])), div(repeat([12]), if_then_else([4], [4], [8], [1]))), add(addOneAll(subOneAll([11])), concatenate(div([13], [12]), add([10], [8])))), add(sub(if_then_else(mul([1], [12]), concatenate([2], [4]), addOneAll([3]), sub([6], [9])), if_then_else(add([2], [2]), repeat([12]), add([12], [4]), repeat([10]))), add(concatenate(sub([7], [11]), add([3], [8])), sub(sub([11], [3]), add([3], [9]))))), mul(sub(div(mul(addOneAll([2]), if_then_else([1], [3], [1], [5])), sub(sub([11], [11]), repeat([13]))), sub(subOneAll(concatenate([10], [13])), repeat(repeat([2])))), addOneAll(sub(add(if_then_else([11], [6], [7], [5]), subOneAll([13])), mul(repeat([7]), subOneAll([7])))))))))), mul(subOneAll(concatenate(subOneAll(subOneAll([8])), subOneAll(mul([13], [10])))), subOneAll(concatenate(mul(sub([6], [5]), add([12], [8])), div(concatenate([12], [11]), subOneAll([8]))))))","[12, 5, 11, 5, 10]"
18236,181.0,9,"[6, 7]",0.5917517095361371,"repeat(if_then_else(if_then_else([6], [3], [11], [12]), addOneAll([11]), concatenate([8], [10]), div([12], [1])))","[6, 12, 13, 6, 12, 13]"
19377,181.0,27,"[6, 7]",0.5917517095361371,"repeat(mul(concatenate(sub(mul([3], [2]), subOneAll(concatenate(div(div(if_then_else(if_then_else(addOneAll(subOneAll(addOneAll([10]))), mul(repeat(sub([9], [9])), addOneAll(concatenate([13], [2]))), mul(repeat(subOneAll([11])), div(div([6], [8]), add([13], [3]))), add(div(if_then_else([5], [10], [11], [12]), addOneAll([3])), repeat(div([8], [2])))), div(if_then_else(concatenate(repeat([2]), div([2], [2])), mul(add([10], [13]), div([4], [10])), add(mul([9], [4]), concatenate([5], [6])), mul(add([8], [1]), mul([4], [10]))), repeat(if_then_else(mul([7], [2]), concatenate([6], [10]), add([10], [11]), addOneAll([7])))), div(repeat(subOneAll(addOneAll([7]))), repeat(add(sub([4], [6]), div([8], [3])))), repeat(subOneAll(repeat(addOneAll([4]))))), add(repeat(add(if_then_else(subOneAll([7]), if_then_else([4], [9], [7], [11]), if_then_else([8], [5], [13], [2]), add([10], [8])), repeat(addOneAll([1])))), add(repeat(repeat(addOneAll([7]))), div(mul(add([12], [3]), if_then_else([4], [6], [10], [11])), subOneAll(if_then_else([6], [13], [7], [9])))))), repeat(if_then_else(mul(repeat(mul(add([4], [6]), mul([8], [9]))), sub(add(subOneAll([5]), repeat([13])), concatenate(mul([5], [1]), div([6], [8])))), div(concatenate(sub(subOneAll([8]), concatenate([3], [11])), mul(concatenate([2], [9]), repeat([9]))), subOneAll(div(div([10], [5]), concatenate([2], [3])))), add(subOneAll(if_then_else(sub([13], [1]), concatenate([9], [8]), div([6], [2]), subOneAll([4]))), concatenate(concatenate(if_then_else([11], [6], [8], [8]), sub([2], [4])), mul(subOneAll([8]), sub([9], [6])))), subOneAll(mul(div(mul([1], [6]), mul([3], [10])), addOneAll(concatenate([1], [9]))))))), add(concatenate([12], [6]), div([11], [13]))))), mul(concatenate([6], [13]), add([2], [6]))), repeat(if_then_else(sub([11], [3]), repeat([7]), mul([12], [12]), concatenate([6], [6])))))","[11, 6, 10, 11, 6, 10]"
20797,181.0,17,"[7, 7, 7, 7, 7, 7]",1.0,"subOneAll(mul(concatenate(sub(subOneAll(repeat(if_then_else([1], [7], [7], [9]))), if_then_else(add(subOneAll([9]), mul([11], [7])), if_then_else(add([2], [3]), mul([6], [7]), repeat([7]), sub([9], [11])), add(subOneAll([7]), repeat([5])), subOneAll(subOneAll([4])))), mul(sub(div(div([7], [10]), subOneAll([6])), div(addOneAll([9]), subOneAll([5]))), div(addOneAll(sub([11], [11])), div(repeat([13]), mul([13], [4]))))), repeat(repeat(if_then_else(repeat(addOneAll(div(add(div(sub(add([1], [8]), sub([12], [7])), concatenate(subOneAll([2]), if_then_else([10], [4], [9], [12]))), addOneAll(if_then_else(div([11], [2]), addOneAll([11]), if_then_else([13], [7], [9], [3]), concatenate([4], [12])))), subOneAll(mul(mul(sub([11], [12]), subOneAll([1])), mul(div([13], [11]), sub([6], [3]))))))), concatenate(addOneAll([3]), add([8], [3])), addOneAll(sub([10], [4])), addOneAll(if_then_else([6], [10], [7], [2])))))))","[12, 5, 12, 10, 13]"
21859,181.0,13,"[7, 7, 7, 7, 7, 7]",1.0,"repeat(sub(repeat(sub(if_then_else(subOneAll([11]), add(concatenate(mul(mul(if_then_else(addOneAll(div([10], [3])), sub(div([1], [1]), concatenate([5], [6])), repeat(add([7], [3])), repeat(addOneAll([9]))), add(mul(sub([4], [9]), repeat([2])), add(concatenate([12], [7]), sub([13], [8])))), div(mul(add(addOneAll([13]), div([7], [1])), if_then_else(mul([6], [6]), if_then_else([11], [6], [4], [12]), addOneAll([11]), addOneAll([8]))), div(mul(add([1], [4]), if_then_else([7], [13], [4], [13])), concatenate(sub([6], [9]), subOneAll([3]))))), subOneAll(concatenate(repeat(add(addOneAll([13]), if_then_else([3], [11], [9], [3]))), div(concatenate(if_then_else([9], [13], [9], [8]), sub([6], [12])), sub(div([3], [9]), div([10], [4])))))), [2]), add([2], [2]), subOneAll([10])), add(div([7], [7]), div([12], [12])))), div(addOneAll(repeat(mul([8], [9]))), mul(add(if_then_else([8], [12], [10], [10]), sub([5], [5])), mul(repeat([11]), sub([10], [10]))))))","[10, 5, 10, 10, 10, 5, 10, 10]"
23318,181.0,23,"[6, 7]",0.5000000000000001,"if_then_else(addOneAll(repeat(repeat(sub([5], [1])))), if_then_else(subOneAll(subOneAll(mul(repeat(repeat(concatenate(mul(addOneAll([2]), repeat([4])), subOneAll(add([5], [10]))))), [10]))), mul(add(if_then_else([9], [9], [10], [5]), if_then_else([12], [9], [11], [5])), add(addOneAll([9]), repeat([10]))), addOneAll(add(sub([4], [12]), sub([7], [3]))), mul(sub(repeat([4]), addOneAll([10])), concatenate(sub([12], [13]), if_then_else([2], [9], [7], [6])))), repeat(subOneAll(repeat(div([2], [8])))), repeat(concatenate(sub(subOneAll([7]), mul([2], [8])), [11])))","[6, 6, 6, 6, 13, 13, 13, 13]"
25096,181.0,9,"[7, 7, 7, 7, 7, 7]",1.0,"repeat(repeat(repeat(div(mul(add([2], [13]), repeat(repeat(add(add(if_then_else(subOneAll(subOneAll(mul([13], [4]))), add(add(if_then_else([11], [9], [8], [5]), subOneAll([5])), mul(addOneAll([4]), mul([7], [2]))), subOneAll(concatenate(mul([6], [12]), addOneAll([1]))), if_then_else(concatenate(addOneAll([6]), mul([2], [7])), add(div([12], [7]), add([5], [13])), if_then_else(div([10], [12]), div([11], [12]), sub([10], [5]), concatenate([13], [5])), div(repeat([4]), concatenate([1], [1])))), div(subOneAll(concatenate(div([2], [1]), concatenate([3], [13]))), mul(sub(add([2], [2]), div([8], [11])), mul(concatenate([1], [7]), if_then_else([8], [5], [5], [12]))))), div(repeat(subOneAll(addOneAll(sub([12], [12])))), subOneAll(mul(sub(subOneAll([7]), mul([7], [7])), mul(div([13], [13]), repeat([13]))))))))), subOneAll(div([13], [7]))))))","[12, 12, 12, 12, 12, 12, 12, 12]"
26284,181.0,16,"[6, 7]",0.9,"subOneAll(div(repeat(addOneAll(repeat(repeat([5])))), mul(concatenate(subOneAll(div([6], [5])), repeat(div([11], [8]))), addOneAll(sub(add([13], [2]), add(addOneAll(div(sub(repeat([4]), div([5], [3])), mul(div([6], [4]), concatenate([4], [11])))), subOneAll(concatenate(if_then_else(repeat([9]), if_then_else([6], [9], [8], [12]), sub([11], [3]), sub([5], [4])), sub(subOneAll([1]), mul([3], [11]))))))))))","[5, 5, 5, 5, 5, 5, 5, 6]"
