gen,nevals,avg,min,max
0,84,[-539.89285714  593.82142857],[-1000.    17.],[ 106. 1000.]
1,63,[39.1547619 83.3452381],[-1000.    21.],[ 106. 1000.]
2,73,[92.42857143 36.95238095],[-1000.    21.],[ 106. 1000.]
3,64,[79.14285714 46.1547619 ],[-1000.    18.],[ 106. 1000.]
4,54,[105.33333333  22.61904762],[97. 18.],[106.  48.]
5,62,[105.70238095  21.08333333],[94. 19.],[106.  37.]
6,64,[105.91666667  19.60714286],[100.  19.],[106.  26.]
7,66,[105.78571429  19.25      ],[98. 18.],[106.  25.]
8,60,[105.86904762  19.10714286],[100.  17.],[106.  22.]
9,60,[105.73809524  19.5952381 ],[98. 17.],[106.  55.]
10,68,[105.91666667  19.70238095],[101.  19.],[106.  64.]
11,65,[105.95238095  19.13095238],[102.  19.],[106.  28.]
12,58,[106.          19.08333333],[106.  19.],[106.  21.]
13,58,[105.91666667  19.08333333],[102.  19.],[106.  24.]
14,62,[92.80952381 30.77380952],[-1000.    19.],[ 106. 1000.]
15,66,[105.92857143  19.33333333],[102.  19.],[106.  47.]
16,61,[105.98809524  19.03571429],[105.  19.],[106.  22.]
17,63,[105.88095238  19.11904762],[98. 19.],[106.  24.]
18,60,[106.  19.],[106.  19.],[106.  19.]
19,59,[105.98809524  19.08333333],[105.  19.],[106.  22.]
20,72,[105.91666667  19.11904762],[101.  19.],[106.  26.]
21,62,[106.          19.19047619],[106.  19.],[106.  31.]
22,63,[105.95238095  19.02380952],[102.  19.],[106.  21.]
23,65,[105.88095238  19.10714286],[100.  19.],[106.  23.]
24,67,[106.  19.],[106.  19.],[106.  19.]
25,74,[105.91666667  19.08333333],[100.  19.],[106.  23.]
26,60,[92.83333333 30.67857143],[-1000.    19.],[ 106. 1000.]
27,66,[106.          19.04761905],[106.  19.],[106.  21.]
28,62,[105.95238095  19.11904762],[102.  19.],[106.  25.]
29,69,[106.  19.],[106.  19.],[106.  19.]
30,60,[106.  19.],[106.  19.],[106.  19.]
31,63,[105.95238095  19.14285714],[102.  19.],[106.  26.]
32,63,[105.95238095  19.04761905],[102.  19.],[106.  21.]
33,63,[106.          19.02380952],[106.  19.],[106.  21.]
34,60,[106.  19.],[106.  19.],[106.  19.]
35,65,[106.          19.02380952],[106.  19.],[106.  21.]
36,71,[105.98809524  19.02380952],[105.  19.],[106.  21.]
37,63,[105.97619048  19.01190476],[104.  19.],[106.  20.]
38,68,[106.          19.04761905],[106.  19.],[106.  21.]
39,61,[106.  19.],[106.  19.],[106.  19.]
40,63,[106.          19.02380952],[106.  19.],[106.  21.]
41,66,[106.  19.],[106.  19.],[106.  19.]
42,67,[106.  19.],[106.  19.],[106.  19.]
43,71,[106.  19.],[106.  19.],[106.  19.]
44,67,[105.9047619   19.22619048],[98. 19.],[106.  35.]
45,72,[105.97619048  19.07142857],[104.  19.],[106.  23.]
46,55,[105.98809524  18.98809524],[105.  18.],[106.  19.]
47,71,[105.98809524  19.04761905],[105.  19.],[106.  22.]
48,62,[105.97619048  19.02380952],[104.  19.],[106.  21.]
49,67,[105.8452381   19.05952381],[94. 19.],[106.  23.]
50,58,[106.         19.1547619],[106.  19.],[106.  27.]
51,65,[106.          19.02380952],[106.  19.],[106.  21.]
52,63,[106.  19.],[106.  19.],[106.  19.]
53,59,[106.  19.],[106.  19.],[106.  19.]
54,65,[106.  19.],[106.  19.],[106.  19.]
55,64,[105.95238095  18.97619048],[102.  17.],[106.  19.]
56,64,[106.  19.],[106.  19.],[106.  19.]
57,56,[106.  19.],[106.  19.],[106.  19.]
58,63,[92.83333333 30.67857143],[-1000.    19.],[ 106. 1000.]
59,62,[106.  19.],[106.  19.],[106.  19.]
60,60,[106.  19.],[106.  19.],[106.  19.]
,,,,
gen,nevals,avg,min,max
0,84,[-671.27380952  710.08333333],[-1000.    22.],[ 106. 1000.]
1,55,[-13.55952381 130.52380952],[-1000.    22.],[ 106. 1000.]
2,67,[79.26190476 49.54761905],[-1000.    21.],[ 106. 1000.]
3,57,[92.70238095 36.83333333],[-1000.    24.],[ 106. 1000.]
4,66,[92.76190476 36.60714286],[-1000.    24.],[ 106. 1000.]
5,68,[105.69047619  24.67857143],[98. 21.],[106.  36.]
6,66,[92.72619048 35.55952381],[-1000.    22.],[ 106. 1000.]
7,65,[105.83333333  23.69047619],[101.  23.],[106.  29.]
8,68,[92.75       34.91666667],[-1000.    23.],[ 106. 1000.]
9,68,[105.94047619  23.01190476],[104.  23.],[106.  24.]
10,59,[105.8452381  23.1547619],[100.  21.],[106.  27.]
11,59,[105.8452381   23.28571429],[102.  23.],[106.  32.]
12,67,[105.94047619  23.29761905],[103.  23.],[106.  35.]
13,62,[105.89285714  23.1547619 ],[102.  23.],[106.  29.]
14,61,[105.96428571  23.19047619],[104.  23.],[106.  30.]
15,62,[105.94047619  23.10714286],[103.  23.],[106.  29.]
16,56,[105.98809524  23.10714286],[105.  23.],[106.  31.]
17,65,[105.98809524  23.04761905],[105.  23.],[106.  27.]
18,64,[105.97619048  23.13095238],[104.  23.],[106.  27.]
19,62,[105.95238095  23.1547619 ],[102.  23.],[106.  35.]
20,69,[92.83333333 34.6547619 ],[-1000.    23.],[ 106. 1000.]
21,65,[105.96428571  23.07142857],[104.  23.],[106.  27.]
22,63,[105.89285714  23.22619048],[100.  23.],[106.  31.]
23,65,[105.97619048  22.97619048],[104.  21.],[106.  24.]
24,61,[106.          22.96428571],[106.  22.],[106.  26.]
25,69,[105.92857143  22.58333333],[104.  22.],[106.  26.]
26,71,[105.95238095  22.16666667],[105.  22.],[106.  30.]
27,70,[105.96428571  22.04761905],[105.  22.],[106.  24.]
28,60,[105.97619048  22.01190476],[105.  22.],[106.  23.]
