gen,nevals,avg,min,max
0,80,715.4875,8.0,1000.0
1,69,145.825,8.0,1000.0
2,59,45.7125,7.0,1000.0
3,72,20.5,7.0,1000.0
4,63,32.3,7.0,1000.0
5,67,19.7125,7.0,1000.0
6,62,19.7375,7.0,1000.0
7,70,7.5375,7.0,9.0
8,62,7.2375,7.0,9.0
9,70,7.2375,7.0,12.0
10,67,7.275,7.0,10.0
11,59,7.8,6.0,49.0
12,62,19.4875,6.0,1000.0
13,64,31.375,6.0,1000.0
14,72,31.0625,5.0,1000.0
15,60,30.9125,5.0,1000.0
16,59,30.5625,5.0,1000.0
17,69,5.0875,5.0,9.0
18,60,5.0625,5.0,7.0
19,66,5.0875,5.0,7.0
20,65,17.5125,5.0,1000.0
21,64,5.0,5.0,5.0
22,64,5.0625,5.0,7.0
23,68,5.15,5.0,8.0
24,64,5.0875,5.0,7.0
25,68,5.0625,5.0,7.0
26,66,5.1,5.0,10.0
27,74,5.075,5.0,7.0
28,68,5.075,5.0,8.0
29,61,5.0125,5.0,6.0
30,62,5.0375,5.0,7.0
31,68,30.025,5.0,1000.0
32,72,17.525,5.0,1000.0
33,71,17.525,5.0,1000.0
34,66,5.1,5.0,7.0
35,64,17.5,5.0,1000.0
36,54,17.475,5.0,1000.0
37,64,5.1,5.0,7.0
38,54,5.025,5.0,6.0
39,59,5.025,5.0,7.0
40,58,17.5,5.0,1000.0
41,66,17.45,5.0,1000.0
42,61,5.0125,5.0,6.0
43,62,17.55,5.0,1000.0
44,67,5.1,5.0,11.0
45,64,5.075,5.0,7.0
46,58,5.025,5.0,7.0
47,59,5.025,5.0,7.0
48,74,5.025,5.0,6.0
49,67,17.4875,5.0,1000.0
50,67,5.025,5.0,7.0
51,64,5.025,5.0,7.0
52,56,17.45,5.0,1000.0
53,69,5.0625,5.0,7.0
54,63,17.45,5.0,1000.0
55,60,5.0375,5.0,7.0
56,71,5.0,5.0,5.0
57,61,5.0375,5.0,6.0
58,58,5.025,5.0,7.0
59,63,5.0,5.0,5.0
60,64,5.0125,5.0,6.0
,,,,
gen,nevals,avg,min,max
0,81,731.1481481481482,7.0,1000.0
1,59,107.54320987654322,7.0,1000.0
2,66,57.01234567901235,7.0,1000.0
3,67,56.48148148148148,7.0,1000.0
4,68,80.8395061728395,7.0,1000.0
5,64,31.753086419753085,7.0,1000.0
6,63,56.333333333333336,7.0,1000.0
7,58,56.407407407407405,7.0,1000.0
8,65,117.46913580246914,7.0,1000.0
9,59,80.72839506172839,7.0,1000.0
10,66,44.160493827160494,7.0,1000.0
11,61,31.91358024691358,7.0,1000.0
12,74,56.41975308641975,6.0,1000.0
13,75,31.506172839506174,6.0,1000.0
14,69,18.901234567901234,6.0,1000.0
15,72,18.48148148148148,6.0,1000.0
16,70,18.555555555555557,6.0,1000.0
17,61,18.48148148148148,6.0,1000.0
18,74,55.25925925925926,6.0,1000.0
19,60,18.432098765432098,6.0,1000.0
20,55,18.40740740740741,6.0,1000.0
21,50,42.91358024691358,6.0,1000.0
22,60,18.419753086419753,6.0,1000.0
23,65,30.85185185185185,6.0,1000.0
24,72,6.074074074074074,6.0,9.0
25,67,18.358024691358025,6.0,1000.0
26,68,30.617283950617285,6.0,1000.0
27,69,18.34567901234568,6.0,1000.0
28,65,30.567901234567902,6.0,1000.0
29,67,42.888888888888886,6.0,1000.0
30,66,6.08641975308642,6.0,7.0
31,63,42.901234567901234,6.0,1000.0
32,66,30.617283950617285,6.0,1000.0
33,63,6.098765432098766,6.0,9.0
34,66,18.333333333333332,6.0,1000.0
35,70,79.69135802469135,6.0,1000.0
36,62,18.296296296296298,6.0,1000.0
37,68,79.70370370370371,6.0,1000.0
38,68,30.555555555555557,6.0,1000.0
39,62,30.604938271604937,6.0,1000.0
40,62,18.333333333333332,6.0,1000.0
41,63,30.617283950617285,6.0,1000.0
42,52,6.0246913580246915,6.0,8.0
43,65,6.049382716049383,6.0,9.0
44,70,6.0246913580246915,6.0,7.0
45,68,18.320987654320987,6.0,1000.0
46,60,18.271604938271604,6.0,1000.0
47,70,30.555555555555557,6.0,1000.0
48,67,30.765432098765434,6.0,1000.0
49,64,6.0246913580246915,6.0,7.0
50,64,18.308641975308642,6.0,1000.0
51,64,18.296296296296298,6.0,1000.0
52,69,42.82716049382716,6.0,1000.0
53,70,18.34567901234568,6.0,1000.0
54,60,6.012345679012346,6.0,7.0
55,74,6.0,6.0,6.0
56,66,6.074074074074074,6.0,8.0
57,66,6.0,6.0,6.0
58,66,6.0246913580246915,6.0,7.0
59,64,6.012345679012346,6.0,7.0
60,64,18.271604938271604,6.0,1000.0
,,,,
gen,nevals,avg,min,max
0,82,710.1463414634146,6.0,1000.0
1,58,129.8048780487805,6.0,1000.0
2,67,68.60975609756098,6.0,1000.0
3,66,55.292682926829265,6.0,1000.0
4,68,115.51219512195122,6.0,1000.0
5,68,42.609756097560975,5.0,1000.0
6,70,18.26829268292683,5.0,1000.0
7,72,66.85365853658537,5.0,1000.0
8,63,54.25609756097561,5.0,1000.0
9,63,66.3048780487805,5.0,1000.0
10,64,78.15853658536585,5.0,1000.0
11,69,66.2560975609756,5.0,1000.0
12,61,78.21951219512195,5.0,1000.0
13,62,66.07317073170732,5.0,1000.0
14,74,66.09756097560975,5.0,1000.0
15,72,102.64634146341463,5.0,1000.0
16,65,90.3170731707317,5.0,1000.0
17,67,41.548780487804876,5.0,1000.0
18,70,41.73170731707317,5.0,1000.0
19,65,29.5,5.0,1000.0
20,67,29.463414634146343,5.0,1000.0
21,66,17.51219512195122,5.0,1000.0
22,67,29.341463414634145,5.0,1000.0
23,67,17.463414634146343,5.0,1000.0
24,64,29.378048780487806,5.0,1000.0
25,72,29.48780487804878,5.0,1000.0
26,70,17.4390243902439,5.0,1000.0
27,65,29.621951219512194,5.0,1000.0
28,68,29.4390243902439,5.0,1000.0
29,68,17.21951219512195,5.0,1000.0
30,64,29.402439024390244,5.0,1000.0
31,74,29.536585365853657,5.0,1000.0
32,67,29.353658536585368,5.0,1000.0
33,74,17.20731707317073,5.0,1000.0
34,69,17.24390243902439,5.0,1000.0
35,68,17.170731707317074,5.0,1000.0
36,62,17.29268292682927,5.0,1000.0
37,64,5.048780487804878,5.0,6.0
38,64,5.390243902439025,5.0,20.0
39,56,5.060975609756097,5.0,7.0
40,68,29.317073170731707,5.0,1000.0
41,64,29.378048780487806,5.0,1000.0
42,72,41.451219512195124,5.0,1000.0
43,64,17.20731707317073,5.0,1000.0
44,61,17.28048780487805,5.0,1000.0
45,62,5.012195121951219,5.0,6.0
46,68,17.146341463414632,5.0,1000.0
47,64,5.024390243902439,5.0,6.0
48,60,5.2073170731707314,5.0,18.0
49,67,5.121951219512195,5.0,13.0
50,64,5.024390243902439,5.0,6.0
51,66,17.146341463414632,5.0,1000.0
52,68,41.40243902439025,5.0,1000.0
53,67,5.0,5.0,5.0
54,57,5.024390243902439,5.0,6.0
55,60,17.158536585365855,5.0,1000.0
56,70,5.048780487804878,5.0,7.0
57,76,5.134146341463414,5.0,11.0
58,78,29.402439024390244,5.0,1000.0
59,65,17.134146341463413,5.0,1000.0
60,67,17.146341463414632,5.0,1000.0
,,,,
gen,nevals,avg,min,max
0,83,713.6385542168674,8.0,1000.0
1,66,128.57831325301206,8.0,1000.0
2,67,44.975903614457835,7.0,1000.0
3,68,139.87951807228916,7.0,1000.0
4,64,103.89156626506023,7.0,1000.0
5,71,80.01204819277109,7.0,1000.0
6,70,67.24096385542168,7.0,1000.0
7,67,91.6987951807229,7.0,1000.0
8,60,7.265060240963855,7.0,11.0
9,71,31.927710843373493,7.0,1000.0
10,61,31.14457831325301,7.0,1000.0
11,62,31.16867469879518,7.0,1000.0
12,74,31.3855421686747,7.0,1000.0
13,69,19.072289156626507,7.0,1000.0
14,66,19.132530120481928,7.0,1000.0
15,67,7.0,7.0,7.0
16,66,7.048192771084337,7.0,10.0
17,54,19.012048192771083,7.0,1000.0
18,64,31.012048192771083,7.0,1000.0
19,59,30.927710843373493,7.0,1000.0
20,68,19.06024096385542,7.0,1000.0
21,63,42.963855421686745,7.0,1000.0
22,64,7.0,7.0,7.0
23,63,30.927710843373493,7.0,1000.0
24,68,7.0,7.0,7.0
25,67,19.0,7.0,1000.0
26,70,7.0,7.0,7.0
27,72,18.97590361445783,7.0,1000.0
28,69,7.0,7.0,7.0
29,67,7.0,7.0,7.0
30,75,19.012048192771083,7.0,1000.0
31,75,19.02409638554217,7.0,1000.0
32,64,18.987951807228917,7.0,1000.0
33,66,18.97590361445783,7.0,1000.0
34,64,7.0120481927710845,7.0,8.0
35,70,7.048192771084337,7.0,11.0
36,64,19.120481927710845,7.0,1000.0
37,68,7.096385542168675,7.0,12.0
38,61,7.096385542168675,7.0,10.0
39,75,7.0602409638554215,7.0,12.0
40,61,7.0,7.0,7.0
41,67,7.0,7.0,7.0
42,61,7.024096385542169,7.0,8.0
43,66,18.96385542168675,7.0,1000.0
44,72,7.024096385542169,7.0,8.0
45,75,19.0,7.0,1000.0
46,62,7.0120481927710845,7.0,8.0
47,74,7.0,7.0,7.0
48,75,7.144578313253012,7.0,19.0
49,72,18.96385542168675,7.0,1000.0
50,63,18.96385542168675,7.0,1000.0
51,63,30.96385542168675,7.0,1000.0
52,76,7.048192771084337,7.0,10.0
53,59,7.0,7.0,7.0
54,69,7.0,7.0,7.0
55,69,19.156626506024097,7.0,1000.0
56,68,7.0120481927710845,7.0,8.0
57,67,19.0,7.0,1000.0
58,74,7.0,7.0,7.0
59,74,7.048192771084337,7.0,10.0
60,64,7.0,7.0,7.0
,,,,
gen,nevals,avg,min,max
0,84,811.3214285714286,7.0,1000.0
1,67,221.25,6.0,1000.0
2,68,43.166666666666664,6.0,1000.0
3,65,54.107142857142854,6.0,1000.0
4,69,53.785714285714285,6.0,1000.0
5,72,53.45238095238095,6.0,1000.0
6,66,89.10714285714286,6.0,1000.0
7,75,53.57142857142857,6.0,1000.0
8,65,65.51190476190476,6.0,1000.0
9,72,18.0,6.0,1000.0
10,70,18.011904761904763,6.0,1000.0
11,65,18.023809523809526,6.0,1000.0
12,67,29.88095238095238,6.0,1000.0
13,67,29.904761904761905,6.0,1000.0
14,76,29.88095238095238,6.0,1000.0
15,62,29.773809523809526,6.0,1000.0
16,69,17.964285714285715,6.0,1000.0
17,69,41.726190476190474,6.0,1000.0
18,68,18.071428571428573,6.0,1000.0
19,77,17.976190476190474,6.0,1000.0
20,75,6.142857142857143,6.0,8.0
21,63,6.0476190476190474,6.0,7.0
22,76,29.845238095238095,6.0,1000.0
23,82,29.761904761904763,6.0,1000.0
24,68,29.916666666666668,6.0,1000.0
25,68,6.226190476190476,6.0,10.0
26,69,17.916666666666668,6.0,1000.0
27,79,29.797619047619047,6.0,1000.0
28,64,17.916666666666668,6.0,1000.0
29,64,6.035714285714286,6.0,7.0
30,74,29.857142857142858,6.0,1000.0
31,70,6.130952380952381,6.0,8.0
32,76,17.94047619047619,6.0,1000.0
33,69,6.071428571428571,6.0,7.0
34,61,17.88095238095238,6.0,1000.0
35,70,6.0476190476190474,6.0,7.0
36,68,17.916666666666668,6.0,1000.0
37,64,6.023809523809524,6.0,7.0
38,67,17.88095238095238,6.0,1000.0
39,69,6.190476190476191,6.0,16.0
40,68,29.726190476190474,6.0,1000.0
41,63,41.535714285714285,6.0,1000.0
42,74,17.916666666666668,6.0,1000.0
43,64,6.083333333333333,6.0,7.0
44,69,17.86904761904762,6.0,1000.0
45,68,29.75,6.0,1000.0
46,68,29.666666666666668,6.0,1000.0
47,65,17.904761904761905,6.0,1000.0
48,62,6.166666666666667,6.0,16.0
49,69,6.035714285714286,6.0,7.0
50,68,29.678571428571427,6.0,1000.0
51,69,17.88095238095238,6.0,1000.0
52,71,29.678571428571427,6.0,1000.0
53,77,17.892857142857142,6.0,1000.0
54,69,6.0476190476190474,6.0,8.0
55,64,6.0476190476190474,6.0,7.0
56,70,17.857142857142858,6.0,1000.0
57,66,29.714285714285715,6.0,1000.0
58,60,6.023809523809524,6.0,7.0
59,69,6.035714285714286,6.0,8.0
60,70,6.035714285714286,6.0,7.0
,,,,
