gen,nevals,avg,min,max
0,80,593.1375,13.0,1000.0
1,1,25.675,13.0,1000.0
2,2,13.0,13.0,13.0
3,3,13.025,13.0,14.0
4,3,13.0,13.0,13.0
5,1,13.0125,13.0,14.0
6,4,13.025,13.0,14.0
7,5,13.05,13.0,17.0
8,2,13.0,13.0,13.0
9,5,13.125,13.0,23.0
10,2,13.0,13.0,13.0
11,3,13.0,13.0,13.0
12,6,13.0,13.0,13.0
13,2,13.0,13.0,13.0
14,2,13.0,13.0,13.0
15,4,13.0,13.0,13.0
16,5,13.0125,13.0,14.0
17,5,13.0,13.0,13.0
18,2,13.1375,13.0,24.0
19,3,13.0,13.0,13.0
20,3,13.05,13.0,17.0
21,5,13.0,13.0,13.0
22,3,13.1625,13.0,26.0
23,4,13.0,13.0,13.0
24,5,13.0125,13.0,14.0
25,3,13.0,13.0,13.0
26,1,13.0125,13.0,14.0
27,2,13.0,13.0,13.0
28,5,13.0,13.0,13.0
29,2,13.0,13.0,13.0
30,4,13.0,13.0,13.0
31,7,13.0,13.0,13.0
32,1,13.0,13.0,13.0
33,4,13.0,13.0,13.0
34,1,13.0,13.0,13.0
35,3,25.35,13.0,1000.0
36,4,13.0,13.0,13.0
37,3,13.0,13.0,13.0
38,4,13.025,13.0,15.0
39,4,13.0625,12.0,19.0
40,4,12.95,12.0,13.0
41,2,12.8125,12.0,17.0
42,2,12.125,12.0,13.0
43,2,12.0,12.0,12.0
44,3,12.0,12.0,12.0
45,2,12.0125,12.0,13.0
46,3,12.0,12.0,12.0
47,5,12.275,12.0,26.0
48,5,12.0,12.0,12.0
49,5,12.0,12.0,12.0
50,1,12.0,12.0,12.0
51,5,12.0,12.0,12.0
52,3,12.0,12.0,12.0
53,4,12.0,12.0,12.0
54,2,12.0125,12.0,13.0
55,2,12.0125,12.0,13.0
56,4,12.0125,12.0,13.0
57,10,12.0125,12.0,13.0
58,3,12.0625,12.0,17.0
59,3,12.0125,12.0,13.0
60,0,12.0,12.0,12.0
,,,,
gen,nevals,avg,min,max
0,80,716.4875,13.0,1000.0
1,16,112.4,13.0,1000.0
2,19,25.35,12.0,1000.0
3,14,25.3625,12.0,1000.0
4,6,24.6,12.0,1000.0
5,14,12.2625,12.0,31.0
6,7,12.0125,12.0,13.0
7,16,12.0375,12.0,13.0
8,16,12.025,12.0,13.0
9,13,24.35,12.0,1000.0
10,13,12.075,12.0,14.0
11,13,36.725,12.0,1000.0
12,3,12.0125,12.0,13.0
13,20,12.0125,11.0,13.0
14,8,11.8875,11.0,14.0
15,11,11.4875,11.0,15.0
16,7,11.0625,11.0,16.0
17,13,11.0,11.0,11.0
18,13,11.025,11.0,12.0
19,6,11.025,11.0,12.0
20,14,23.45,11.0,1000.0
21,15,11.05,11.0,12.0
22,11,11.0875,11.0,15.0
23,9,11.025,11.0,12.0
24,10,11.1125,11.0,17.0
25,14,11.0625,11.0,13.0
26,8,11.0,11.0,11.0
27,12,11.075,11.0,15.0
28,7,11.05,11.0,15.0
29,13,11.0,11.0,11.0
30,9,11.0,11.0,11.0
31,14,11.025,11.0,12.0
32,9,11.0375,11.0,14.0
33,14,11.2125,11.0,17.0
34,12,11.1,11.0,14.0
35,2,11.0,11.0,11.0
36,12,11.1125,11.0,14.0
37,13,11.0625,11.0,13.0
38,13,11.0375,11.0,13.0
39,19,11.125,11.0,15.0
40,6,11.0125,11.0,12.0
41,18,11.2,11.0,23.0
42,13,11.1125,11.0,17.0
43,14,11.0125,11.0,12.0
44,9,11.125,11.0,21.0
45,8,11.0,11.0,11.0
46,7,11.0625,11.0,16.0
47,14,11.075,11.0,14.0
48,16,11.2,11.0,23.0
49,8,11.0,11.0,11.0
50,5,11.0125,11.0,12.0
51,10,11.0,11.0,11.0
52,16,11.05,11.0,14.0
53,9,11.1125,11.0,18.0
54,17,11.05,11.0,13.0
55,11,11.0375,11.0,13.0
56,13,11.0875,11.0,13.0
57,13,11.2875,11.0,21.0
58,12,11.0375,11.0,14.0
59,5,11.05,11.0,14.0
60,9,11.0,11.0,11.0
,,,,
gen,nevals,avg,min,max
0,80,704.1125,13.0,1000.0
1,22,87.4875,13.0,1000.0
2,19,25.3625,12.0,1000.0
3,23,13.075,12.0,14.0
4,19,25.225,12.0,1000.0
5,23,12.225,11.0,14.0
6,16,11.975,11.0,13.0
7,11,11.475,11.0,13.0
8,23,11.1125,10.0,14.0
9,23,11.0125,10.0,14.0
10,24,10.3875,10.0,14.0
11,19,10.1625,10.0,14.0
12,20,10.3625,10.0,26.0
13,19,10.1875,10.0,14.0
14,16,10.1375,10.0,14.0
15,25,22.55,10.0,1000.0
16,22,10.2125,10.0,14.0
17,28,10.125,10.0,13.0
18,17,10.1,10.0,14.0
19,19,22.4875,10.0,1000.0
20,21,22.5375,10.0,1000.0
21,8,10.1125,10.0,14.0
22,14,10.1375,10.0,14.0
23,18,10.125,10.0,14.0
24,14,10.0625,10.0,14.0
25,15,10.175,10.0,21.0
26,16,10.025,10.0,11.0
27,32,10.5375,10.0,34.0
28,22,10.1625,10.0,14.0
29,9,10.0375,10.0,12.0
30,23,10.125,10.0,12.0
31,23,10.175,10.0,14.0
32,31,10.15,10.0,13.0
33,16,10.1,10.0,14.0
34,24,10.1125,10.0,14.0
35,23,10.075,10.0,13.0
36,23,10.075,10.0,13.0
37,26,10.0625,10.0,13.0
38,24,10.15,10.0,16.0
39,20,10.0125,10.0,11.0
40,15,10.125,10.0,14.0
41,22,10.05,10.0,12.0
42,16,10.075,10.0,14.0
43,17,10.025,10.0,12.0
44,16,10.1,10.0,14.0
45,13,10.0125,10.0,11.0
46,21,10.0375,10.0,12.0
47,27,10.15,10.0,14.0
48,16,10.05,10.0,13.0
49,21,10.075,10.0,14.0
50,29,10.1,10.0,14.0
51,22,10.175,10.0,24.0
52,22,10.0375,10.0,13.0
53,27,10.025,10.0,12.0
54,14,10.0125,10.0,11.0
55,23,10.1375,10.0,14.0
56,15,10.025,10.0,11.0
57,22,10.025,10.0,12.0
58,22,10.15,10.0,14.0
59,24,10.175,10.0,14.0
60,21,10.075,10.0,14.0
,,,,
gen,nevals,avg,min,max
0,80,741.1375,11.0,1000.0
1,31,161.4125,11.0,1000.0
2,38,48.825,11.0,1000.0
3,21,11.1625,11.0,13.0
4,22,23.3875,11.0,1000.0
5,31,11.05,11.0,12.0
6,35,11.525,11.0,37.0
7,24,11.1125,11.0,13.0
8,33,11.25,11.0,24.0
9,30,11.15,11.0,13.0
10,24,11.05,11.0,13.0
11,16,35.75,11.0,1000.0
12,16,11.0375,11.0,12.0
13,23,11.0875,11.0,12.0
14,27,11.1375,11.0,16.0
15,28,23.4125,11.0,1000.0
16,27,23.4125,11.0,1000.0
17,18,11.0125,11.0,12.0
18,24,11.0375,11.0,12.0
19,34,11.025,11.0,13.0
20,26,11.0625,11.0,13.0
21,21,11.1125,11.0,13.0
22,19,11.0125,11.0,12.0
23,21,11.0,11.0,11.0
24,26,11.0,11.0,11.0
25,28,11.025,11.0,12.0
26,21,11.025,11.0,12.0
27,34,11.0,11.0,11.0
28,17,11.0125,11.0,12.0
29,31,23.3875,11.0,1000.0
30,33,11.0,11.0,11.0
31,34,11.0625,11.0,13.0
32,26,11.0125,11.0,12.0
33,24,35.775,11.0,1000.0
34,23,11.025,11.0,12.0
35,32,11.0625,11.0,13.0
36,36,11.0,11.0,11.0
37,28,11.025,11.0,12.0
38,26,11.025,11.0,12.0
39,29,11.0125,11.0,12.0
40,30,11.0125,11.0,12.0
41,24,11.0375,11.0,13.0
42,32,23.3875,11.0,1000.0
43,43,11.05,11.0,12.0
44,27,23.425,11.0,1000.0
45,23,11.0125,11.0,12.0
46,19,11.0125,11.0,12.0
47,26,11.05,11.0,12.0
48,23,11.0,11.0,11.0
49,29,11.0375,11.0,12.0
50,25,11.0625,11.0,13.0
51,28,11.0375,11.0,13.0
52,31,11.025,11.0,12.0
53,25,11.0375,11.0,13.0
54,20,11.0,11.0,11.0
55,31,23.3875,11.0,1000.0
56,24,11.0,11.0,11.0
57,23,11.1375,11.0,21.0
58,29,11.0375,11.0,12.0
59,33,11.0125,11.0,12.0
60,15,11.025,11.0,13.0
,,,,
gen,nevals,avg,min,max
0,80,753.3875,12.0,1000.0
1,26,124.2875,12.0,1000.0
2,46,12.525,12.0,14.0
3,19,12.0625,12.0,13.0
4,38,12.0375,11.0,13.0
5,39,24.4625,11.0,1000.0
6,35,11.6,11.0,13.0
7,39,36.2375,11.0,1000.0
8,30,23.5625,11.0,1000.0
9,28,23.6875,11.0,1000.0
10,21,23.5,11.0,1000.0
11,34,48.4875,11.0,1000.0
12,21,48.2625,11.0,1000.0
13,33,11.15,11.0,13.0
14,34,23.6625,11.0,1000.0
15,39,36.0125,11.0,1000.0
16,30,11.175,11.0,15.0
17,43,23.55,11.0,1000.0
18,29,23.4875,11.0,1000.0
19,39,23.6,11.0,1000.0
20,39,11.1625,11.0,13.0
21,35,11.2,11.0,13.0
22,36,11.225,11.0,13.0
23,31,23.525,11.0,1000.0
24,28,23.5,11.0,1000.0
25,40,35.8875,11.0,1000.0
26,27,35.825,11.0,1000.0
27,29,11.1375,11.0,12.0
28,27,11.1375,11.0,14.0
29,39,23.6,11.0,1000.0
30,43,48.2375,11.0,1000.0
31,34,23.5875,11.0,1000.0
32,50,23.5125,11.0,1000.0
33,34,11.1375,11.0,13.0
34,36,11.1125,11.0,13.0
35,29,11.1875,11.0,22.0
36,32,11.125,11.0,14.0
37,36,11.25,11.0,21.0
38,28,23.5125,11.0,1000.0
39,43,11.1375,11.0,14.0
40,37,11.0875,11.0,12.0
41,24,11.1875,11.0,16.0
42,28,11.1125,11.0,13.0
43,27,23.4625,11.0,1000.0
44,40,23.425,11.0,1000.0
45,30,11.0875,11.0,13.0
46,36,23.4875,11.0,1000.0
47,30,23.3875,11.0,1000.0
48,45,11.1125,11.0,16.0
49,32,11.05,11.0,14.0
50,41,11.075,11.0,13.0
51,42,11.075,11.0,14.0
52,33,11.25,11.0,25.0
53,27,23.4625,11.0,1000.0
54,26,11.025,11.0,12.0
55,35,11.025,11.0,12.0
56,43,11.05,11.0,13.0
57,29,11.0125,11.0,12.0
58,33,11.0625,11.0,13.0
59,23,11.0125,11.0,12.0
60,35,11.0375,11.0,12.0
,,,,
gen,nevals,avg,min,max
0,80,765.7875,13.0,1000.0
1,50,210.95,12.0,1000.0
2,45,50.05,12.0,1000.0
3,47,37.125,12.0,1000.0
4,33,12.0875,12.0,14.0
5,42,12.3375,12.0,20.0
6,51,37.05,12.0,1000.0
7,41,24.5625,11.0,1000.0
8,42,24.4,10.0,1000.0
9,49,24.0,10.0,1000.0
10,49,11.1125,10.0,15.0
11,45,10.4625,10.0,16.0
12,44,10.275,10.0,12.0
13,33,22.4875,10.0,1000.0
14,28,10.2,10.0,14.0
15,51,10.25,10.0,13.0
16,36,10.325,10.0,15.0
17,45,10.1875,10.0,12.0
18,50,10.3875,10.0,15.0
19,35,22.5875,10.0,1000.0
20,28,22.4375,10.0,1000.0
21,36,10.1625,10.0,13.0
22,53,10.2625,10.0,14.0
23,41,22.5375,10.0,1000.0
24,35,10.15,10.0,13.0
25,51,22.625,10.0,1000.0
26,50,10.4,10.0,18.0
27,39,10.1375,10.0,13.0
