gen,nevals,avg,min,max
0,80,691.9125,13.0,1000.0
1,0,75.325,13.0,1000.0
2,0,13.025,13.0,14.0
3,0,13.0,13.0,13.0
4,0,13.0,13.0,13.0
5,0,13.0,13.0,13.0
6,0,13.0,13.0,13.0
7,0,13.0,13.0,13.0
8,0,13.0,13.0,13.0
9,0,13.0,13.0,13.0
10,0,13.0,13.0,13.0
11,0,13.0,13.0,13.0
12,0,13.0,13.0,13.0
13,0,13.0,13.0,13.0
14,0,13.0,13.0,13.0
15,0,13.0,13.0,13.0
16,0,13.0,13.0,13.0
17,0,13.0,13.0,13.0
18,0,13.0,13.0,13.0
19,0,13.0,13.0,13.0
20,0,13.0,13.0,13.0
21,0,13.0,13.0,13.0
22,0,13.0,13.0,13.0
23,0,13.0,13.0,13.0
24,0,13.0,13.0,13.0
25,0,13.0,13.0,13.0
26,0,13.0,13.0,13.0
27,0,13.0,13.0,13.0
28,0,13.0,13.0,13.0
29,0,13.0,13.0,13.0
30,0,13.0,13.0,13.0
31,0,13.0,13.0,13.0
32,0,13.0,13.0,13.0
33,0,13.0,13.0,13.0
34,0,13.0,13.0,13.0
35,0,13.0,13.0,13.0
36,0,13.0,13.0,13.0
37,0,13.0,13.0,13.0
38,0,13.0,13.0,13.0
39,0,13.0,13.0,13.0
40,0,13.0,13.0,13.0
41,0,13.0,13.0,13.0
42,0,13.0,13.0,13.0
43,0,13.0,13.0,13.0
44,0,13.0,13.0,13.0
45,0,13.0,13.0,13.0
46,0,13.0,13.0,13.0
47,0,13.0,13.0,13.0
48,0,13.0,13.0,13.0
49,0,13.0,13.0,13.0
50,0,13.0,13.0,13.0
51,0,13.0,13.0,13.0
52,0,13.0,13.0,13.0
53,0,13.0,13.0,13.0
54,0,13.0,13.0,13.0
55,0,13.0,13.0,13.0
56,0,13.0,13.0,13.0
57,0,13.0,13.0,13.0
58,0,13.0,13.0,13.0
59,0,13.0,13.0,13.0
60,0,13.0,13.0,13.0
,,,,
gen,nevals,avg,min,max
0,80,728.75,12.0,1000.0
1,12,161.4875,12.0,1000.0
2,8,12.9625,12.0,27.0
3,4,12.2625,12.0,14.0
4,9,12.0375,11.0,14.0
5,9,12.05,11.0,14.0
6,4,11.7875,11.0,14.0
7,4,11.2375,11.0,18.0
8,6,11.0375,11.0,14.0
9,8,11.0375,11.0,14.0
10,5,11.0,11.0,11.0
11,8,11.0125,11.0,12.0
12,10,23.4125,11.0,1000.0
13,7,11.0375,11.0,14.0
14,8,11.0,11.0,11.0
15,6,11.0,11.0,11.0
16,13,11.0375,11.0,13.0
17,3,11.0,11.0,11.0
18,13,11.775,11.0,67.0
19,10,11.075,11.0,16.0
20,7,11.0,11.0,11.0
21,5,11.3375,11.0,38.0
22,6,11.025,11.0,13.0
23,8,11.0,11.0,11.0
24,7,11.0,11.0,11.0
25,7,11.0,11.0,11.0
26,3,11.0125,11.0,12.0
27,11,11.1625,11.0,24.0
28,8,11.0,11.0,11.0
29,9,11.025,11.0,13.0
30,7,11.0,11.0,11.0
31,14,11.125,11.0,18.0
32,6,11.0,11.0,11.0
33,7,11.0625,11.0,14.0
34,8,11.0375,11.0,12.0
35,8,11.025,11.0,12.0
36,8,11.0,11.0,11.0
37,6,11.0125,11.0,12.0
38,8,11.0125,11.0,12.0
39,7,11.2875,11.0,34.0
40,6,11.0125,11.0,12.0
41,10,11.0125,11.0,12.0
42,5,11.0,11.0,11.0
43,3,11.1,11.0,18.0
44,9,11.0125,11.0,12.0
45,3,11.0,11.0,11.0
46,9,11.0,11.0,11.0
47,5,11.0,11.0,11.0
48,7,23.475,11.0,1000.0
49,10,23.4,11.0,1000.0
50,6,11.0,11.0,11.0
51,5,11.0,11.0,11.0
52,9,11.0,11.0,11.0
53,4,11.0,11.0,11.0
54,10,11.2,11.0,27.0
55,11,11.025,11.0,13.0
56,10,11.0,11.0,11.0
57,10,11.0375,11.0,14.0
58,6,11.0125,11.0,12.0
59,1,11.0,11.0,11.0
60,14,11.2,11.0,21.0
,,,,
gen,nevals,avg,min,max
0,80,765.7875,13.0,1000.0
1,12,137.1,13.0,1000.0
2,10,25.7,13.0,1000.0
3,15,25.575,12.0,1000.0
4,11,12.9,12.0,14.0
5,15,12.5375,12.0,17.0
6,15,12.125,12.0,17.0
7,7,12.1125,12.0,19.0
8,8,12.05,12.0,16.0
9,21,12.125,12.0,17.0
10,17,12.0625,12.0,13.0
11,15,12.025,12.0,13.0
12,16,12.1125,12.0,19.0
13,18,24.55,12.0,1000.0
14,17,12.05,12.0,15.0
15,19,12.0625,12.0,15.0
16,11,12.1125,12.0,19.0
17,15,12.1,12.0,17.0
18,16,12.35,12.0,38.0
19,13,12.0125,12.0,13.0
20,13,12.0125,12.0,13.0
21,11,12.0,12.0,12.0
22,14,12.0875,12.0,15.0
23,13,12.0125,12.0,13.0
24,11,12.05,12.0,16.0
25,14,12.3,12.0,35.0
26,19,24.5,12.0,1000.0
27,20,12.325,12.0,38.0
28,10,12.0125,12.0,13.0
29,19,12.0125,12.0,13.0
30,13,12.0,12.0,12.0
31,24,12.05,12.0,13.0
32,20,12.1875,12.0,22.0
33,23,12.1,12.0,15.0
34,16,12.0375,12.0,14.0
35,13,12.0375,12.0,13.0
36,11,12.0,12.0,12.0
37,16,12.0,12.0,12.0
38,20,12.05,12.0,14.0
39,13,12.025,12.0,13.0
40,13,12.0,12.0,12.0
41,24,12.375,12.0,39.0
42,20,12.05,12.0,14.0
43,18,12.0,12.0,12.0
44,15,12.025,12.0,13.0
45,11,24.35,12.0,1000.0
46,17,12.025,11.0,15.0
47,16,11.875,11.0,12.0
48,13,11.6875,11.0,32.0
49,18,11.0875,11.0,15.0
50,26,11.0125,11.0,12.0
51,15,11.0375,11.0,14.0
52,18,11.025,11.0,12.0
53,15,11.0,11.0,11.0
54,23,11.1625,11.0,16.0
55,11,11.0625,11.0,15.0
56,13,11.0,11.0,11.0
57,19,11.0125,11.0,12.0
58,17,11.3125,11.0,24.0
59,7,11.05,11.0,15.0
60,17,11.025,11.0,12.0
,,,,
