gen,nevals,avg,min,max
0,90,715.0333333333333,11.0,1000.0
1,76,144.66666666666666,11.0,1000.0
2,73,46.06666666666667,11.0,1000.0
3,80,57.13333333333333,10.0,1000.0
4,73,45.4,10.0,1000.0
5,74,78.26666666666667,10.0,1000.0
6,78,34.044444444444444,10.0,1000.0
7,77,22.755555555555556,10.0,1000.0
8,79,33.84444444444444,10.0,1000.0
9,77,77.38888888888889,10.0,1000.0
10,69,21.6,10.0,1000.0
11,80,33.28888888888889,10.0,1000.0
12,74,21.711111111111112,10.0,1000.0
13,66,21.711111111111112,10.0,1000.0
14,75,21.677777777777777,10.0,1000.0
15,63,10.333333333333334,10.0,14.0
16,73,43.32222222222222,10.0,1000.0
17,80,21.622222222222224,10.0,1000.0
18,76,10.177777777777777,10.0,14.0
19,78,21.27777777777778,10.0,1000.0
20,66,10.266666666666667,10.0,14.0
21,74,21.4,10.0,1000.0
22,61,32.41111111111111,10.0,1000.0
23,76,21.511111111111113,10.0,1000.0
24,76,32.31111111111111,10.0,1000.0
25,78,21.177777777777777,10.0,1000.0
26,73,10.411111111111111,10.0,26.0
27,75,21.533333333333335,10.0,1000.0
28,74,21.177777777777777,10.0,1000.0
29,68,32.08888888888889,10.0,1000.0
30,82,10.233333333333333,10.0,19.0
31,73,10.144444444444444,10.0,14.0
32,75,10.222222222222221,10.0,14.0
33,79,21.433333333333334,10.0,1000.0
34,76,10.311111111111112,10.0,18.0
35,68,10.266666666666667,10.0,14.0
36,66,32.044444444444444,10.0,1000.0
37,78,10.4,10.0,14.0
38,68,10.177777777777777,10.0,14.0
39,70,10.3,10.0,14.0
40,73,21.31111111111111,10.0,1000.0
41,81,21.288888888888888,10.0,1000.0
42,81,10.144444444444444,10.0,14.0
43,73,32.08888888888889,10.0,1000.0
44,70,10.044444444444444,10.0,14.0
45,65,21.22222222222222,10.0,1000.0
46,75,10.088888888888889,10.0,14.0
47,71,21.244444444444444,10.0,1000.0
48,77,10.355555555555556,10.0,18.0
49,79,10.322222222222223,10.0,15.0
50,72,21.3,10.0,1000.0
51,73,10.177777777777777,10.0,14.0
52,78,21.133333333333333,10.0,1000.0
53,73,21.266666666666666,10.0,1000.0
54,68,10.044444444444444,10.0,14.0
55,79,10.244444444444444,10.0,14.0
56,73,10.355555555555556,10.0,14.0
57,68,10.544444444444444,10.0,30.0
58,63,10.777777777777779,10.0,54.0
59,66,10.2,10.0,14.0
60,67,10.277777777777779,10.0,15.0
,,,,
gen,nevals,avg,min,max
0,90,682.1888888888889,11.0,1000.0
1,69,112.04444444444445,11.0,1000.0
2,76,23.22222222222222,10.0,1000.0
3,76,22.5,10.0,1000.0
4,73,32.888888888888886,10.0,1000.0
5,76,54.78888888888889,10.0,1000.0
6,80,21.433333333333334,10.0,1000.0
7,71,10.866666666666667,10.0,40.0
8,77,32.41111111111111,10.0,1000.0
9,74,43.25555555555555,10.0,1000.0
10,76,32.32222222222222,10.0,1000.0
11,69,43.25555555555555,10.0,1000.0
12,67,21.61111111111111,10.0,1000.0
13,70,10.544444444444444,10.0,25.0
14,70,21.144444444444446,10.0,1000.0
15,70,10.222222222222221,10.0,14.0
16,77,32.077777777777776,10.0,1000.0
17,70,10.255555555555556,10.0,25.0
18,70,10.2,10.0,14.0
19,67,10.2,10.0,14.0
20,69,10.077777777777778,10.0,14.0
21,70,21.244444444444444,10.0,1000.0
22,74,10.28888888888889,10.0,19.0
23,72,10.1,10.0,12.0
24,69,10.166666666666666,10.0,14.0
25,69,10.422222222222222,10.0,24.0
26,74,21.066666666666666,10.0,1000.0
27,68,21.033333333333335,10.0,1000.0
28,80,21.244444444444444,10.0,1000.0
29,69,21.11111111111111,10.0,1000.0
30,67,10.322222222222223,10.0,21.0
31,70,10.155555555555555,10.0,14.0
