mutate,Avg_max_fit,Gen,Dataset,CosDist,Hof
0.0,109.0,3,"[6, 6, 6, 6]",0.5411685322588765,"[12, 12, 2, 6, 4, 6, 4, 4, 1]"
0.1,109.0,3,"[6, 6, 6, 6]",1.0,"[13, 13, 2, 5, 3, 4, 4, 1, 1]"
0.2,109.0,16,"[6, 6, 6, 6]",0.33333333333333337,"[12, 6, 6, 1, 10, 13, 4]"
0.3,109.0,32,"[6, 6, 6, 6]",0.7327387580875756,"[11, 2, 10, 5, 11, 2, 10, 6]"
0.4,109.0,48,"[6, 6, 6, 6]",1.0,"[2, 12, 1, 2, 2, 2, 11, 2, 1]"
0.5,108.95,23,"[6, 6, 6, 6]",1.0,"[11, 13, 11, 10, 11, 13, 11, 10]"
0.6,108.8,2,"[6, 6, 6, 6]",0.5735985672887791,"[3, 6, 3, 2, 3, 6, 3, 10]"
0.7,108.988,36,"[6, 6, 6, 6]",1.0,"[11, 11, 13, 4, 11, 11, 13, 4, 1, 13]"
0.8,108.95,24,"[6, 6, 6, 6]",0.6464466094067263,"[13, 13, 1, 2, 12, 6, 13, 13, 1, 2, 12, 6]"
0.9,108.975,24,"[6, 6, 6, 6]",0.8110177634953863,"[4, 2, 4, 3, 4, 2, 4, 2, 6, 1]"
